L.glottocode,name,ds,AVG(c)
papa1238,Totonac (Papantla),spa,26
tuni1252,Tunica,spa,25
nucl1301,Turkish,spa,40
tzel1254,Tzeltal (Aguacatenango),spa,30
viet1252,Vietnamese,spa,39
wich1260,Wichita,spa,29
nucl1347,Wolof,spa,40
wikm1247,Wik Munkan,spa,23
wapi1253,Wapishana,spa,29
wuch1236,Wu,spa,41
bouy1240,Yay,spa,38
yaku1245,Yakut,spa,49
nort2745,Yukaghir (Tundra),spa,32
yuch1247,Yuchi,spa,64
copa1236,Zoque (Copainalá),spa,32
zulu1248,Zulu,spa,43
zuni1245,Zuni,spa,54
tach1250,Tashlhiyt,spa,49
moro1292,Arabic (Moroccan),spa,78
taba1266,Chontal Maya,spa,37
malt1254,Maltese,spa,55
tewa1260,Tewa (Arizona),spa,57
icel1247,Icelandic,spa,39
kunj1245,Kunjen,spa,28
stan1306,Malay,spa,27
port1283,Portuguese,spa,38
sout2965,Salish (Southern Puget Sound),spa,43
sund1252,Sundanese,spa,26
unam1242,Unami,spa,39
tele1256,Telefol,spa,27
chac1251,Chácobo,spa,21
panj1256,Panjabi,spa,73
nuuc1236,Kyuquot,spa,47
nyan1301,Nyangumarda,spa,27
awiy1238,Auyana,spa,20
east2563,Cham (Eastern),spa,35
abip1241,Abipón,upsid,20
alab1237,Alabama,upsid,17
ache1246,Aché,upsid,21
achu1247,Achumawi,upsid,23
west2632,Acoma,upsid,51
ando1256,Andoke,upsid,26
adze1240,Adzera,upsid,25
aleu1260,Aleut (Eastern),upsid,27
egyp1253,Arabic (Egyptian),upsid,35
aghe1239,Aghem,upsid,35
ahte1237,Ahtna,upsid,35
aika1237,Aikaná,upsid,32
ainu1240,Ainu,upsid,16
apro1235,Aizi,upsid,33
akan1250,Akan,upsid,35
akaw1239,Akawaio,upsid,23
alam1246,Alamblak,upsid,25
alla1248,Alladian,upsid,36
alaw1244,Alawa,upsid,26
amah1246,Amahuaca,upsid,22
amel1241,Amele,upsid,20
amha1245,Amharic,upsid,37
amoo1242,Amo,upsid,35
east2379,Arrernte (Mparntwe),upsid,30
yane1238,Amuesha,upsid,26
guer1243,Amuzgo,upsid,37
ngas1240,Angas,upsid,43
anga1290,Angaataha,upsid,21
aona1235,Ao,upsid,20
apin1244,Apinayé,upsid,30
arab1268,Arabela,upsid,18
arch1244,Archi,upsid,91
nucl1235,Armenian (Eastern),upsid,36
tamn1235,Asmat,upsid,17
atay1247,Atayal,upsid,26
avar1256,Avar,upsid,49
awng1244,Awngi,upsid,35
cent2004,Bai,upsid,29
indo1317,Bajau (Sama),upsid,32
bamb1269,Bambara,upsid,35
bell1243,Bella Coola,upsid,31
beem1239,Beembe,upsid,26
beja1238,Beja,upsid,26
beng1280,Bengali,upsid,43
bert1248,Berta,upsid,29
dalo1238,Bété,upsid,37
bero1242,Birom,upsid,29
biss1248,Bisa,upsid,24
baka1277,Bakairí,upsid,29
qaqe1238,Qaget,upsid,22
waim1255,Waimaha,upsid,23
bodo1269,Bodo,upsid,21
lave1249,Brao,upsid,31
baat1238,Bariba,upsid,30
bard1255,Bardi,upsid,24
bret1244,Breton,upsid,45
brah1256,Brahui,upsid,33
brib1243,Bribri,upsid,27
nucl1310,Burmese,upsid,46
boro1282,Bororo,upsid,20
west2397,Bru (Western),upsid,42
bash1264,Bashkir,upsid,38
basq1248,Basque,upsid,28
bata1289,Batak (Toba),upsid,21
bura1267,Burarra,upsid,21
bulg1262,Bulgarian,upsid,42
buru1296,Burushaski,upsid,43
cacu1241,Cacua,upsid,22
cadd1256,Caddo,upsid,23
cams1241,Camsá,upsid,28
gali1262,Carib,upsid,22
asha1243,Campa (Axininca),upsid,19
chac1249,Cayapa,upsid,28
cham1312,Chamorro,upsid,26
cher1273,Cherokee,upsid,17
chuk1273,Chukchi,upsid,22
uppe1439,Chehalis (Upper),upsid,34
chip1261,Chipewyan,upsid,52
quio1240,Chinantec (Quiotepec),upsid,41
niva1238,Nivacle,upsid,28
chuv1255,Chuvash,upsid,30
yuec1235,Cantonese,upsid,25
cofa1242,Cofán,upsid,35
west2644,Chatino (Sierra Occidental),upsid,25
tedi1235,Chin (Tiddim),upsid,26
cube1242,Cubeo,upsid,23
chua1250,Chuave,upsid,17
cayu1262,Cayuvava,upsid,33
dadi1250,Dadibi,upsid,23
daha1245,Dahalo,upsid,59
dann1241,Dan,upsid,39
darf1239,Daju (Dar Fur),upsid,30
dera1245,Dla (Proper),upsid,17
dagb1246,Dagbani,upsid,29
daur1238,Dagur,upsid,29
kumi1248,Diegueño (Mesa Grande),upsid,34
nort2815,Dinka,upsid,32
jola1263,Diola-Fogny,upsid,29
dier1241,Diyari,upsid,25
dizi1235,Dizi,upsid,30
dhuw1249,Djapu,upsid,23
lowe1415,Dani (Lower Grand Valley),upsid,24
dang1274,Dangaléat (Western),upsid,28
doya1240,Doyayo,upsid,34
toro1252,Toro So,upsid,28
vani1248,Dumo,upsid,28
dyir1250,Dyirbal,upsid,16
efik1245,Efik,upsid,20
ejag1239,Ejagham,upsid,27
ekar1243,Ekari,upsid,15
epen1239,Epena Pedee,upsid,31
even1260,Even,upsid,27
ewee1241,Ewe,upsid,40
ewon1239,Ewondo,upsid,34
eyak1241,Eyak,upsid,45
fasu1242,Fasu,upsid,21
fefe1239,Fe'fe',upsid,25
fiji1243,Fijian,upsid,30
finn1318,Finnish,upsid,25
stan1290,French,upsid,37
fuln1247,Fulniô,upsid,30
furr1244,Fur,upsid,30
mind1253,Fuzhou,upsid,21
gaaa1244,Gã,upsid,41
apuc1241,Great Andamanese,upsid,24
gbay1287,Gbeya Bossangoa,upsid,43
gads1258,Gadsup,upsid,15
nucl1302,Georgian,upsid,34
stan1295,German,upsid,41
guah1255,Guahibo,upsid,29
qaua1234,Gelao,upsid,43
guam1248,Guambiano,upsid,24
wayu1243,Goajiro,upsid,26
mode1248,Greek (Modern),upsid,26
gara1269,Garrwa,upsid,22
kala1399,Greenlandic (West),upsid,22
para1311,Guaraní,upsid,36
gbag1258,Gwari,upsid,26
hadz1240,Hadza,upsid,62
hakk1236,Hakka,upsid,22
haus1257,Hausa,upsid,38
hawa1245,Hawaiian,upsid,13
hind1269,Hindi,upsid,61
hixk1239,Hixkaryana,upsid,23
hame1242,Hamer,upsid,35
minn1241,Min (Southern),upsid,25
hopi1249,Hopi,upsid,28
huas1242,Huastec,upsid,26
hung1274,Hungarian,upsid,40
hupa1239,Hupa,upsid,35
sanm1287,Huave (San Mateo del Mar),upsid,29
iaai1238,Iaai,upsid,52
iban1264,Iban,upsid,25
nucl1417,Igbo,upsid,59
igna1246,Ignaciano,upsid,25
gaam1241,Ingessana,upsid,33
izon1238,Ijo (Kolokuma),upsid,37
ikkk1242,Ik,upsid,44
iris1253,Irish (Donegal),upsid,69
iraq1241,Iraqw,upsid,45
irar1238,Irarutu,upsid,19
iran1263,Iranxe,upsid,39
isok1239,Isoko,upsid,37
itel1242,Itelmen,upsid,32
iton1250,Itonama,upsid,25
ivat1242,Ivatan,upsid,23
iwam1256,Iwam,upsid,17
popt1235,Jakaltek,upsid,32
jaqa1244,Jaqaru,upsid,39
java1254,Javanese,upsid,29
jebe1250,Jebero,upsid,23
shua1257,Jivaro,upsid,23
kach1280,Jingpho,upsid,30
talo1250,Jomang,upsid,21
nucl1643,Japanese,upsid,20
japr1238,Japreria,upsid,24
juho1239,Ju|'hoan,upsid,141
kaba1278,Kabardian,upsid,56
katc1249,Kadugli,upsid,27
kash1277,Kashmiri,upsid,55
kafa1242,Kefa,upsid,27
kekc1242,K'ekchí,upsid,26
kera1255,Kera,upsid,30
kett1243,Ket,upsid,25
wame1240,Konyagi,upsid,46
kalk1246,Kalkatungu,upsid,23
kirg1245,Kirghiz,upsid,30
halh1238,Khalkha,upsid,33
cent1989,Khmer,upsid,42
nama1264,Nama,upsid,41
khar1287,Kharia,upsid,36
khas1269,Khasi,upsid,29
kiow1266,Kiowa,upsid,42
sout2949,Kiwai (Southern),upsid,19
konk1267,Konkani,upsid,37
lusi1240,Lusi,upsid,21
klao1243,Klao,upsid,27
klam1254,Klamath,upsid,37
kala1377,Kala Lagaw Ya,upsid,24
kuni1267,Kunimaipa,upsid,20
khmu1256,Khmu',upsid,41
kain1272,Kaingang,upsid,27
dera1248,Kanakuru,upsid,35
kuna1268,Kunama,upsid,26
cent2050,Kanuri,upsid,29
kohu1244,Kohumono,upsid,38
gras1249,Koiari,upsid,16
komo1258,Komo,upsid,31
kore1280,Korean,upsid,32
kota1263,Kota,upsid,28
koya1251,Koya,upsid,24
kpan1246,Kpan,upsid,34
libe1247,Kpelle,upsid,34
karo1304,Karok,upsid,27
kory1246,Koryak,upsid,21
koyr1242,Koyraboro Senni,upsid,24
sgaw1245,Karen (Sgaw),upsid,36
afad1236,Kotoko,upsid,36
khan1273,Khanty,upsid,32
bord1248,Kuna,upsid,21
kuru1302,Kurukh,upsid,32
kwai1243,Kwaio,upsid,21
kwak1269,Kwakw'ala,upsid,48
kwom1262,Kwoma,upsid,31
kawa1283,Kawaiisu,upsid,31
kuku1273,Kuku-Yalanji,upsid,16
komi1268,Komi-Zyrian,upsid,33
lahu1253,Lahu,upsid,35
lakk1252,Lak,upsid,69
peve1243,Lamé,upsid,38
lena1238,Lenakel,upsid,21
lith1251,Lithuanian,upsid,52
lakk1238,Lakkia,upsid,55
lako1247,Lakhota,upsid,36
lele1264,Lelemi,upsid,34
luuu1242,Lü,upsid,31
niel1243,Lua,upsid,36
lugb1240,Lugbara,upsid,36
luis1253,Luiseño,upsid,26
luok1236,Luo,upsid,32
masa1300,Maasai,upsid,28
maba1277,Maba,upsid,29
plat1254,Malagasy,upsid,25
mapu1245,Mapudungun,upsid,26
maun1240,Maung,upsid,22
maxa1247,Maxakalí,upsid,20
mbaa1245,Mba,upsid,31
mbab1239,Mbabaram,upsid,24
mbum1254,Mbum,upsid,38
iumi1238,Mien,upsid,41
came1252,Mambila,upsid,25
mull1237,Malakmalak,upsid,19
east2328,Mari (Meadow),upsid,33
manc1252,Manchu,upsid,25
mand1415,Mandarin,upsid,32
nort2952,Maidu (Northeast),upsid,23
mogh1245,Moghol,upsid,29
movi1243,Movima,upsid,23
murr1258,Murrinh-Patha,upsid,25
marg1265,Margi,upsid,34
mara1404,Maranao,upsid,17
moro1285,Moro,upsid,29
sout2985,Miwok (Southern Sierra),upsid,21
toto1305,Mixe (Totontepec),upsid,23
muin1242,Muinane,upsid,28
nucl1240,Mumuye,upsid,34
mund1320,Mundari,upsid,37
sanm1295,Mixtec (Chalcatongo),upsid,25
chiq1250,Mazatec (Chiquihuitlán),upsid,33
nana1257,Nanai,upsid,24
lish1246,Neo-Aramaic (Persian Azerbaijan),upsid,40
nara1262,Nara (in Ethiopia),upsid,22
naas1242,Nasioi,upsid,13
nava1243,Navajo,upsid,47
naxi1245,Naxi,upsid,49
natu1246,Natügu,upsid,47
ndut1239,Ndut,upsid,34
newa1246,Newari (Kathmandu),upsid,32
nezp1238,Nez Perce,upsid,30
ngan1291,Nganasan,upsid,29
ngiz1242,Ngizim,upsid,40
nort2957,Nahuatl (North Puebla),upsid,20
nucl1633,Nimboran,upsid,18
nyis1236,Nyishi,upsid,24
gily1242,Nivkh,upsid,35
nyah1250,Nyah Kur (Tha Pong),upsid,50
sout2994,Nambikuára (Southern),upsid,43
nobi1240,Nobiin,upsid,21
noon1243,Noni,upsid,33
norw1259,Norwegian,upsid,46
nene1249,Nenets,upsid,35
nung1290,Nunggubuyu,upsid,23
nung1283,Nung (in Vietnam),upsid,32
nyan1313,Nyangi,upsid,25
amas1236,Nyimang,upsid,25
ocai1244,Ocaina,upsid,34
ogbi1239,Ogbia,upsid,34
east2542,Ojibwa (Eastern),upsid,27
toho1245,O'odham,upsid,24
ormu1247,Ormuri,upsid,31
paco1243,Pacoh,upsid,33
paez1247,Páez,upsid,37
paiw1248,Paiwan,upsid,26
pech1241,Pech,upsid,28
pwon1235,Phlong,upsid,37
enap1235,Panare,upsid,25
pohn1238,Pohnpeian,upsid,20
pira1253,Pirahã,upsid,11
west2369,Persian,upsid,30
cent1973,Pashto,upsid,38
sout2982,Pomo (Southeastern),upsid,32
para1301,Parauk,upsid,77
pure1242,Purépecha,upsid,39
qawa1238,Qawasqar,upsid,19
sout2991,Quechua (Cochabamba),upsid,36
quil1240,Quileute,upsid,37
resi1247,Resígaro,upsid,35
roma1327,Romanian,upsid,32
waim1251,Roro,upsid,14
roto1249,Rotokas,upsid,11
ruka1240,Rukai (Tanan),upsid,27
russ1263,Russian,upsid,38
rutu1240,Rutul,upsid,64
saba1265,Sa'ban,upsid,26
sang1328,Sango,upsid,37
sali1298,Sáliba (in Colombia),upsid,32
sout2674,Saami (Central-South),upsid,45
sand1273,Sandawe,upsid,54
kups1238,Sebei,upsid,26
seda1262,Sedang,upsid,55
shas1239,Shasta,upsid,21
shus1248,Shuswap,upsid,44
sion1247,Siona,upsid,30
selk1253,Selkup,upsid,34
sele1250,Selepet,upsid,21
sene1264,Seneca,upsid,19
ceba1235,Senadi,upsid,36
sinh1246,Sinhala,upsid,36
nucl1632,Sentani,upsid,17
soma1255,Somali,upsid,32
soqo1240,Soqotri,upsid,34
stan1288,Spanish,upsid,25
koho1244,Sre,upsid,37
siri1273,Sirionó,upsid,28
suen1241,Suena,upsid,18
suii1243,Sui,upsid,54
savo1255,Savosavo,upsid,22
taca1256,Tacana,upsid,22
taga1270,Tagalog,upsid,23
east2347,Tamang (Eastern),upsid,29
tehu1242,Tehuelche,upsid,35
telu1262,Telugu,upsid,43
tera1251,Tera,upsid,48
tiga1245,Tigak,upsid,17
tigr1270,Tigré,upsid,33
thai1261,Thai,upsid,30
ticu1245,Ticuna,upsid,29
tiwi1244,Tiwi,upsid,26
teke1280,Teke (Southern),upsid,28
tlin1245,Tlingit,upsid,48
acat1239,Tlapanec,upsid,30
tama1331,Tama,upsid,30
nucl1339,Temein,upsid,25
tamp1252,Tampulma,upsid,33
timn1235,Temne,upsid,25
toar1246,Toaripi,upsid,14
taro1263,Tarok,upsid,32
toll1241,Tol,upsid,28
tonk1249,Tonkawa,upsid,25
papa1238,Totonac (Papantla),upsid,22
trum1247,Trumai,upsid,24
tiru1241,Tiruray,upsid,22
nucl1649,Tsimshian (Coast),upsid,41
tsou1248,Tsou,upsid,21
tetu1245,Tetun,upsid,19
bats1242,Tsova-Tush,upsid,45
taha1241,Tuareg (Ahaggar),upsid,37
tulu1258,Tulu,upsid,37
tuni1252,Tunica,upsid,24
nucl1301,Turkish,upsid,33
tuvi1240,Tuvan,upsid,29
tzel1254,Tzeltal (Aguacatenango),upsid,28
ngar1284,Ungarinjin,upsid,24
usan1239,Usan,upsid,20
nort2690,Uzbek (Northern),upsid,30
viet1252,Vietnamese,upsid,36
wapp1239,Wappo,upsid,35
wich1260,Wichita,upsid,29
wint1259,Wintu,upsid,35
wiyo1248,Wiyot,upsid,29
nucl1347,Wolof,upsid,40
west2600,West Makian,upsid,23
wikm1247,Wik Munkan,upsid,18
want1252,Wantoat,upsid,21
kama1365,Woisika,upsid,28
wapi1253,Wapishana,upsid,25
wara1303,Warao,upsid,21
wari1266,Waris,upsid,22
wara1290,Waray (in Australia),upsid,21
wuch1236,Wu,upsid,34
yagu1244,Yagua,upsid,23
yana1271,Yana,upsid,30
yaqu1251,Yaqui,upsid,22
yare1248,Yareba,upsid,18
nucl1454,Yawa,upsid,19
bouy1240,Yay,upsid,34
yucu1253,Yucuna,upsid,21
yuca1254,Yucatec,upsid,30
yess1239,Yessan-Mayo,upsid,20
yaga1260,Yagaria,upsid,23
yidi1250,Yidiny,upsid,16
yaku1245,Yakut,upsid,34
yany1243,Yanyuwa,upsid,32
yoru1245,Yoruba,upsid,29
nort2745,Yukaghir (Tundra),upsid,26
yuch1247,Yuchi,upsid,46
yulu1243,Yulu,upsid,42
cent2128,Yupik (Siberian),upsid,36
zand1248,Zande,upsid,35
copa1236,Zoque (Copainalá),upsid,22
zulu1248,Zulu,upsid,37
zuni1245,Zuni,upsid,25
wang1291,Ngiyambaa,upsid,18
tach1250,Tashlhiyt,upsid,31
waor1240,Waorani,upsid,21
sout2965,Salish (Southern Puget Sound),upsid,37
haka1240,Lai,upsid,52
carn1240,Nicobarese (Car),upsid,25
murs1242,Mursi,upsid,26
nuuc1236,Kyuquot,upsid,42
nort2641,Kurmanji,upsid,47
xiri1243,Xiriana,upsid,25
east2563,Cham (Eastern),upsid,32
amha1245,Amharic,uz,68
east2379,Arrernte (Mparntwe),uz,31
beng1280,Bengali,uz,72
bard1255,Bardi,uz,25
nucl1310,Burmese,uz,54
basq1248,Basque,uz,35
bulg1262,Bulgarian,uz,30
yuec1235,Cantonese,uz,48
stan1293,English,uz,41
even1259,Evenki,uz,29
stan1290,French,uz,36
nucl1302,Georgian,uz,33
stan1295,German,uz,40
mode1248,Greek (Modern),uz,32
hakk1236,Hakka,uz,47
haus1257,Hausa,uz,46
hebr1245,Hebrew (Modern Ashkenazic),uz,27
hind1269,Hindi,uz,74
hung1274,Hungarian,uz,64
hunz1247,Hunzib,uz,60
nucl1417,Igbo,uz,35
iris1253,Irish (Donegal),uz,50
nucl1643,Japanese,uz,21
kera1255,Kera,uz,30
kuna1268,Kunama,uz,34
kore1280,Korean,uz,48
nara1262,Nara (in Ethiopia),uz,59
pitj1243,Pitjantjatjara,uz,25
west2369,Persian,uz,29
stan1288,Spanish,uz,38
tera1251,Tera,uz,53
thai1261,Thai,uz,47
timn1235,Temne,uz,36
taus1251,Tausug,uz,23
nucl1301,Turkish,uz,36
viet1252,Vietnamese,uz,45
tach1250,Tashlhiyt,uz,74
dani1285,Danish,uz,69
dutc1256,Dutch,uz,52.16666667
esto1258,Estonian,uz,54
ital1282,Italian,uz,70
stan1306,Malay,uz,30
port1283,Portuguese,uz,47
nort2671,Saami (Northern),uz,74
slov1269,Slovak,uz,44
taji1245,Tajik,uz,29
belh1239,Belhare,uz,36
stan1318,Arabic (Modern Standard),uz,37
assa1263,Assamese,uz,33
sumi1235,Sema,uz,41
isth1244,Zapotec (Isthmus),uz,32
vlax1238,Romani (Kalderash),uz,39
ladi1251,Ladino,uz,34
swis1247,German (Appenzell),uz,56
besi1244,Mah Meri,uz,58
luxe1241,Luxemburgeois,uz,46
