L.glottocode,name,dataset,dialect,Consonant,Vowel,Group
ainu1240,Ainu,upsid,AINU - ~N/A~,11,5,11005
shas1239,Shasta,upsid,SHASTA - ~N/A~,17,4,17004
east2426,Maninka,aa,Manding - ~N/A~,20,14,20014
kabi1261,Kabiyé,aa,Kabiyɛ - ~N/A~,24,23,24023
arhu1242,Ika,ph,Ika - ~N/A~,16,16,16016
gbay1287,Gbeya Bossangoa,spa,Gbeya - ~N/A~,31,12,31012
godi1239,Godié,aa,Godié - ~N/A~,26,13,26013
cent1989,Khmer,spa,Cambodian - ~N/A~,21,21,21021
svan1243,Svan,ea,Svan - Svan (Upper Bal),30,17,30017
kiow1266,Kiowa,upsid,KIOWA - ~N/A~,22,20,22020
tiru1241,Tiruray,upsid,TIRURAY - ~N/A~,16,6,16006
kiku1240,Kikuyu,aa,Kikuyu - ~N/A~,18,14,18014
cerm1238,Kirma,aa,Cerma - ~N/A~,21,21,21021
gads1258,Gadsup,spa,Gadsup - ~N/A~,9,6,9006
dera1248,Kanakuru,upsid,KANAKURU - ~N/A~,24,11,24011
sanj1284,Zapotec (San Lucas Quiaviní),ph,Tlacolula Valley Zapotec; Western Tlacolula Zapotec; Zapotec,29,18,29018
buru1296,Burushaski,ea,Burushaski - Burushaski (Hunza),38,10,38010
tern1247,Ternate,ph,Ternate - ~N/A~,20,5,20005
tach1250,Tashlhiyt,gm,Tachelhit - ~N/A~,33,4,33004
hind1269,Hindi,ra,Hindi - ~N/A~,37,21,37021
beem1239,Beembe,spa,Beembe - ~N/A~,19,20,19020
kela1255,Kela (Apoze),ph,Kela - Apoze,16,14,16014
zapa1253,Zaparo,saphon,Záparo - ~N/A~,14,8,14008
bord1248,Kuna,saphon,Border Kuna - ~N/A~,19,5,19005
papa1238,Totonac (Papantla),spa,Totonac - ~N/A~,20,6,20006
arao1248,Araona,saphon,Araona - ~N/A~,19,4,19004
arhu1242,Ika,saphon,Ika - ~N/A~,15,6,15006
chuk1273,Chukchi,ea,Chukchi - ~N/A~,14,6,14006
izon1238,Ijo (Kolokuma),upsid,KOLOKUMA IJO - ~N/A~,19,18,19018
juan1238,Juang,ra,Juang - ~N/A~,24,12,24012
mezq1235,Otomí (Mezquital),spa,Otomi - ~N/A~,42,13,42013
moks1248,Mordvin (Moksha),ea,Moksha - Moksha (Southwest),35,6,35006
java1254,Javanese,spa,Javanese - ~N/A~,22,8,22008
pait1244,Paite,ra,Paite - ~N/A~,19,6,19006
ewee1241,Ewe,upsid,EWE - ~N/A~,26,14,26014
gami1243,Yuwaalaraay,er,Gamilaraay - ~N/A~,15,6,15006
waam1244,Waama,aa,Waama - ~N/A~,13,25,13025
achu1247,Achumawi,upsid,ACHUMAWI - ~N/A~,17,6,17006
adam1253,Fulfulde (Adamawa),gm,fulfulde (fuunaangere) - fuunaangere,29,10,29010
yare1248,Yareba,upsid,YAREBA - ~N/A~,13,5,13005
udih1248,Udihe,ea,Udihe - Udihe (Bikin),19,21,19021
nade1244,Nadëb,saphon,Nadëb - ~N/A~,17,17,17017
lako1247,Lakhota,upsid,DAKOTA - ~N/A~,28,8,28008
mbal1255,Mbalanhu,gm,Mbalanhu - ~N/A~,23,6,23006
stan1289,Catalan,ea,Catalan - Catalan (Mallorcan),25,10,25010
nucl1235,Armenian (Eastern),upsid,ARMENIAN - ~N/A~,30,6,30006
gily1242,Nivkh,spa,Gilyak - ~N/A~,34,10,34010
peng1244,Pengo,ra,Pengo - ~N/A~,22,10,22010
abid1235,Abidji,aa,Abidji - ~N/A~,21,18,21018
sinh1246,Sinhala,spa,Sinhalese - ~N/A~,37,16,37016
dupa1235,Agta (Dupaningan),ea,Dupaningan Agta - ~N/A~,15,6,15006
sout2674,Saami (Central-South),upsid,SAAMI - ~N/A~,39,6,39006
kohu1244,Kohumono,upsid,KOHUMONO - ~N/A~,28,10,28010
loni1238,Loniu,ph,Loniu - ~N/A~,16,7,16007
lara1258,Laragia,er,Larrakia - ~N/A~,18,6,18006
mull1237,Malakmalak,er,Malak-Malak - ~N/A~,14,5,14005
gads1258,Gadsup,upsid,GADSUP - ~N/A~,9,6,9006
jurm1239,Jur Mödö,aa,Jur mödö - ~N/A~,31,18,31018
gumu1244,Gumuz,gm,Gumuz - Sese,34,10,34010
sout2982,Pomo (Southeastern),upsid,POMO - ~N/A~,27,5,27005
tibe1272,Tibetan (Standard Spoken),ea,Drokpa Tibetan - Drokpa Tibetan (Zhongba),29,13,29013
daha1245,Dahalo,upsid,DAHALO - ~N/A~,54,5,54005
lele1276,Lele,gm,Lele - ~N/A~,23,10,23010
cent1973,Pashto,upsid,PASHTO - ~N/A~,31,7,31007
khak1248,Khakas,ea,Khakas - Khakas (Standard),23,16,23016
mund1320,Mundari,ra,Mundari - ~N/A~,21,18,21018
ebir1243,Ebira,aa,Ebira - ~N/A~,19,9,19009
lamu1254,Lamu-Lamu,er,Lamalama - ~N/A~,26,3,26003
kich1262,Quiché,ph,Quiche - ~N/A~,22,10,22010
nija1241,Balyku,er,Palyku - ~N/A~,20,6,20006
keny1279,Kenyang,ph,Kenyang - ~N/A~,21,20,21020
ayac1239,Quechua (Ayacucho),saphon,Ayacucho Quechua - ~N/A~,14,3,14003
chra1242,Chrau,ph,Chrau - ~N/A~,20,13,20013
seco1241,Secoya,saphon,Secoya - ~N/A~,14,12,14012
sout2750,Yukaghir (Kolyma),ph,Yukaghir (Kolyma) - Southern,21,12,21012
bula1255,Bularnu,er,Bularnu - ~N/A~,26,6,26006
atay1247,Atayal,spa,Atayal - ~N/A~,19,8,19008
caja1238,Quechua (Cajamarca),saphon,Cajamarca Quechua - ~N/A~,19,3,19003
biri1256,Biri,er,Wiri - ~N/A~,15,3,15003
cash1254,Cashinahua,saphon,Kashinawa - ~N/A~,15,8,15008
goon1238,Gooniyandi,er,Gooniyandi - ~N/A~,19,4,19004
wikm1247,Wik Munkan,er,Wik Mungkan - ~N/A~,16,10,16010
toba1269,Toba,saphon,Toba - Takshek dialect,20,8,20008
sene1264,Seneca,spa,Seneca - ~N/A~,11,16,11016
west2466,Tenyer,aa,Karaboro - ~N/A~,20,21,20021
rawa1265,Rawang,ea,Rawang - Rawang (Mutwang),20,14,20014
pang1287,Pangwa,gm,Pangwa - ~N/A~,23,12,23012
fasu1242,Fasu,upsid,FASU - ~N/A~,11,10,11010
laoo1244,Lao,ea,Lao - Lao (Chieng Khouang),21,12,21012
darf1239,Daju (Dar Fur),upsid,DAJU - ~N/A~,24,6,24006
kadi1248,Kadiwéu,ph,Kadiweu - ~N/A~,23,8,23008
huas1242,Huastec,ph,Huastec - Potosino dialect,26,10,26010
lang1324,Lango,gm,Lango - ~N/A~,18,20,18020
apin1244,Apinayé,saphon,Apinayé - ~N/A~,17,17,17017
waya1269,Wayana,ph,Wayana - ~N/A~,9,7,9007
awad1243,Awadhi,ra,Awadhi - ~N/A~,37,8,37008
konk1269,Konkomba,gm,Konkomba - Nawaré,21,14,21014
kore1280,Korean,spa,Korean - ~N/A~,22,18,22018
biss1248,Bisa,aa,Bisa - ~N/A~,23,15,23015
saki1248,Mekens,ph,Sakirabiá; Mekens - ~N/A~,15,20,15020
lamb1269,Lamani,ra,Lamani - ~N/A~,30,18,30018
alla1248,Alladian,upsid,ALLADIAN - ~N/A~,25,11,25011
ahte1237,Ahtna,upsid,AHTNA - ~N/A~,30,5,30005
chec1245,Chechen,ea,Chechen - Chechen (Ҫ̇äberloy),39,25,39025
kore1280,Korean,uz,Korean - Standard Korean (spoken in and around Seoul),20,28,20028
yama1264,Yahgan,saphon,Yahgan - ~N/A~,15,5,15005
marg1265,Margi,upsid,MARGI - ~N/A~,30,4,30004
east2563,Cham (Eastern),spa,Cham - ~N/A~,24,9,24009
tata1255,Tatar,ea,Tatar - Tatar (Standard),29,14,29014
sang1328,Sango,aa,Sango - Sango (CAF),26,12,26012
dhar1247,Dhargari,er,Tharrkari - ~N/A~,25,6,25006
guah1255,Guahibo,upsid,GUAHIBO - ~N/A~,17,12,17012
udmu1245,Udmurt,ea,Udmurt - Udmurt (Udmurt Tašly),28,8,28008
baat1238,Bariba,upsid,BARIBA - ~N/A~,18,12,18012
chal1275,Neo-Aramaic (Amadiya),ea,Modern Aramaic - Modern Aramaic (Northeastern),37,8,37008
hung1274,Hungarian,uz,Hungarian - Educated colloquial Hungarian (as spoken in Budapest of the 1990s),50,14,50014
yami1256,Yaminahua,saphon,Saynawa - ~N/A~,13,4,13004
kamb1297,Kamba,gm,Kikamba - ~N/A~,13,14,13014
mbum1254,Mbum,upsid,MBUM - ~N/A~,30,8,30008
defa1248,Defaka,gm,Defaka - ~N/A~,18,19,18019
capa1241,Capanahua,saphon,Capanahua - ~N/A~,16,8,16008
ainu1240,Ainu,spa,Ainu - ~N/A~,12,5,12005
yuec1235,Cantonese,uz,Chinese - Hong Kong Cantonese,21,21,21021
lamn1239,Lamnso',aa,Nsoʼ - ~N/A~,26,12,26012
nami1256,Namia,ph,Namia - ~N/A~,9,6,9006
urub1250,Urubú-Kaapor,saphon,Kaapor - ~N/A~,15,11,15011
tiwi1244,Tiwi,ph,Tiwi - ~N/A~,14,4,14004
halh1238,Khalkha,spa,Khalkha - ~N/A~,21,14,21014
yine1238,Piro,saphon,Yine - ~N/A~,16,10,16010
beng1280,Bengali,ea,Bengali - Bengali (Dhaka),30,17,30017
ticu1245,Ticuna,spa,Ticuna - ~N/A~,18,11,18011
stan1293,English,spa,English - ~N/A~,27,13,27013
ndon1254,Ndonga,gm,Ndonga (Kwaluudhi) - Kwaluudhi,29,5,29005
mani1292,Meithei,ra,Manipuri - ~N/A~,27,8,27008
iton1250,Itonama,saphon,Itonama - ~N/A~,19,6,19006
sout2982,Pomo (Southeastern),spa,Pomo - ~N/A~,27,11,27011
mand1415,Mandarin,ph,Standard Chinese; Mandarin - Beijing,24,21,24021
chuk1273,Chukchi,spa,Chukchi - ~N/A~,15,7,15007
chiq1248,Chiquitano,saphon,Bésɨro - ~N/A~,14,12,14012
sant1410,Santali,ra,Santali - ~N/A~,35,11,35011
stan1295,German,uz,German - ~N/A~,21,19,21019
ngiz1242,Ngizim,upsid,NGIZIM - ~N/A~,34,6,34006
mann1248,Mano,gm,Mano - ~N/A~,22,14,22014
kiny1244,Kinyarwanda,ph,Kinyarwanda - ~N/A~,39,10,39010
mapu1245,Mapudungun,upsid,ARAUCANIAN - ~N/A~,20,6,20006
akan1250,Akan,upsid,AKAN - ~N/A~,21,14,21014
lisu1250,Lisu,ea,Lisu - Lisu (Flowery),32,10,32010
fuln1247,Fulniô,upsid,IATE - ~N/A~,18,12,18012
niva1238,Nivacle,upsid,ASHUSLAY - ~N/A~,22,6,22006
cent2004,Bai,upsid,BAI - ~N/A~,18,11,18011
embe1260,Catio,saphon,Emberá-Catío - ~N/A~,19,12,19012
ilok1237,Ilocano,ph,Ilocano - Northern,17,4,17004
east2542,Ojibwa (Eastern),upsid,OJIBWA - ~N/A~,16,11,16011
resi1247,Resígaro,saphon,Resígaro - ~N/A~,32,5,32005
mofu1248,Mofu-Gudur,aa,Mofu-gudur - ~N/A~,35,7,35007
mwag1236,Mupun,aa,Mwaghavul - ~N/A~,25,12,25012
atay1247,Atayal,upsid,ATAYAL - ~N/A~,19,7,19007
dang1274,Dangaléat (Western),upsid,DANGALEAT - ~N/A~,21,7,21007
mapu1245,Mapudungun,saphon,Mapudungun - ~N/A~,22,6,22006
pany1241,Panyjima,er,Panyjima - ~N/A~,20,5,20005
guja1253,Gojri,ra,Gojri - ~N/A~,35,19,35019
mesc1238,Apache (Chiricahua),ph,Chiricahua Apache - ~N/A~,31,16,31016
dutc1256,Dutch,uz,Dutch - the dialect of Hasselt (belongs to the West-Limburgian dialect group),22,33,22033
lith1251,Lithuanian,ea,Lithuanian - Lithuanian (West Samogitian),26,14,26014
ndon1254,Ndonga,gm,Ndonga (Kolonkadhi) - Kolonkadhi,29,5,29005
cent2128,Yupik (Siberian),upsid,YUPIK - ~N/A~,32,4,32004
tata1257,Tatana',ph,Tatana''; Tatanaq; Tatana' - ~N/A~,17,4,17004
yand1253,Innamincka,er,Yandruwandha - ~N/A~,26,4,26004
iran1263,Iranxe,upsid,IRANXE - ~N/A~,21,18,21018
gbay1287,Gbeya Bossangoa,upsid,GBEYA - ~N/A~,31,12,31012
mode1248,Greek (Modern),ea,Greek - Greek (Standard),24,5,24005
woun1238,Waunana,saphon,Woun Meu - ~N/A~,19,14,19014
karo1304,Karok,upsid,KAROK - ~N/A~,16,11,16011
kumb1268,Gumbaynggir,er,Gumbaynggir - ~N/A~,13,6,13006
mara1404,Maranao,upsid,MARANAO - ~N/A~,13,4,13004
nyam1271,Nyamal,er,Nyamal - ~N/A~,17,6,17006
east2328,Mari (Meadow),ea,Eastern Mari - ~N/A~,22,9,22009
kild1236,Saami (Kildin),ea,Kildin Saami - ~N/A~,113,15,113015
quec1382,Quechan,ph,Yuma - ~N/A~,28,10,28010
guaj1255,Guajajara,saphon,Guajajára - ~N/A~,15,7,15007
chec1245,Chechen,ea,Chechen - Chechen (Ploskost),39,31,39031
pamp1243,Kapampangan,gm,Kapampangan - ~N/A~,17,5,17005
cent1973,Pashto,ea,Wazirwola - Wazirwola (South Wazīrī),24,6,24006
orok1266,Londo,ph,Lukundu - ~N/A~,22,7,22007
hupa1239,Hupa,spa,Hupa - ~N/A~,35,7,35007
east2347,Tamang (Eastern),ea,Tamang - Tamang (Eastern),19,28,19028
kumi1248,Diegueño (Mesa Grande),spa,Digueno - ~N/A~,25,9,25009
nhan1238,Nhanda,er,Nhanda - ~N/A~,27,6,27006
aman1265,Amanab,ph,Amanab - ~N/A~,14,5,14005
mako1251,Makonde,ph,Shimakonde - ~N/A~,18,5,18005
lowa1242,Baragaunle,ea,gLo Tibetan - ~N/A~,35,8,35008
dann1241,Dan,upsid,DAN - ~N/A~,19,20,19020
gbay1287,Gbeya Bossangoa,aa,Gbaya - Gbaya (Bossangoa,29,12,29012
soni1259,Soninke,gm,soninke (kaedi (MRT)) - kaedi (MRT),28,15,28015
baka1277,Bakairí,upsid,BAKAIRI - ~N/A~,17,12,17012
utes1238,Chemehuevi,ph,Southern Ute; Ute; Ute-Southern Paiute - ~N/A~,19,18,19018
maun1240,Maung,spa,Maung - ~N/A~,19,5,19005
idom1241,Idoma,gm,Idu - ~N/A~,47,23,47023
mari1419,Maringarr,er,Marringarr - ~N/A~,28,4,28004
lith1251,Lithuanian,upsid,LITHUANIAN - ~N/A~,36,16,36016
moru1253,Moru,gm,Moru - ~N/A~,26,9,26009
siam1242,Seme,gm,Siamou - ~N/A~,22,14,22014
ngaw1240,Ngawun,er,Ngawun - ~N/A~,18,3,18003
guar1293,Warekena,saphon,Warekena - ~N/A~,17,8,17008
puoc1238,Ksingmul,ea,Ksingmul - ~N/A~,20,18,20018
kaba1278,Kabardian,upsid,KABARDIAN - ~N/A~,49,7,49007
nyan1301,Nyangumarda,spa,Nyangumata - ~N/A~,20,7,20007
yukp1241,Yukpa,saphon,Yukpa - de Irapa,12,6,12006
telu1262,Telugu,ea,Telugu - Telugu (Standard),33,11,33011
toho1245,O'odham,spa,Pima - ~N/A~,19,10,19010
atam1239,Uradhi,er,Atampaya - ~N/A~,18,8,18008
siri1273,Sirionó,saphon,Sirionó - ~N/A~,18,12,18012
nugu1242,Gunu,aa,Nugunu - ~N/A~,15,7,15007
nucl1310,Burmese,uz,Burmese - Rangoon,31,19,31019
kuvi1243,Kuvi,ph,Kuvi - ~N/A~,22,15,22015
suri1267,Tirmaga,ph,Suri - Tirmaga,22,7,22007
lada1244,Ladakhi,ph,Ladakhi - ~N/A~,33,5,33005
qaqe1238,Qaget,upsid,BAINING - ~N/A~,14,8,14008
west2644,Chatino (Sierra Occidental),upsid,CHATINO - ~N/A~,16,9,16009
ruka1240,Rukai (Tanan),upsid,RUKAI - ~N/A~,23,4,23004
east2295,Yiddish (Bessarabian),ph,Standard Yiddish - ~N/A~,38,9,38009
lakk1252,Lak,spa,Lak - ~N/A~,60,9,60009
libe1247,Kpelle,upsid,KPELLE - ~N/A~,22,12,22012
itel1242,Itelmen,upsid,ITELMEN - ~N/A~,27,5,27005
kett1243,Ket,ea,Ket - Ket (Kellog),14,11,14011
waya1269,Wayana,saphon,Wayana - ~N/A~,9,7,9007
muin1242,Muinane,upsid,MUINANE - ~N/A~,22,6,22006
akan1250,Akan,aa,Akan - ~N/A~,18,9,18009
jeme1245,Jemez,ph,Jemez - ~N/A~,39,22,39022
stan1290,French,spa,French - ~N/A~,23,17,23017
imon1245,Imonda,ph,Imonda - ~N/A~,13,10,13010
nort2626,Frisian (North),ph,Frisian - Sölring North,23,19,23019
taro1263,Tarok,aa,Tarok - ~N/A~,27,7,27007
akha1245,Akha,ea,Akha - ~N/A~,34,23,34023
sout2918,Sama (Southern),gm,Southern Sama - Sinama,17,6,17006
awtu1239,Awtuw,ph,Awtuw - ~N/A~,11,7,11007
jola1262,Diola-Kasa,gm,Joola Huluf - ~N/A~,31,20,31020
lada1244,Ladakhi,ea,Ladakhi - Ladakhi (Leh),33,5,33005
fiji1243,Fijian,upsid,FIJIAN - ~N/A~,19,11,19011
even1260,Even,spa,Even - ~N/A~,18,18,18018
ital1282,Italian,uz,Italian - Standard Italian,39,31,39031
duru1236,Parji (Dravidian),ra,Parji - ~N/A~,21,10,21010
dong1285,Santa,ea,Dongxiang - ~N/A~,28,6,28006
nang1259,Ngankikurungkurr,er,Ngan'gityemerri - ~N/A~,19,4,19004
nucl1683,Daba,aa,Daba - ~N/A~,36,6,36006
mode1248,Greek (Modern),spa,Modern Greek - ~N/A~,21,5,21005
lund1266,Lunda,ph,Lunda - ~N/A~,22,10,22010
east2328,Mari (Meadow),spa,Cheremis - ~N/A~,25,9,25009
okuu1243,Oku,ph,Oku - ~N/A~,18,7,18007
fefe1239,Fe'fe',upsid,FE?FE? - ~N/A~,17,8,17008
wang1290,Wangkangurru,er,Wangkangurru - ~N/A~,21,3,21003
bamb1269,Bambara,upsid,BAMBARA - ~N/A~,21,14,21014
yami1256,Yaminahua,saphon,Yaminawa - ~N/A~,14,8,14008
leti1246,Leti,gm,Leti - ~N/A~,10,12,10012
nene1249,Nenets,ea,Tundra Nenets - Tundra Nenets (Far Eastern),24,9,24009
west2600,West Makian,upsid,WEST MAKIAN - ~N/A~,17,6,17006
mana1288,Manange,ea,Manange - ~N/A~,30,11,30011
ngam1268,Ngambay,aa,Ngambai - ~N/A~,18,13,18013
nucl1302,Georgian,uz,georgian - Standard (or literary) georgian (Kartluri dialect),28,5,28005
koyr1242,Koyraboro Senni,spa,Songhai - ~N/A~,33,15,33015
biak1248,Biak,gm,Biak - Sowek,14,5,14005
mand1415,Mandarin,ea,Standard Chinese - Standard Chinese (Beijing),25,21,25021
masa1300,Maasai,spa,Maasai - ~N/A~,21,18,21018
maor1246,Maori,spa,Maori - ~N/A~,10,10,10010
west2392,Mari (Hill),ea,Hill Mari - Hill Mari (Kozmodemjansk),24,10,24010
awac1239,Awa Pit,ph,Awa Pit - ~N/A~,14,7,14007
tivv1240,Tiv,gm,Tiv - Central (Standard),31,6,31006
kuku1273,Kuku-Yalanji,upsid,GUGU-YALANDYI - ~N/A~,13,3,13003
yoru1245,Yoruba,aa,Yorouba - Yorouba (Nigeria),18,11,18011
diml1238,Zazaki,ph,Dimili - ~N/A~,30,14,30014
kala1377,Kala Lagaw Ya,upsid,KALA LAGAW YA - ~N/A~,18,6,18006
swis1247,German (Appenzell),uz,Swiss German - Zurich,27,29,27029
cusc1236,Quechua (Cuzco),saphon,Cuzco-Collao Quechua - ~N/A~,26,5,26005
acha1249,Achang,ea,Achang - Achang (Lianghe),36,23,36023
west2369,Persian,uz,Persian - ~N/A~,23,6,23006
tzut1248,Tzutujil,ph,Tzutujil - San Juan,25,10,25010
efik1245,Efik,upsid,EFIK - ~N/A~,13,7,13007
chim1309,Chimila,saphon,Chimila - ~N/A~,16,20,16020
kaya1319,Kayardild,er,Yangkaralda - ~N/A~,18,6,18006
east2328,Mari (Meadow),ea,Meadow Mari - Meadow Mari (Volga),21,9,21009
gavi1246,Gavião,saphon,Gavião do Jiparaná - ~N/A~,19,10,19010
pana1305,Tümpisa Shoshone,ph,Panamint - ~N/A~,23,13,23013
warl1254,Warlpiri,er,Warlpiri - ~N/A~,18,6,18006
uruu1244,Uru,saphon,Uru - ~N/A~,23,10,23010
roma1327,Romanian,ea,Romanian - Romanian (Standard),40,11,40011
shua1257,Jivaro,saphon,Shuar - ~N/A~,13,8,13008
bemb1257,Bemba,ph,Bemba - ~N/A~,15,10,15010
mala1481,Manadonese,gm,Manado Malay - ~N/A~,19,6,19006
stan1288,Spanish,upsid,SPANISH - ~N/A~,20,5,20005
ogbi1239,Ogbia,upsid,OGBIA - ~N/A~,24,10,24010
rend1243,Rendille,aa,Rendille - ~N/A~,21,10,21010
marg1253,Margany,er,Margany - ~N/A~,25,6,25006
kwin1241,Gunin,er,Kwini - ~N/A~,17,11,17011
bond1245,Remo,ph,Remo - ~N/A~,21,6,21006
pure1242,Purépecha,spa,Tarascan - ~N/A~,26,6,26006
soqo1240,Soqotri,upsid,SOCOTRI - ~N/A~,28,6,28006
lake1258,Miwok (Lake),ph,Lake Miwok; Miwok (Lake) - ~N/A~,29,10,29010
tzel1254,Tzeltal (Aguacatenango),spa,Tzeltal - ~N/A~,25,5,25005
icel1247,Icelandic,spa,Icelandic - ~N/A~,23,16,23016
dani1285,Danish,ea,Danish - ~N/A~,15,11,15011
buru1296,Burushaski,ea,Burushaski - Burushaski (Werchikwar),38,10,38010
anyi1245,Anyi,gm,Agni Djuablin - ~N/A~,17,14,17014
luwo1239,Luwo,gm,Luwo - ~N/A~,19,10,19010
plat1254,Malagasy,spa,Malagasy - ~N/A~,31,5,31005
tehu1242,Tehuelche,upsid,TEHUELCHE - ~N/A~,28,7,28007
biri1256,Biri,er,Biri - ~N/A~,15,3,15003
nucl1302,Georgian,upsid,GEORGIAN - ~N/A~,28,6,28006
rutu1240,Rutul,upsid,RUTUL - ~N/A~,59,5,59005
sher1255,Sherpa,ea,Solu Sherpa - Solu Sherpa (Lukla),34,13,34013
roma1327,Romanian,upsid,ROMANIAN - ~N/A~,22,10,22010
kuni1267,Kunimaipa,spa,Kunimaipa - ~N/A~,15,5,15005
komi1269,Komi-Permyak,ea,Komi-Permyak - ~N/A~,30,7,30007
viet1252,Vietnamese,ea,Vietnamese - Vietnamese (Hanoi),21,16,21016
achu1248,Achuar,saphon,Achuar-Shiwiar - ~N/A~,15,12,15012
yamb1251,Yamba,aa,Yamba - ~N/A~,26,8,26008
sali1298,Sáliba (in Colombia),upsid,SALIBA - ~N/A~,22,10,22010
bard1255,Bardi,uz,Bardi - One Arm Point,18,7,18007
rong1268,Ronga,gm,Ronga - ~N/A~,64,5,64005
ocai1244,Ocaina,upsid,OCAINA - ~N/A~,25,9,25009
hame1242,Hamer,upsid,HAMER - ~N/A~,25,10,25010
cent1973,Pashto,spa,Pashto - ~N/A~,31,7,31007
basq1248,Basque,ea,Basque - Basque (Gernika),23,7,23007
bodo1267,Gutob,ra,Gutob - ~N/A~,21,19,21019
kuru1302,Kurukh,ra,Kurux - ~N/A~,31,25,31025
east2379,Arrernte (Mparntwe),uz,Arrernte,27,4,27004
buku1249,Bukusu,ph,Bukusu - ~N/A~,20,10,20010
kett1243,Ket,spa,Ket - ~N/A~,18,14,18014
afar1241,Qafar,gm,Afar - ~N/A~,17,10,17010
toar1246,Toaripi,upsid,TAORIPI - ~N/A~,8,6,8006
lese1243,Lese,gm,Balese - ~N/A~,29,10,29010
khan1273,Khanty,ea,Northern Khanty - Northern Khanty (Sob Obdorsk),16,9,16009
mola1238,Molala,ph,Molalla - ~N/A~,23,7,23007
kham1282,Kham (Dege),ea,Kami Tibetan - ~N/A~,56,21,56021
khan1273,Khanty,spa,Ostyak - ~N/A~,19,13,19013
chec1245,Chechen,ea,Chechen - Chechen (Pẋarçxoy Äqqiy),39,28,39028
haus1257,Hausa,upsid,HAUSA - ~N/A~,31,7,31007
nucl1301,Turkish,upsid,TURKISH - ~N/A~,25,8,25008
bafu1246,Bafut,aa,Bafut - ~N/A~,21,18,21018
aghe1239,Aghem,gm,Aghem - ~N/A~,28,19,28019
kunj1245,Kunjen,spa,Kunjen - ~N/A~,23,5,23005
aona1235,Ao,ra,Ao-Naga - ~N/A~,24,8,24008
kham1282,Kham (Dege),ea,Brag-g.yab Tibetan - ~N/A~,40,21,40021
tami1289,Tamil,ra,Tamil - ~N/A~,32,11,32011
toro1252,Toro So,upsid,DOGON - ~N/A~,16,12,16012
tami1289,Tamil,ph,Tamil - Standard Spoken Tamil,21,12,21012
nucl1301,Turkish,uz,Turkish - Standard Turkish (Istanbul),24,12,24012
gude1246,Gude,gm,Gu'de - ~N/A~,30,4,30004
taca1256,Tacana,upsid,TACANA - ~N/A~,18,4,18004
yemb1246,Yemba,gm,Yemba - ~N/A~,17,7,17007
hunz1247,Hunzib,uz,Hunzib - ~N/A~,36,24,36024
aika1237,Aikaná,upsid,HUARI - ~N/A~,22,10,22010
adam1253,Fulfulde (Adamawa),gm,Fulfulde (Cameroon) - CAM,37,10,37010
norw1259,Norwegian,upsid,NORWEGIAN - ~N/A~,22,24,22024
lazz1240,Laz,ea,Laz - Laz (Ardeşen),33,5,33005
yane1238,Amuesha,upsid,AMUESHA - ~N/A~,23,3,23003
timn1235,Temne,uz,Temne - Yoni dialect and North-Western dialect of Temne (town of Kambia in the Northern Province of Sierra Leone),19,15,19015
komi1268,Komi-Zyrian,upsid,KOMI - ~N/A~,26,7,26007
xere1240,Xerénte,saphon,Xerénte - ~N/A~,13,14,13014
djin1253,Djinang,er,Djinang - ~N/A~,22,3,22003
laoo1244,Lao,ea,Lao - Lao (Luang Prabang),21,12,21012
atay1247,Atayal,ea,Atayal - ~N/A~,18,6,18006
ming1252,Mingrelian,ea,Mingrelian - Mingrelian (Zugdidi-Samurzaqano),31,6,31006
khmu1256,Khmu',upsid,KHMU? - ~N/A~,23,18,23018
kwom1262,Kwoma,spa,Washkuk - ~N/A~,24,7,24007
katc1249,Kadugli,upsid,KADUGLI - ~N/A~,22,5,22005
sang1328,Sango,aa,Sango - Sango (COD),26,12,26012
iton1250,Itonama,upsid,ITONAMA - ~N/A~,19,6,19006
kirg1245,Kirghiz,spa,Kirghiz - ~N/A~,20,16,20016
bank1256,Bankon,gm,Bankon - ~N/A~,26,7,26007
gure1255,Gureng Gureng,er,Guweng - ~N/A~,13,10,13010
toda1252,Toda,ra,Toda - ~N/A~,38,15,38015
kaya1319,Kayardild,er,Kayardild - ~N/A~,17,6,17006
karb1241,Mikir,ra,Karbi (Mikir) - ~N/A~,28,11,28011
sang1328,Sango,upsid,SANGO - ~N/A~,26,11,26011
lowa1242,Baragaunle,ea,South Mustang Tibetan - South Mustang Tibetan (Jharkhot),35,7,35007
boro1282,Bororo,saphon,Borôro - ~N/A~,15,7,15007
kara1462,Tofa,ea,Tofa - ~N/A~,28,39,28039
biss1248,Bisa,upsid,BISA - ~N/A~,18,6,18006
west2443,Madimadi,er,West Djadjawurung - ~N/A~,17,4,17004
murr1258,Murrinh-Patha,upsid,MURINHPATHA - ~N/A~,21,4,21004
wapi1253,Wapishana,spa,Wapishana - ~N/A~,17,12,17012
slov1269,Slovak,uz,Slovak - Standard Slovak (Bratislava / Kos̆ice),29,15,29015
gily1242,Nivkh,ea,Nivkh - Nivkh (West Sakhalin),28,6,28006
mich1243,Michif,ph,Michif - ~N/A~,25,16,25016
seri1257,Seri,ph,Seri - ~N/A~,17,8,17008
unam1242,Unami,spa,Delaware - ~N/A~,22,17,22017
uppe1455,Guinea Bissau Crioulo,gm,Kriyol - ~N/A~,23,5,23005
