L.glottocode,name,dataset,dialect,Consonant,Vowel,Group
bero1242,Birom,upsid,BIROM - ~N/A~,22,7,22007
yucu1253,Yucuna,upsid,YUCUNA - ~N/A~,16,5,16005
tang1336,Naga (Tangkhul),ra,Tangkul Naga - ~N/A~,27,13,27013
alab1237,Alabama,spa,Alabama - ~N/A~,15,6,15006
badi1246,Badimaya,er,Badimaya - ~N/A~,20,3,20003
jams1239,Jamsay,gm,Jamsay,24,21,24021
nucl1643,Japanese,uz,Japanese - Japanese (Tokyo or other areas with similar pitch accent systems),16,5,16005
bura1267,Burarra,upsid,BURARRA - ~N/A~,16,5,16005
japr1238,Japreria,saphon,Japreria - ~N/A~,14,6,14006
stan1293,English,uz,English (New Zealand) - Pākehā,24,21,24021
maga1260,Magahi,ea,Magahi - ~N/A~,34,16,34016
lyel1241,Lyele,aa,Lyélé - ~N/A~,24,16,24016
norw1259,Norwegian,spa,Norwegian - ~N/A~,27,19,27019
ghod1238,Godoberi,ea,Godoberi - ~N/A~,53,13,53013
kond1295,Konda,ra,Kon̩d̩a or Kubi - ~N/A~,23,20,23020
burj1242,Burji,gm,Burji - ~N/A~,26,10,26010
lahu1253,Lahu,spa,Lahu - ~N/A~,26,9,26009
bell1243,Bella Coola,upsid,BELLA COOLA - ~N/A~,28,3,28003
iran1263,Iranxe,saphon,Mỹky - ~N/A~,21,22,21022
nuuc1236,Kyuquot,ph,Nootka - Nuuchahnulth,37,10,37010
bhil1251,Bhili,ra,Bhili - ~N/A~,35,27,35027
nauk1242,Yupik (Naukan),ea,Naukan Yupik - ~N/A~,18,4,18004
taca1256,Tacana,saphon,Tacana - ~N/A~,18,4,18004
wang1291,Ngiyambaa,upsid,NGIYAMBAA - ~N/A~,15,3,15003
waor1240,Waorani,upsid,AUCA - ~N/A~,11,10,11010
amar1274,Amarakaeri,saphon,Amarakaeri - ~N/A~,15,18,15018
moss1236,Mooré,aa,Moore - ~N/A~,17,24,17024
yuca1254,Yucatec,upsid,YUCATEC - ~N/A~,20,10,20010
ming1252,Mingrelian,ea,Mingrelian - Mingrelian (Martvili),30,5,30005
alaw1244,Alawa,er,Alawa - ~N/A~,22,4,22004
kuvi1243,Kuvi,ra,Kuvi - ~N/A~,28,19,28019
yuec1235,Cantonese,upsid,TAISHAN - ~N/A~,20,5,20005
chuv1255,Chuvash,upsid,CHUVASH - ~N/A~,21,9,21009
tuni1252,Tunica,upsid,TUNICA - ~N/A~,17,7,17007
kore1280,Korean,ea,Korean - Korean (Seoul),21,17,21017
bina1277,Binandere,ph,Binandere - ~N/A~,11,24,11024
egyp1253,Arabic (Egyptian),upsid,ARABIC - ~N/A~,27,8,27008
moro1285,Moro,upsid,MORO - ~N/A~,22,7,22007
nyul1247,Nyulnyul,er,Nyulnyul - ~N/A~,17,3,17003
lazz1240,Laz,ea,Laz - Laz (Hopa),33,5,33005
nort2745,Yukaghir (Tundra),spa,Yukaghir - ~N/A~,20,12,20012
taro1263,Tarok,upsid,TAROK - ~N/A~,26,6,26006
bagi1246,Bagirmi,gm,Bagirmi - ~N/A~,29,16,29016
mung1266,Mungaka,ph,Mungaka - ~N/A~,21,9,21009
kari1304,Kariera,er,Kariyarra - ~N/A~,20,3,20003
suii1243,Sui,upsid,SUI - ~N/A~,47,7,47007
gras1249,Koiari,upsid,KOIARI - ~N/A~,11,5,11005
