Source,Target,Id,Length,Type,Weight
juh, lez, 1, 0.4911504424778761, Undirected, 0.5088495575221239
juh, hin, 2, 0.45560747663551404, Undirected, 0.544392523364486
juh, kro, 4, 0.39622641509433965, Undirected, 0.6037735849056604
juh, orh, 5, 0.4486607142857143, Undirected, 0.5513392857142857
juh, ing, 7, 0.4297752808988764, Undirected, 0.5702247191011236
juh, otm, 8, 0.4285714285714286, Undirected, 0.5714285714285714
juh, hun, 9, 0.42500000000000004, Undirected, 0.575
juh, aeg, 10, 0.42105263157894735, Undirected, 0.5789473684210527
juh, sml, 11, 0.46875, Undirected, 0.53125
juh, aco, 12, 0.467741935483871, Undirected, 0.532258064516129
juh, brm, 13, 0.4642857142857143, Undirected, 0.5357142857142857
juh, nav, 14, 0.49687499999999996, Undirected, 0.503125
juh, bur, 15, 0.4955357142857143, Undirected, 0.5044642857142857
juh, bag, 16, 0.3857142857142857, Undirected, 0.6142857142857143
juh, irq, 17, 0.4972826086956522, Undirected, 0.5027173913043478
juh, khm, 19, 0.27419354838709675, Undirected, 0.7258064516129032
lez, hin, 22, 0.32913669064748197, Undirected, 0.670863309352518
lez, abk, 23, 0.3362068965517241, Undirected, 0.6637931034482759
lez, kro, 24, 0.44881889763779526, Undirected, 0.5511811023622047
lez, orh, 25, 0.4246323529411765, Undirected, 0.5753676470588235
lez, hzb, 26, 0.20625000000000004, Undirected, 0.79375
lez, ing, 27, 0.18918918918918914, Undirected, 0.8108108108108109
lez, otm, 28, 0.4158415841584159, Undirected, 0.5841584158415841
lez, hun, 29, 0.4353146853146853, Undirected, 0.5646853146853147
lez, aeg, 30, 0.48863636363636365, Undirected, 0.5113636363636364
lez, aco, 32, 0.47045454545454546, Undirected, 0.5295454545454545
lez, brm, 33, 0.35820895522388063, Undirected, 0.6417910447761194
lez, bur, 35, 0.31204379562043794, Undirected, 0.6879562043795621
lez, bag, 36, 0.4871794871794872, Undirected, 0.5128205128205128
lez, irq, 37, 0.4304347826086956, Undirected, 0.5695652173913044
lez, knd, 38, 0.3063380281690141, Undirected, 0.6936619718309859
lez, khm, 39, 0.4928571428571429, Undirected, 0.5071428571428571
hin, abk, 43, 0.40808823529411764, Undirected, 0.5919117647058824
hin, kro, 44, 0.48750000000000004, Undirected, 0.5125
hin, orh, 45, 0.31488549618320616, Undirected, 0.6851145038167938
hin, hzb, 46, 0.32894736842105265, Undirected, 0.6710526315789473
hin, ing, 47, 0.32547169811320753, Undirected, 0.6745283018867925
hin, otm, 48, 0.3602941176470589, Undirected, 0.6397058823529411
hin, hun, 49, 0.3253676470588235, Undirected, 0.6746323529411765
hin, aeg, 50, 0.36046511627906974, Undirected, 0.6395348837209303
hin, sml, 51, 0.44166666666666665, Undirected, 0.5583333333333333
hin, aco, 52, 0.4471153846153846, Undirected, 0.5528846153846154
hin, brm, 53, 0.4204545454545454, Undirected, 0.5795454545454546
hin, nav, 54, 0.40263157894736845, Undirected, 0.5973684210526315
hin, bur, 55, 0.3081395348837209, Undirected, 0.6918604651162791
hin, bag, 56, 0.43965517241379315, Undirected, 0.5603448275862069
hin, irq, 57, 0.4097222222222222, Undirected, 0.5902777777777778
hin, knd, 58, 0.3111111111111111, Undirected, 0.6888888888888889
hin, khm, 59, 0.48317307692307687, Undirected, 0.5168269230769231
abk, orh, 65, 0.40808823529411764, Undirected, 0.5919117647058824
abk, hzb, 66, 0.3653846153846154, Undirected, 0.6346153846153846
abk, ing, 67, 0.3646788990825688, Undirected, 0.6353211009174312
abk, otm, 68, 0.44852941176470584, Undirected, 0.5514705882352942
abk, hun, 69, 0.4586330935251799, Undirected, 0.5413669064748201
abk, aeg, 70, 0.4147727272727273, Undirected, 0.5852272727272727
abk, aco, 72, 0.4159090909090909, Undirected, 0.5840909090909091
abk, brm, 73, 0.4375, Undirected, 0.5625
abk, nav, 74, 0.3966346153846154, Undirected, 0.6033653846153846
abk, bur, 75, 0.3277777777777777, Undirected, 0.6722222222222223
abk, bag, 76, 0.4807692307692307, Undirected, 0.5192307692307693
abk, irq, 77, 0.43141592920353977, Undirected, 0.5685840707964602
abk, knd, 78, 0.3482142857142857, Undirected, 0.6517857142857143
kro, orh, 85, 0.38104838709677424, Undirected, 0.6189516129032258
kro, hzb, 86, 0.495, Undirected, 0.505
kro, ing, 87, 0.4575, Undirected, 0.5425
kro, otm, 88, 0.4425, Undirected, 0.5575
kro, aeg, 90, 0.46799999999999997, Undirected, 0.532
kro, sml, 91, 0.44318181818181823, Undirected, 0.5568181818181818
kro, aco, 92, 0.45145631067961167, Undirected, 0.5485436893203883
kro, brm, 93, 0.4294871794871795, Undirected, 0.5705128205128205
kro, bag, 96, 0.4054054054054054, Undirected, 0.5945945945945946
kro, irq, 97, 0.4545454545454546, Undirected, 0.5454545454545454
kro, khm, 99, 0.375, Undirected, 0.625
orh, hzb, 106, 0.43243243243243246, Undirected, 0.5675675675675675
orh, ing, 107, 0.38235294117647056, Undirected, 0.6176470588235294
orh, otm, 108, 0.4632352941176471, Undirected, 0.5367647058823529
orh, hun, 109, 0.4147727272727273, Undirected, 0.5852272727272727
orh, aeg, 110, 0.3492366412213741, Undirected, 0.6507633587786259
orh, sml, 111, 0.44318181818181823, Undirected, 0.5568181818181818
orh, aco, 112, 0.4954128440366973, Undirected, 0.5045871559633027
orh, brm, 113, 0.36363636363636365, Undirected, 0.6363636363636364
orh, nav, 114, 0.495, Undirected, 0.505
orh, bur, 115, 0.40384615384615385, Undirected, 0.5961538461538461
orh, bag, 116, 0.41666666666666663, Undirected, 0.5833333333333334
