Name,ISO,Genus,Family,Macroarea,Latitude,Longitude,Countries
Maori,mri,Oceanic,Austronesian,Papunesia,-40,176,New Zealand
Mapoyo,mcg,Cariban,Cariban,South America,6,-67,Venezuela
Mapudungun,arn,Araucanian,Araucanian,South America,-38,-72,Chile
Mara,mec,Mara,Mangarrayi-Maran,Australia,-15,135.17,Australia
Maranao,mrw,Greater Central Philippine,Austronesian,Papunesia,7.83,124.25,Philippines
Maranungku,zmr,Wagaydy,Western Daly,Australia,-13.67,130,Australia
Marathi,mar,Indic,Indo-European,Eurasia,19,76,India
Margany,zmc,Northern Pama-Nyungan,Pama-Nyungan,Australia,-27,144.5,Australia
Margi,mrt,Biu-Mandara,Afro-Asiatic,Africa,11,13,Nigeria
Mari (Hill),mrj,Mari,Uralic,Eurasia,57,58,Russia
Mari (Meadow),mhr,Mari,Uralic,Eurasia,57,48,Russia
Maringarr,zmt,Bringen,Western Daly,Australia,-14.25,130,Australia
Marrithiyel,mfr,Bringen,Western Daly,Australia,-13.83,130,Australia
Martu Wangka,mpj,Western Pama-Nyungan,Pama-Nyungan,Australia,-21.5,126,Australia
Martuthunira,vma,Western Pama-Nyungan,Pama-Nyungan,Australia,-20.83,116.5,Australia
Masalit,mls,Maban,Maban,Africa,13.33,22,Chad
Matis,mpq,Panoan,Panoan,South America,-4.42,-70.25,Brazil
Matngele,zml,Eastern Daly,Eastern Daly,Australia,-13.83,130.42,Australia
Mats�s,mcf,Panoan,Panoan,South America,-5.42,-73.25,Brazil
Matuumbi,mgw,Bantoid,Niger-Congo,Africa,-8.5,39,Tanzania
Maung,mph,Iwaidjan,Iwaidjan,Australia,-11.92,133.5,Australia
Mauritian Creole,mfe,Creoles and Pidgins,other,Africa,-20.33,57.5,Mauritius
Maxakal�,mbl,Maxakal�,Macro-Ge,South America,-18,-40,Brazil
Maybrat,ayz,North-Central Bird's Head,West Papuan,Papunesia,-1.33,132.5,Indonesia
Mayogo,mdm,Ubangi,Niger-Congo,Africa,3,29,Democratic Republic of Congo
Mazanderani,mzn,Iranian,Indo-European,Eurasia,36.5,52,Iran
Mazatec (Chiquihuitl�n),maq,Popolocan,Oto-Manguean,North America,17.75,-96.92,Mexico
Mba,mfc,Ubangi,Niger-Congo,Africa,1,25,Democratic Republic of Congo
Mbalanhu,lnb,Bantoid,Niger-Congo,Africa,-17.5,15,Namibia
Mbay,myb,Bongo-Bagirmi,Central Sudanic,Africa,8.25,17.5,Chad
Mbodomo,gmm,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,4.5,15.5,Central African Republic
Mbum,mdd,Mbumic,Niger-Congo,Africa,7.75,13.17,Central African Republic
Me'en,mym,Surmic,Eastern Sudanic,Africa,5,37,Ethiopia
Mehri,gdq,Semitic,Afro-Asiatic,Eurasia,17,51.5,Yemen
Meithei,mni,Kuki-Chin,Sino-Tibetan,Eurasia,24.75,94,India
Mekens,skf,Tupari,Tupian,South America,-12.5,-61.5,Brazil
Mende,men,Western Mande,Mande,Africa,7.83,-11.5,Sierra Leone
Mian,mpt,Ok,Trans-New Guinea,Papunesia,-4.75,141.5,Papua New Guinea
Michif,crg,Algonquian,Algic,North America,52,-100.17,Canada
Mien,ium,Hmong-Mien,Hmong-Mien,Eurasia,25,111,China
Miisiirii,tma,Taman,Eastern Sudanic,Africa,13.5,22,Chad
Miju,mxj,Tani,Sino-Tibetan,Eurasia,29,96,India
Mikir,mjw,Kuki-Chin,Sino-Tibetan,Eurasia,26.33,93.5,India
Mina,hna,Biu-Mandara,Afro-Asiatic,Africa,10.33,13.83,Cameroon
Minangkabau,min,Malayo-Sumbawan,Austronesian,Papunesia,-1,101,Indonesia
Mingrelian,xmf,Kartvelian,Kartvelian,Eurasia,42.5,42,Georgia
