glottocode,Phoneme,dataset
nuuc1236,j̰,upsid
nuuc1236,k,upsid
nuuc1236,kʷ,upsid
nuuc1236,kʷʼ,upsid
nuuc1236,kʼ,upsid
nuuc1236,m,upsid
nuuc1236,m̰,upsid
nuuc1236,n̪|n,upsid
nuuc1236,n̪̰|n̰,upsid
nuuc1236,p,upsid
nuuc1236,pʼ,upsid
nuuc1236,q,upsid
nuuc1236,qʷ,upsid
nuuc1236,qʷʼ,upsid
nuuc1236,qʼ,upsid
nuuc1236,s,upsid
nuuc1236,ts,upsid
nuuc1236,tsʼ,upsid
nuuc1236,t̠ʃ,upsid
nuuc1236,t̠ʃʼ,upsid
nuuc1236,t̪,upsid
nuuc1236,t̪ɬ̪|tɬ,upsid
nuuc1236,t̪ɬ̪ʼ|tɬʼ,upsid
nuuc1236,t̪ʼ,upsid
nuuc1236,w,upsid
nuuc1236,w̰,upsid
nuuc1236,x,upsid
nuuc1236,xʷ,upsid
nuuc1236,ħ,upsid
nuuc1236,ɬ̪|ɬ,upsid
nuuc1236,ʃ,upsid
nuuc1236,ʔ,upsid
nuuc1236,ʔˤ,upsid
nuuc1236,χ,upsid
nuuc1236,χʷ,upsid
nuuc1236,a,upsid
nuuc1236,i,upsid
nuuc1236,o,upsid
nuuc1236,ɔ,upsid
nuuc1236,ɛ,upsid
nara1262,b,upsid
nara1262,d̠ʒ,upsid
nara1262,d̪|d,upsid
nara1262,f,upsid
nara1262,h,upsid
nara1262,j,upsid
nara1262,k,upsid
nara1262,l̪|l,upsid
nara1262,m,upsid
nara1262,n̪|n,upsid
nara1262,r̪|r,upsid
nara1262,s̪|s,upsid
nara1262,t̪|t,upsid
nara1262,w,upsid
nara1262,ŋ,upsid
nara1262,ɡ,upsid
nara1262,ʃ,upsid
nara1262,a,upsid
nara1262,e̞,upsid
nara1262,i,upsid
nara1262,o̞,upsid
nara1262,u,upsid
nung1283,b̰,upsid
nung1283,d̪̰|d̰,upsid
nung1283,f,upsid
nung1283,h,upsid
nung1283,j,upsid
nung1283,k,upsid
nung1283,kʰ,upsid
nung1283,l̪|l,upsid
nung1283,m,upsid
nung1283,n̪|n,upsid
nung1283,p,upsid
nung1283,pʰ,upsid
nung1283,t̠ʃ,upsid
nung1283,t̠ʃʰ,upsid
nung1283,t̪|t,upsid
nung1283,t̪ʰ|tʰ,upsid
nung1283,w,upsid
nung1283,ŋ,upsid
nung1283,ɬ̪|ɬ,upsid
nung1283,ʃ,upsid
nung1283,ʔ,upsid
nung1283,aɯ,upsid
nung1283,ă,upsid
nung1283,a̟,upsid
nung1283,e̞,upsid
nung1283,i,upsid
nung1283,o̞,upsid
nung1283,u,upsid
nung1283,ɪ̆,upsid
nung1283,ɯ,upsid
nung1283,ɯ̞̆,upsid
nung1283,ʊ̆,upsid
nung1290,j,upsid
nung1290,k,upsid
nung1290,l,upsid
nung1290,l̪,upsid
nung1290,m,upsid
nung1290,n,upsid
nung1290,n̠,upsid
nung1290,n̪,upsid
nung1290,p,upsid
nung1290,r,upsid
nung1290,t,upsid
nung1290,t̠,upsid
nung1290,t̪,upsid
nung1290,w,upsid
nung1290,ŋ,upsid
nung1290,ɭ,upsid
nung1290,ɳ,upsid
nung1290,ɻ,upsid
nung1290,ʈ,upsid
nung1290,a,upsid
nung1290,ɐ,upsid
nung1290,ɪ,upsid
nung1290,ɯ̞,upsid
amas1236,R,upsid
amas1236,b,upsid
amas1236,d,upsid
amas1236,d̪,upsid
amas1236,j,upsid
amas1236,k,upsid
amas1236,l,upsid
amas1236,m,upsid
amas1236,n,upsid
amas1236,s,upsid
amas1236,t,upsid
amas1236,t̪,upsid
amas1236,w,upsid
amas1236,ŋ,upsid
amas1236,ɟ,upsid
amas1236,ɡ,upsid
amas1236,ɲ,upsid
amas1236,ɺ,upsid
amas1236,a,upsid
amas1236,e,upsid
amas1236,i,upsid
amas1236,o,upsid
amas1236,u,upsid
amas1236,ɔ,upsid
amas1236,ɛ,upsid
nyan1313,c,upsid
nyan1313,j,upsid
nyan1313,k,upsid
nyan1313,l,upsid
nyan1313,m,upsid
nyan1313,n,upsid
nyan1313,p,upsid
nyan1313,r,upsid
nyan1313,s̪,upsid
nyan1313,t,upsid
nyan1313,w,upsid
nyan1313,ŋ,upsid
nyan1313,ɓ,upsid
nyan1313,ɗ,upsid
nyan1313,ɠ,upsid
nyan1313,ɬ,upsid
nyan1313,ɲ,upsid
nyan1313,ʄ,upsid
nyan1313,a,upsid
nyan1313,e,upsid
nyan1313,i,upsid
nyan1313,o,upsid
nyan1313,u,upsid
nyan1313,ɔ,upsid
nyan1313,ɛ,upsid
ocai1244,b,upsid
ocai1244,dz,upsid
ocai1244,dʲ,upsid
ocai1244,h,upsid
ocai1244,k,upsid
ocai1244,m,upsid
ocai1244,mː,upsid
ocai1244,n,upsid
ocai1244,nː,upsid
ocai1244,p,upsid
ocai1244,s,upsid
ocai1244,t,upsid
ocai1244,ts,upsid
ocai1244,tʲ,upsid
ocai1244,t̠ʃ,upsid
ocai1244,x,upsid
ocai1244,ɡ,upsid
ocai1244,ɲ,upsid
ocai1244,ɲː,upsid
ocai1244,ɸ,upsid
ocai1244,ɾ,upsid
ocai1244,ʃ,upsid
ocai1244,ʒ,upsid
ocai1244,ʔ,upsid
ocai1244,β,upsid
ocai1244,a,upsid
ocai1244,ã,upsid
ocai1244,i,upsid
ocai1244,ĩ,upsid
ocai1244,o,upsid
ocai1244,õ,upsid
ocai1244,ɛ,upsid
ocai1244,ɯ,upsid
ocai1244,ɯ̃,upsid
ogbi1239,R̪|R,upsid
ogbi1239,b,upsid
ogbi1239,d̪|d,upsid
ogbi1239,f,upsid
ogbi1239,j,upsid
ogbi1239,k,upsid
ogbi1239,kp,upsid
ogbi1239,l̪|l,upsid
ogbi1239,m,upsid
ogbi1239,n̪|n,upsid
ogbi1239,n̪ʷ|nʷ,upsid
ogbi1239,p,upsid
ogbi1239,s̪|s,upsid
ogbi1239,t̪|t,upsid
ogbi1239,v,upsid
ogbi1239,w,upsid
ogbi1239,z̪|z,upsid
ogbi1239,ɓ,upsid
ogbi1239,ɗ̪|ɗ,upsid
ogbi1239,ɡ,upsid
ogbi1239,ɡb,upsid
ogbi1239,ɣ,upsid
ogbi1239,ɲ,upsid
ogbi1239,β,upsid
ogbi1239,a,upsid
ogbi1239,e,upsid
ogbi1239,i,upsid
ogbi1239,o,upsid
ogbi1239,u,upsid
ogbi1239,ɐ,upsid
ogbi1239,ɔ,upsid
ogbi1239,ɛ,upsid
ogbi1239,ɪ,upsid
ogbi1239,ʊ,upsid
east2542,k,upsid
east2542,l̪|l,upsid
east2542,m,upsid
east2542,n,upsid
east2542,p,upsid
east2542,s̪|s,upsid
east2542,t,upsid
east2542,t̠ʃ,upsid
east2542,ʃ,upsid
east2542,ʔ,upsid
east2542,ʰk,upsid
east2542,ʰp,upsid
east2542,ʰs̪|ʰs,upsid
east2542,ʰt,upsid
east2542,ʰt̠ʃ,upsid
east2542,ʰʃ,upsid
east2542,a,upsid
east2542,aː,upsid
east2542,ãː,upsid
east2542,iː,upsid
east2542,ĩː,upsid
east2542,oː,upsid
east2542,õː,upsid
east2542,ɛː,upsid
east2542,ɛ̃ː,upsid
east2542,ɪ,upsid
east2542,ʊ,upsid
toho1245,b,upsid
toho1245,d̠ʒ,upsid
toho1245,d̪,upsid
toho1245,h,upsid
toho1245,j,upsid
toho1245,k,upsid
toho1245,m,upsid
toho1245,n̠,upsid
toho1245,n̪,upsid
toho1245,p,upsid
toho1245,s̪,upsid
toho1245,t̠ʃ,upsid
toho1245,t̪,upsid
toho1245,w,upsid
toho1245,ɖ,upsid
toho1245,ɡ,upsid
toho1245,ɺ̠,upsid
toho1245,ʂ,upsid
toho1245,ʔ,upsid
toho1245,a,upsid
toho1245,i,upsid
toho1245,u,upsid
toho1245,ɔ,upsid
toho1245,ɨ,upsid
ormu1247,b,upsid
ormu1247,d̠ʒ,upsid
ormu1247,d̪z̪|dz,upsid
ormu1247,d̪|d,upsid
ormu1247,f,upsid
ormu1247,h,upsid
ormu1247,j,upsid
ormu1247,k,upsid
ormu1247,l̪|l,upsid
ormu1247,m,upsid
ormu1247,n̪|n,upsid
ormu1247,p,upsid
ormu1247,r̪|r,upsid
ormu1247,s̪|s,upsid
ormu1247,t̠ʃ,upsid
ormu1247,t̪s̪|ts,upsid
ormu1247,t̪|t,upsid
ormu1247,x,upsid
ormu1247,z̪|z,upsid
ormu1247,ɡ,upsid
ormu1247,ʁ,upsid
ormu1247,ʃ,upsid
ormu1247,ʒ,upsid
ormu1247,β̞,upsid
ormu1247,χ,upsid
ormu1247,a̟,upsid
ormu1247,e,upsid
ormu1247,o,upsid
ormu1247,ɔ,upsid
ormu1247,ɪ,upsid
ormu1247,ʊ,upsid
paco1243,b̰,upsid
paco1243,d̠̰,upsid
paco1243,d̰,upsid
paco1243,h,upsid
paco1243,j,upsid
paco1243,k,upsid
paco1243,l,upsid
paco1243,m,upsid
paco1243,n,upsid
paco1243,n̠,upsid
paco1243,p,upsid
paco1243,r,upsid
paco1243,t,upsid
paco1243,t̠,upsid
paco1243,ŋ,upsid
paco1243,ʃ,upsid
paco1243,ʔ,upsid
paco1243,β̞,upsid
paco1243,a,upsid
paco1243,e,upsid
paco1243,i,upsid
paco1243,iə,upsid
paco1243,o,upsid
paco1243,u,upsid
paco1243,uə,upsid
paco1243,æ,upsid
paco1243,ɒ,upsid
paco1243,ɔ,upsid
paco1243,ɘ,upsid
paco1243,ɛ,upsid
paco1243,ɜ,upsid
paco1243,ɨ,upsid
paco1243,ɨə,upsid
pech1241,b,upsid
pech1241,h,upsid
pech1241,j,upsid
pech1241,k,upsid
pech1241,kʷ,upsid
pech1241,l̪|l,upsid
pech1241,m,upsid
pech1241,n̪|n,upsid
pech1241,p,upsid
pech1241,r̪|r,upsid
pech1241,s̪|s,upsid
pech1241,t̪|t,upsid
pech1241,w,upsid
pech1241,w̃,upsid
pech1241,ɲ,upsid
pech1241,ɾ̪|ɾ,upsid
pech1241,ʃ,upsid
pech1241,ʔ,upsid
pech1241,a,upsid
pech1241,ã,upsid
pech1241,e̞,upsid
pech1241,ẽ̞,upsid
pech1241,i,upsid
pech1241,ĩ,upsid
pech1241,o̞,upsid
pech1241,õ̞,upsid
pech1241,u,upsid
pech1241,ũ,upsid
paez1247,h,upsid
paez1247,j,upsid
paez1247,k,upsid
paez1247,m,upsid
paez1247,mb,upsid
paez1247,n,upsid
paez1247,nd,upsid
paez1247,ndʲ,upsid
paez1247,nz,upsid
paez1247,n̠ʒ,upsid
paez1247,p,upsid
paez1247,s,upsid
paez1247,t,upsid
paez1247,ts,upsid
paez1247,tʲ,upsid
paez1247,t̠ʃ,upsid
paez1247,w,upsid
paez1247,ç,upsid
paez1247,ŋɡ,upsid
paez1247,ɣ,upsid
paez1247,ɲ,upsid
paez1247,ɸʲ,upsid
paez1247,ɺ,upsid
paez1247,ɺʲ,upsid
paez1247,ɾ,upsid
paez1247,ʃ,upsid
paez1247,ʃʲ,upsid
paez1247,ʔ,upsid
paez1247,β,upsid
paez1247,a,upsid
paez1247,ã,upsid
paez1247,i,upsid
paez1247,ĩ,upsid
paez1247,u,upsid
paez1247,ũ,upsid
paez1247,ɛ,upsid
paez1247,ɛ̃,upsid
enap1235,R̪|R,upsid
enap1235,j,upsid
enap1235,k,upsid
enap1235,m,upsid
enap1235,n̪|n,upsid
enap1235,p,upsid
enap1235,t̠,upsid
enap1235,t̠ʃ,upsid
enap1235,t̪s̪|ts,upsid
enap1235,t̪|t,upsid
enap1235,w,upsid
enap1235,ʔ,upsid
enap1235,a,upsid
enap1235,ã,upsid
enap1235,e̞,upsid
enap1235,ẽ̞,upsid
enap1235,i,upsid
enap1235,ĩ,upsid
enap1235,o̞,upsid
enap1235,õ̞,upsid
enap1235,u,upsid
enap1235,ũ,upsid
enap1235,ə̃,upsid
enap1235,ɤ̞,upsid
enap1235,ɯ,upsid
bouy1240,R̪|R,upsid
bouy1240,b,upsid
bouy1240,c,upsid
bouy1240,cʰ,upsid
bouy1240,d̪|d,upsid
bouy1240,f,upsid
bouy1240,h,upsid
bouy1240,j,upsid
bouy1240,k,upsid
bouy1240,kʰ,upsid
bouy1240,l̪|l,upsid
bouy1240,m,upsid
bouy1240,n̪|n,upsid
bouy1240,p,upsid
bouy1240,pʰ,upsid
bouy1240,s̪|s,upsid
bouy1240,t̪|t,upsid
bouy1240,t̪ʰ|tʰ,upsid
bouy1240,w,upsid
bouy1240,ŋ,upsid
bouy1240,ɲ,upsid
bouy1240,ʔ,upsid
bouy1240,θ,upsid
bouy1240,a,upsid
bouy1240,aː,upsid
bouy1240,i,upsid
bouy1240,ia,upsid
bouy1240,u,upsid
bouy1240,ua,upsid
bouy1240,ɔ,upsid
bouy1240,ə,upsid
bouy1240,ɛ,upsid
bouy1240,ɯ,upsid
bouy1240,ɯa,upsid
west2369,b,upsid
west2369,d̠ʒ,upsid
west2369,d̪,upsid
west2369,f,upsid
west2369,h,upsid
west2369,j,upsid
west2369,kʰ,upsid
west2369,l,upsid
west2369,m,upsid
west2369,n̪,upsid
west2369,pʰ,upsid
west2369,r,upsid
west2369,s,upsid
west2369,t̠ʃ,upsid
west2369,t̪ʰ,upsid
west2369,v,upsid
west2369,w,upsid
west2369,z,upsid
west2369,ɡ,upsid
west2369,ɢ,upsid
west2369,ʃ,upsid
west2369,ʒ,upsid
west2369,ʔ,upsid
west2369,χ,upsid
west2369,a̟,upsid
west2369,e,upsid
west2369,i,upsid
west2369,o,upsid
west2369,u,upsid
west2369,ɑ,upsid
plat1254,b,upsid
plat1254,d̪,upsid
plat1254,d̪z̪,upsid
plat1254,f,upsid
plat1254,h,upsid
plat1254,j,upsid
plat1254,k,upsid
plat1254,l̪|l,upsid
plat1254,m,upsid
plat1254,n̪|n,upsid
plat1254,p,upsid
plat1254,r̪|r,upsid
plat1254,s̪|s,upsid
plat1254,t̪,upsid
plat1254,t̪s̪,upsid
plat1254,v,upsid
plat1254,w,upsid
plat1254,z̪|z,upsid
plat1254,ɖr̠͓,upsid
plat1254,ɡ,upsid
plat1254,ʈɹ̠̥,upsid
plat1254,a,upsid
plat1254,e̞,upsid
plat1254,i,upsid
plat1254,o,upsid
sout2982,b,upsid
sout2982,d,upsid
sout2982,f,upsid
sout2982,h,upsid
sout2982,j,upsid
sout2982,k,upsid
sout2982,kʼ,upsid
sout2982,l̪|l,upsid
sout2982,m,upsid
sout2982,n̪|n,upsid
sout2982,p,upsid
sout2982,pʼ,upsid
sout2982,q,upsid
sout2982,qʼ,upsid
sout2982,s̪|s,upsid
sout2982,t,upsid
sout2982,ts,upsid
sout2982,tsʼ,upsid
sout2982,tʼ,upsid
sout2982,t̪,upsid
sout2982,t̪ʼ,upsid
sout2982,w,upsid
sout2982,x,upsid
sout2982,ɾ̪|ɾ,upsid
sout2982,ʃ,upsid
sout2982,ʔ,upsid
sout2982,χ,upsid
sout2982,a,upsid
sout2982,ɔ,upsid
sout2982,ɛ,upsid
sout2982,ɪ,upsid
sout2982,ʊ,upsid
pohn1238,j,upsid
pohn1238,k,upsid
pohn1238,l̪,upsid
pohn1238,m,upsid
pohn1238,mʷ,upsid
pohn1238,n̪,upsid
pohn1238,p,upsid
pohn1238,pʷ,upsid
pohn1238,r,upsid
pohn1238,s,upsid
pohn1238,t̪,upsid
pohn1238,w,upsid
pohn1238,ŋ,upsid
pohn1238,ʈʂ,upsid
pohn1238,a,upsid
pohn1238,o,upsid
pohn1238,u,upsid
pohn1238,ɔ,upsid
pohn1238,ɛ,upsid
pohn1238,ɪ,upsid
para1301,b,upsid
para1301,b̤,upsid
para1301,d̠ʒ,upsid
para1301,d̠ʒ̤,upsid
para1301,d̪|d,upsid
para1301,d̪̤|d̤,upsid
para1301,f,upsid
para1301,k,upsid
para1301,kʰ,upsid
para1301,l̠,upsid
para1301,l̠̤,upsid
para1301,l̪|l,upsid
para1301,l̪̤|l̤,upsid
para1301,m,upsid
para1301,m̤,upsid
para1301,n̠,upsid
para1301,n̠̤,upsid
para1301,n̪|n,upsid
para1301,n̪̤|n̤,upsid
para1301,p,upsid
para1301,pʰ,upsid
para1301,t̠ʃ,upsid
para1301,t̠ʃʰ,upsid
para1301,t̪|t,upsid
para1301,t̪ʰ|tʰ,upsid
para1301,v,upsid
para1301,v̤,upsid
para1301,ŋ,upsid
para1301,ŋ̤,upsid
para1301,ɡ,upsid
para1301,ɡ̤,upsid
para1301,ʃ,upsid
para1301,ʒ,upsid
para1301,ʒ̤,upsid
para1301,a,upsid
para1301,ai,upsid
para1301,au,upsid
para1301,aɯ,upsid
para1301,a̤,upsid
para1301,a̤i̤,upsid
para1301,a̤ṳ,upsid
para1301,a̤ɯ̤,upsid
para1301,e,upsid
para1301,e̤,upsid
para1301,i,upsid
para1301,ia,upsid
para1301,io̞,upsid
para1301,iu,upsid
para1301,iɛ,upsid
para1301,i̤,upsid
para1301,i̤a̤,upsid
para1301,i̤ṳ,upsid
para1301,i̤ɛ̤,upsid
para1301,o,upsid
para1301,o̞i,upsid
para1301,o̤,upsid
para1301,o̤i̤,upsid
para1301,u,upsid
para1301,ua,upsid
para1301,ui,upsid
para1301,ṳ,upsid
para1301,ṳa̤,upsid
para1301,ṳi̤,upsid
para1301,ɔ,upsid
para1301,ɔi,upsid
para1301,ɔ̤,upsid
para1301,ɔ̤i̤,upsid
para1301,ɛ,upsid
para1301,ɛ̤,upsid
para1301,ɤ,upsid
para1301,ɤi,upsid
para1301,ɤ̤,upsid
para1301,ɤ̤i̤,upsid
para1301,ɯ,upsid
para1301,ɯi,upsid
para1301,ɯ̤,upsid
para1301,ɯ̤i̤,upsid
cent1973,b,upsid
cent1973,d̠ʒ,upsid
cent1973,d̪,upsid
cent1973,d̪z̪,upsid
cent1973,f,upsid
cent1973,h,upsid
cent1973,j,upsid
cent1973,k,upsid
cent1973,l̠,upsid
cent1973,m,upsid
cent1973,n̪,upsid
cent1973,p,upsid
cent1973,r,upsid
cent1973,s,upsid
cent1973,t̠ʃ,upsid
cent1973,t̪,upsid
cent1973,t̪s̪,upsid
cent1973,w,upsid
cent1973,z,upsid
cent1973,ɖ,upsid
cent1973,ɡ,upsid
cent1973,ɳ,upsid
cent1973,ɺ̠,upsid
cent1973,ʁ,upsid
cent1973,ʂ,upsid
cent1973,ʃ,upsid
cent1973,ʈ,upsid
cent1973,ʐ,upsid
cent1973,ʒ,upsid
cent1973,β,upsid
cent1973,χ,upsid
cent1973,a,upsid
cent1973,e̞ː,upsid
cent1973,i,upsid
cent1973,o̞ː,upsid
cent1973,u,upsid
cent1973,ɑː,upsid
cent1973,ə,upsid
paiw1248,b,upsid
paiw1248,d̪|d,upsid
paiw1248,d̪ʲ|dʲ,upsid
paiw1248,j,upsid
paiw1248,k,upsid
paiw1248,l̪ʲ|lʲ,upsid
paiw1248,m,upsid
paiw1248,n̪|n,upsid
paiw1248,p,upsid
paiw1248,q,upsid
paiw1248,r̪|r,upsid
paiw1248,t̪|t,upsid
paiw1248,t̪ʲ|tʲ,upsid
paiw1248,v,upsid
paiw1248,ŋ,upsid
paiw1248,ɖ,upsid
paiw1248,ɡ,upsid
paiw1248,ɺ̠,upsid
paiw1248,ʂ,upsid
paiw1248,ʈʂ,upsid
paiw1248,ʐ,upsid
paiw1248,ʔ,upsid
paiw1248,a,upsid
paiw1248,i,upsid
paiw1248,u,upsid
paiw1248,ə,upsid
pwon1235,fʷ,upsid
pwon1235,h,upsid
pwon1235,k,upsid
pwon1235,kʰ,upsid
pwon1235,l,upsid
pwon1235,m,upsid
pwon1235,n,upsid
pwon1235,p,upsid
pwon1235,pʰ,upsid
pwon1235,r,upsid
pwon1235,s̪,upsid
pwon1235,t,upsid
pwon1235,tʰ,upsid
pwon1235,t̠ʃ,upsid
pwon1235,t̠ʃʰ,upsid
pwon1235,vʷ,upsid
pwon1235,x,upsid
pwon1235,ŋ,upsid
pwon1235,ɓ,upsid
pwon1235,ɗ,upsid
pwon1235,ɣ,upsid
pwon1235,ɲ,upsid
pwon1235,ʃ,upsid
pwon1235,ʔ,upsid
pwon1235,ʝ,upsid
pwon1235,a,upsid
pwon1235,ai,upsid
pwon1235,au,upsid
pwon1235,aɨ,upsid
pwon1235,a̟,upsid
pwon1235,e,upsid
pwon1235,i,upsid
pwon1235,o,upsid
pwon1235,u,upsid
pwon1235,ɔ,upsid
pwon1235,ɘ,upsid
pwon1235,ɨ,upsid
sout2991,h,upsid
sout2991,j,upsid
sout2991,k,upsid
sout2991,kʰ,upsid
sout2991,kʼ,upsid
sout2991,l̪|l,upsid
sout2991,m,upsid
sout2991,n̪|n,upsid
sout2991,p,upsid
sout2991,pʰ,upsid
sout2991,pʼ,upsid
sout2991,q,upsid
sout2991,qʰ,upsid
sout2991,qʼ,upsid
sout2991,r̪|r,upsid
sout2991,s̪|s,upsid
sout2991,t̠ʃ,upsid
sout2991,t̠ʃʰ,upsid
sout2991,t̠ʃʼ,upsid
sout2991,t̪|t,upsid
sout2991,t̪ʰ|tʰ,upsid
sout2991,t̪ʼ|tʼ,upsid
sout2991,w,upsid
sout2991,ð,upsid
sout2991,ɣ,upsid
sout2991,ɲ,upsid
sout2991,ɸ,upsid
sout2991,ɾ̪|ɾ,upsid
sout2991,ʃ,upsid
sout2991,ʎ,upsid
sout2991,β,upsid
sout2991,a,upsid
sout2991,ɔ,upsid
sout2991,ɛ,upsid
sout2991,ɪ,upsid
sout2991,ʊ,upsid
quil1240,b,upsid
quil1240,d,upsid
quil1240,h,upsid
quil1240,j,upsid
quil1240,k,upsid
quil1240,kʷ,upsid
quil1240,kʷʼ,upsid
quil1240,kʼ,upsid
quil1240,l,upsid
quil1240,p,upsid
quil1240,pʼ,upsid
quil1240,q,upsid
quil1240,qʷ,upsid
quil1240,qʷʼ,upsid
quil1240,qʼ,upsid
quil1240,s,upsid
quil1240,t,upsid
quil1240,ts,upsid
quil1240,tsʼ,upsid
quil1240,tɬ,upsid
quil1240,tɬʼ,upsid
quil1240,tʼ,upsid
quil1240,t̠ʃ,upsid
quil1240,t̠ʃʼ,upsid
quil1240,w,upsid
quil1240,x,upsid
quil1240,xʷ,upsid
quil1240,ɡ,upsid
quil1240,ɬ,upsid
quil1240,ʃ,upsid
quil1240,ʔ,upsid
quil1240,χ,upsid
quil1240,χʷ,upsid
quil1240,a,upsid
quil1240,i,upsid
quil1240,u,upsid
quil1240,æ,upsid
resi1247,b,upsid
resi1247,d,upsid
resi1247,dz,upsid
resi1247,dʲ,upsid
resi1247,d̠ʒ,upsid
resi1247,h,upsid
resi1247,j,upsid
resi1247,k,upsid
resi1247,kʰ,upsid
resi1247,m,upsid
resi1247,m̥,upsid
resi1247,n,upsid
resi1247,n̥,upsid
resi1247,p,upsid
resi1247,pʰ,upsid
resi1247,s,upsid
resi1247,t,upsid
resi1247,ts,upsid
resi1247,tsʰ,upsid
resi1247,tʰ,upsid
resi1247,tʲ,upsid
resi1247,t̠ʃ,upsid
resi1247,t̠ʃʰ,upsid
resi1247,w,upsid
resi1247,ɡ,upsid
resi1247,ɲ,upsid
resi1247,ɲ̥,upsid
resi1247,ɸ,upsid
resi1247,ʃ,upsid
resi1247,ʔ,upsid
resi1247,a,upsid
resi1247,i,upsid
resi1247,ɔ,upsid
resi1247,ɛ,upsid
resi1247,ɯ,upsid
roma1327,b,upsid
roma1327,d̠ʒ,upsid
roma1327,d̪,upsid
roma1327,f,upsid
roma1327,h,upsid
roma1327,j,upsid
roma1327,k,upsid
roma1327,l̪,upsid
roma1327,m,upsid
roma1327,n̪,upsid
roma1327,p,upsid
roma1327,r̪,upsid
roma1327,s̪,upsid
roma1327,t̠ʃ,upsid
roma1327,t̪,upsid
roma1327,t̪s̪,upsid
roma1327,v,upsid
roma1327,w,upsid
roma1327,z̪,upsid
roma1327,ɡ,upsid
roma1327,ʃ,upsid
roma1327,ʒ,upsid
roma1327,a,upsid
roma1327,e,upsid
roma1327,e̞a,upsid
roma1327,e̞o̞,upsid
roma1327,i,upsid
roma1327,o,upsid
roma1327,o̞a,upsid
roma1327,u,upsid
roma1327,ə,upsid
roma1327,ɨ,upsid
roto1249,k,upsid
roto1249,p,upsid
roto1249,t,upsid
roto1249,ɡ,upsid
roto1249,β,upsid
roto1249,ᴅ,upsid
roto1249,a,upsid
roto1249,e̞,upsid
roto1249,i,upsid
roto1249,o̞,upsid
roto1249,u,upsid
waim1251,b,upsid
waim1251,h,upsid
waim1251,k,upsid
waim1251,m,upsid
waim1251,n̪,upsid
waim1251,p,upsid
waim1251,t̪,upsid
waim1251,ɾ̪,upsid
waim1251,ʔ,upsid
waim1251,a,upsid
waim1251,e̞,upsid
waim1251,i,upsid
waim1251,o̞,upsid
waim1251,u,upsid
russ1263,b,upsid
russ1263,bʲ,upsid
russ1263,d̪,upsid
russ1263,d̪ʲ,upsid
russ1263,f,upsid
russ1263,fʲ,upsid
russ1263,j,upsid
russ1263,k,upsid
russ1263,kʲ,upsid
russ1263,l̪ʲ,upsid
russ1263,l̪ˠ,upsid
russ1263,m,upsid
russ1263,mʲ,upsid
russ1263,n̪,upsid
russ1263,n̪ʲ,upsid
russ1263,p,upsid
russ1263,pʲ,upsid
russ1263,r̪,upsid
russ1263,r̪ʲ,upsid
russ1263,s̪,upsid
russ1263,s̪ʲ,upsid
russ1263,ts,upsid
russ1263,t̠ʃ,upsid
russ1263,t̪,upsid
russ1263,t̪ʲ,upsid
russ1263,v,upsid
russ1263,vʲ,upsid
russ1263,x,upsid
russ1263,z̪,upsid
russ1263,z̪ʲ,upsid
russ1263,ɡ,upsid
russ1263,ʃˠ,upsid
russ1263,ʒˠ,upsid
russ1263,a,upsid
russ1263,i,upsid
russ1263,u,upsid
russ1263,ɔ,upsid
russ1263,ɛ,upsid
rutu1240,b,upsid
rutu1240,d̠ʒ,upsid
rutu1240,d̠ʒʷ,upsid
rutu1240,d̪z̪|dz,upsid
rutu1240,d̪|d,upsid
rutu1240,h,upsid
rutu1240,j,upsid
rutu1240,kʰ,upsid
rutu1240,kʷʰ,upsid
rutu1240,kʷʼ,upsid
rutu1240,kʼ,upsid
rutu1240,l̪|l,upsid
rutu1240,m,upsid
rutu1240,n̪|n,upsid
rutu1240,pʰ,upsid
rutu1240,pʼ,upsid
rutu1240,qʰ,upsid
rutu1240,qʷʰ,upsid
rutu1240,qʷʼ,upsid
rutu1240,qʷˤʰ,upsid
rutu1240,qʷˤʼ,upsid
rutu1240,qʼ,upsid
rutu1240,qˤʰ,upsid
rutu1240,qˤʼ,upsid
rutu1240,r̪|r,upsid
rutu1240,s̪|s,upsid
rutu1240,s̪ʷ|sʷ,upsid
rutu1240,t̠ʃʰ,upsid
rutu1240,t̠ʃʷʼ,upsid
rutu1240,t̠ʃʼ,upsid
rutu1240,t̪s̪ʰ|tsʰ,upsid
rutu1240,t̪s̪ʷʰ|tsʷʰ,upsid
rutu1240,t̪s̪ʷʼ|tsʷʼ,upsid
rutu1240,t̪s̪ʼ|tsʼ,upsid
rutu1240,t̪ʰ|tʰ,upsid
rutu1240,t̪ʼ|tʼ,upsid
rutu1240,x,upsid
rutu1240,xʷ,upsid
rutu1240,z̪|z,upsid
rutu1240,ħ,upsid
rutu1240,ɡ,upsid
rutu1240,ɡʷ,upsid
rutu1240,ɢ,upsid
rutu1240,ɢʷ,upsid
rutu1240,ɢʷˤ,upsid
rutu1240,ɢˤ,upsid
rutu1240,ɣ,upsid
rutu1240,ʁ,upsid
rutu1240,ʁʷ,upsid
rutu1240,ʁʷˤ,upsid
rutu1240,ʁˤ,upsid
rutu1240,ʃ,upsid
rutu1240,ʔ,upsid
rutu1240,ʔˤ,upsid
rutu1240,β̞,upsid
rutu1240,χ,upsid
rutu1240,χʷ,upsid
