glottocode,Phoneme,dataset
buru1296,h,spa
buru1296,j,spa
buru1296,k,spa
buru1296,kʰ,spa
buru1296,l,spa
buru1296,m,spa
buru1296,n,spa
buru1296,p,spa
buru1296,pʰ,spa
buru1296,q,spa
buru1296,qʰ,spa
buru1296,r,spa
buru1296,s,spa
buru1296,t,spa
buru1296,ts,spa
buru1296,tsʰ,spa
buru1296,tʰ,spa
buru1296,t̠ʃ,spa
buru1296,t̠ʃʰ,spa
buru1296,w,spa
buru1296,z,spa
buru1296,ŋ,spa
buru1296,ɖ,spa
buru1296,ɖʐ,spa
buru1296,ɡ,spa
buru1296,ʁ,spa
buru1296,ʂ,spa
buru1296,ʃ,spa
buru1296,ʈ,spa
buru1296,ʈʂ,spa
buru1296,ʈʂʰ,spa
buru1296,ʈʰ,spa
buru1296,ʐ͇,spa
buru1296,χ,spa
buru1296,˥˦,spa
buru1296,˧,spa
buru1296,˩˨,spa
buru1296,a,spa
buru1296,aː,spa
buru1296,ãː,spa
buru1296,e̞,spa
buru1296,e̞ː,spa
buru1296,i,spa
buru1296,iː,spa
buru1296,o̞,spa
buru1296,o̞ː,spa
buru1296,u,spa
buru1296,uː,spa
buru1296,ũː,spa
kuru1302,b,spa
kuru1302,b̤,spa
kuru1302,d̠ʒ,spa
kuru1302,d̠ʒː,spa
kuru1302,d̠ʒ̤,spa
kuru1302,d̪,spa
kuru1302,d̪ː,spa
kuru1302,d̪̤,spa
kuru1302,h,spa
kuru1302,j,spa
kuru1302,jː,spa
kuru1302,k,spa
kuru1302,kʰ,spa
kuru1302,kː,spa
kuru1302,l,spa
kuru1302,lː,spa
kuru1302,m,spa
kuru1302,n̪,spa
kuru1302,p,spa
kuru1302,pʰ,spa
kuru1302,pː,spa
kuru1302,r,spa
kuru1302,rː,spa
kuru1302,r̠,spa
kuru1302,s̪,spa
kuru1302,s̪ː,spa
kuru1302,t̠ʃ,spa
kuru1302,t̠ʃʰ,spa
kuru1302,t̠ʃː,spa
kuru1302,t̪,spa
kuru1302,t̪ʰ,spa
kuru1302,t̪ː,spa
kuru1302,w,spa
kuru1302,wː,spa
kuru1302,ŋ,spa
kuru1302,ɖ,spa
kuru1302,ɖː,spa
kuru1302,ɖ̤,spa
kuru1302,ɡ,spa
kuru1302,ɡ̤,spa
kuru1302,ɳ,spa
kuru1302,ʈ,spa
kuru1302,ʈʰ,spa
kuru1302,ʈː,spa
kuru1302,ʔ,spa
kuru1302,χ,spa
kuru1302,a,spa
kuru1302,aː,spa
kuru1302,ã,spa
kuru1302,ãː,spa
kuru1302,e̞,spa
kuru1302,e̞ː,spa
kuru1302,ẽ̞,spa
kuru1302,ẽ̞ː,spa
kuru1302,i,spa
kuru1302,iː,spa
kuru1302,ĩ,spa
kuru1302,ĩː,spa
kuru1302,o̞,spa
kuru1302,o̞ː,spa
kuru1302,õ̞,spa
kuru1302,õ̞ː,spa
kuru1302,u,spa
kuru1302,uː,spa
kuru1302,ũ,spa
kuru1302,ũː,spa
kuru1302,ə,spa
kuru1302,əː,spa
telu1262,b,spa
telu1262,bː,spa
telu1262,b̤,spa
telu1262,d,spa
telu1262,dz,spa
telu1262,dzː,spa
telu1262,dː,spa
telu1262,d̤,spa
telu1262,f,spa
telu1262,j,spa
telu1262,k,spa
telu1262,kʰ,spa
telu1262,kː,spa
telu1262,l,spa
telu1262,lː,spa
telu1262,m,spa
telu1262,mː,spa
telu1262,n,spa
telu1262,nː,spa
telu1262,p,spa
telu1262,pʰ,spa
telu1262,pː,spa
telu1262,rː,spa
telu1262,s,spa
telu1262,t,spa
telu1262,ts,spa
telu1262,tsː,spa
telu1262,tː,spa
telu1262,t̠ʃ,spa
telu1262,ɖ,spa
telu1262,ɖː,spa
telu1262,ɖ̤,spa
telu1262,ɡ,spa
telu1262,ɡː,spa
telu1262,ɡ̤,spa
telu1262,ɦ,spa
telu1262,ɭ,spa
telu1262,ɭː,spa
telu1262,ɳ,spa
telu1262,ɾ,spa
telu1262,ʂ,spa
telu1262,ʃ,spa
telu1262,ʈ,spa
telu1262,ʈʰ,spa
telu1262,ʈː,spa
telu1262,β̞,spa
telu1262,β̞ː,spa
telu1262,aː,spa
telu1262,e,spa
telu1262,eː,spa
telu1262,i,spa
telu1262,iː,spa
telu1262,o,spa
telu1262,oː,spa
telu1262,o̞,spa
telu1262,u,spa
telu1262,uː,spa
telu1262,æː,spa
telu1262,ɑ,spa
telu1262,ɒː,spa
telu1262,ɔː,spa
telu1262,ə,spa
telu1262,ɛ,spa
telu1262,ɛː,spa
telu1262,ɪ,spa
telu1262,ɪː,spa
telu1262,ʊ,spa
telu1262,ʊː,spa
kota1263,b,spa
kota1263,d,spa
kota1263,d̠ʒ,spa
kota1263,d̪,spa
kota1263,j,spa
kota1263,kʰ,spa
kota1263,l,spa
kota1263,m,spa
