Name,glottocode,Genus,Family,Latitude,Longitude
"Ifumu","teke1274","Bantoid","Niger-Congo",-3.66666666667,15.3333333333
"Iha","ihaa1241","West Bomberai","West Bomberai",-2.91666666667,132.25
"Jarawa (in Nigeria)","jara1263","Bantoid","Niger-Congo",9.5,10.5
"Luwo","luwo1239","Nilotic","Eastern Sudanic",8.0,28.0
"Jugli","tase1235","Northern Naga","Sino-Tibetan",27.5,96.3333333333
"Kaian","kaia1245","Lower Ramu","Lower Sepik-Ramu",-4.08333333333,144.75
"Kadiwéu","kadi1248","Kadiwéu","Guaicuruan",-20.0,-57.0
"Kinga","nucl1379","Bantoid","Niger-Congo",-9.0,34.0
"Kagulu","kagu1239","Bantoid","Niger-Congo",-6.33333333333,37.0
"Kyirong","kyer1238","Bodic","Sino-Tibetan",28.4166666667,85.3333333333
"Kham (Dege)","kham1282","Bodic","Sino-Tibetan",31.8333333333,98.5833333333
"Kire","kire1240","Mikarew","Lower Sepik-Ramu",-4.25,144.75
"Kposo","ikpo1238","Kwa","Niger-Congo",7.5,0.833333333333
"Kumauni","kuma1273","Indic","Indo-European",30.0,80.0
"Iwoyo","sans1272","Bantoid","Niger-Congo",-5.5,12.25
"Kxoe","kxoe1243","Khoe-Kwadi","Khoe-Kwadi",-17.5,22.5
"Kanyok","kany1247","Bantoid","Niger-Congo",-7.33333333333,23.5833333333
"Kyuquot","nuuc1236","Southern Wakashan","Wakashan",50.1666666667,-127.166666667
"Kayabí","kaya1329","Tupi-Guaraní","Tupian",-11.0,-55.5
"Lafofa","lafo1243","Lafofa","Kordofanian",10.25,31.25
"Londo","orok1266","Bantoid","Niger-Congo",5.0,9.16666666667
"Lega","lega1249","Bantoid","Niger-Congo",-2.83333333333,27.1666666667
"Lese","lese1243","Mangbutu-Efe","Central Sudanic",2.0,29.0
"Lamba","lamb1271","Bantoid","Niger-Congo",-13.0,28.0
"Lamen","lame1260","Oceanic","Austronesian",-16.5833333333,168.166666667
"Lule","lule1238","Lule","Lule",-28.0,-64.0
"Ma","made1252","Ubangi","Niger-Congo",3.5,28.0
"Magar","east2352","Mahakiranti","Sino-Tibetan",28.0,83.0
"Masa","masa1322","Masa","Afro-Asiatic",10.5,15.5
"Mbili","bamb1266","Bantoid","Niger-Congo",6.11666666667,10.2
"Mbole","mbol1247","Bantoid","Niger-Congo",-0.666666666667,24.6666666667
"Mixe (Coatlán)","coat1238","Mixe-Zoque","Mixe-Zoque",16.9166666667,-95.6666666667
"Mada (in Cameroon)","mada1293","Biu-Mandara","Afro-Asiatic",10.8333333333,14.1666666667
"Mundang","mund1325","Mbumic","Niger-Congo",9.66666666667,14.5
"Magahi","maga1260","Indic","Indo-European",23.5,85.5
"Mango","mang1398","Bongo-Bagirmi","Central Sudanic",8.75,17.0
"Miju","miju1243","Tani","Sino-Tibetan",29.0,96.0
"Mikarew","arua1260","Mikarew","Lower Sepik-Ramu",-4.41666666667,144.916666667
"Mambai","mamb1294","Mbumic","Niger-Congo",9.66666666667,14.0
"Munzombo","monz1249","Ubangi","Niger-Congo",3.0,18.4166666667
"Mofu-Gudur","mofu1248","Biu-Mandara","Afro-Asiatic",10.5,14.0
"Massachusett","wamp1249","Algonquian","Algic",42.5,-71.0
"Makua","makh1264","Bantoid","Niger-Congo",-15.0,38.6666666667
"Mundurukú","mund1330","Munduruku","Tupian",-7.0,-58.0
"Mwotlap","motl1237","Oceanic","Austronesian",-13.5833333333,167.583333333
"Mixtec (Yosondúa)","yoso1239","Mixtecan","Oto-Manguean",16.9166666667,-97.5833333333
"Mayogo","mayo1261","Ubangi","Niger-Congo",3.0,29.0
"Mazanderani","maza1291","Iranian","Indo-European",36.5,52.0
"Nalik","nali1244","Oceanic","Austronesian",-2.95,151.333333333
"Ngäbere","ngab1239","Guaymiic","Chibchan",8.66666666667,-82.0
"Ncàm","ntch1242","Northern-Central Gur","Niger-Congo",9.33333333333,0.666666666667
"Ndumu","ndum1239","Bantoid","Niger-Congo",-1.66666666667,13.5833333333
"Ngbaka (Minagende)","ngba1285","Gbaya-Manza-Ngbaka","Niger-Congo",3.5,20.0
"Niuafo'ou","niua1240","Oceanic","Austronesian",-15.5666666667,-175.616666667
"Nkem","nkem1242","Bantoid","Niger-Congo",6.58333333333,8.58333333333
"Naga (Mao)","maon1238","Kuki-Chin","Sino-Tibetan",25.5,94.3333333333
"Nanerge","nane1238","Senufo","Niger-Congo",11.75,-5.0
"One","molm1235","West Wapei","Torricelli",-3.25,141.916666667
"Ordos","peri1253","Mongolic","Altaic",39.0,109.0
"Oromo (Waata)","waat1238","Lowland East Cushitic","Afro-Asiatic",-3.33333333333,39.8333333333
"Port Sandwich","port1285","Oceanic","Austronesian",-16.5,167.75
"Raga","hano1246","Oceanic","Austronesian",-15.5,168.166666667
"Rao","raoo1244","Annaberg","Lower Sepik-Ramu",-4.75,144.5
"Raji","raji1240","Raji-Raute","Sino-Tibetan",28.0,82.75
"Sare","kapr1245","Sepik Hill","Sepik",-4.5,143.166666667
"Secoya","seco1241","Tucanoan","Tucanoan",-0.333333333333,-76.0
"Sougb","mani1235","East Bird's Head","East Bird's Head",-1.5,134.0
"Shabo","shab1252","Shabo","Shabo",7.58333333333,35.4166666667
"Sherdukpen","sher1257","Western Arunachal","Sino-Tibetan",27.0,92.5
"Shira Yughur","east2337","Mongolic","Altaic",38.0,99.0
"Sila","dars1235","Daju","Eastern Sudanic",12.3333333333,21.75
"Samba Leko","samb1305","Samba-Duru","Niger-Congo",8.5,12.5
"Seme","siam1242","Kru","Niger-Congo",11.0,-4.91666666667
"Shompen","shom1245","Shompen","Shompen",7.0,93.75
"Sotho (Northern)","pedi1238","Bantoid","Niger-Congo",-24.0,29.0
"Subiya","subi1246","Bantoid","Niger-Congo",-17.75,24.9166666667
"Sudest","sude1239","Oceanic","Austronesian",-11.5,153.45
"Sungor","assa1269","Taman","Eastern Sudanic",13.75,21.5
"Tabare","sina1271","Chimbu","Trans-New Guinea",-6.08333333333,145.0
"Tabwa","taab1238","Bantoid","Niger-Congo",-8.0,29.5
"Tugun","tugu1245","Central Malayo-Polynesian","Austronesian",-7.71666666667,126.75
"Tsogo","tsog1243","Bantoid","Niger-Congo",-1.5,11.3333333333
"Thakali","thak1245","Bodic","Sino-Tibetan",29.0,83.75
"Thulung","thul1246","Mahakiranti","Sino-Tibetan",27.4166666667,86.5
"Tima","tima1241","Katla-Tima","Kordofanian",11.6666666667,29.25
"Tamagario","tama1336","Kayagar","Kayagar",-6.41666666667,139.25
"Tungak","tung1290","Oceanic","Austronesian",-2.55,150.25
"Torwali","torw1241","Indic","Indo-European",34.25,72.0
"Tsafiki","colo1256","Barbacoan","Barbacoan",-1.0,-79.3333333333
"Tati (Southern)","take1255","Iranian","Indo-European",36.0,49.6666666667
"Ura","urav1235","Oceanic","Austronesian",-18.6666666667,169.083333333
"Vinmavis","vinm1237","Oceanic","Austronesian",-16.1666666667,167.416666667
"Wirangu","wira1265","Central Pama-Nyungan","Pama-Nyungan",-32.0,134.0
"Wambule","wamb1257","Mahakiranti","Sino-Tibetan",29.25,85.9166666667
"Yaminahua","yami1256","Panoan","Panoan",-8.0,-73.0
"Zarma","zarm1239","Songhay","Songhay",13.8333333333,2.16666666667
"Anong","nung1282","Nungish","Sino-Tibetan",27.3333333333,98.75
"Brokskat","brok1247","Indic","Indo-European",35.3333333333,76.5
"Baale","kaci1244","Surmic","Eastern Sudanic",6.5,34.5
"Bozo (Tigemaxo)","tiey1235","Western Mande","Mande",15.0,-4.0
"Degema","dege1246","Edoid","Niger-Congo",4.75,6.75
"Dhaasanac","daas1238","Lowland East Cushitic","Afro-Asiatic",4.66666666667,36.3333333333
"Dhivehi","dhiv1236","Indic","Indo-European",4.16666666667,73.5
"Dullay (Gollango)","gaww1239","Lowland East Cushitic","Afro-Asiatic",5.5,37.25
"Gola","gola1255","Mel","Niger-Congo",7.25,-10.8333333333
"Gurr-goni","gura1252","Burarran","Mangrida",-12.25,134.416666667
"Gusii","gusi1247","Bantoid","Niger-Congo",-0.75,34.8333333333
"Jaminjung","djam1255","Jaminjungan","Mirndi",-15.0833333333,130.5
"Konda","kond1295","South-Central Dravidian","Dravidian",19.5,83.0
"Kodava","koda1255","Southern Dravidian","Dravidian",12.1666666667,76.8333333333
"Laz","lazz1240","Kartvelian","Kartvelian",41.5,41.5
"Limilngan","nucl1327","Limilngan","Darwin Region",-12.5,131.916666667
"Migama","miga1249","East Chadic","Afro-Asiatic",12.1666666667,19.8333333333
"Malto","kuma1274","Northern Dravidian","Dravidian",25.0,87.3333333333
"Matsés","mats1244","Panoan","Panoan",-5.41666666667,-73.25
"Nahuatl (Mecayapan Isthmus)","isth1242","Aztecan","Uto-Aztecan",18.25,-94.8333333333
"Nsenga","nsen1242","Bantoid","Niger-Congo",-14.5,30.8333333333
"Olutec","olut1240","Mixe-Zoque","Mixe-Zoque",17.95,-95.0
"Sangu","sang1333","Bantoid","Niger-Congo",-1.5,11.8333333333
"Siar","siar1238","Oceanic","Austronesian",-4.66666666667,152.916666667
"Saami (Kildin)","kild1236","Saami","Uralic",67.0,37.0
"Taiof","sapo1253","Oceanic","Austronesian",-5.53333333333,154.633333333
"Tamabo","malo1243","Oceanic","Austronesian",-15.6666666667,167.166666667
"Yawuru","yawu1244","Nyulnyulan","Nyulnyulan",-18.0,122.5
"Zapotec (Quiegolani)","sant1451","Zapotecan","Oto-Manguean",16.1666666667,-96.0833333333
"Zazaki","diml1238","Iranian","Indo-European",39.0,41.0
"Zoque (Chimalapa)","chim1300","Mixe-Zoque","Mixe-Zoque",16.75,-94.75
"Panyjima","pany1241","Western Pama-Nyungan","Pama-Nyungan",-22.8333333333,118.416666667
"Yupik (Naukan)","nauk1242","Eskimo","Eskimo-Aleut",66.0,-172.0
"Afrikaans","afri1274","Germanic","Indo-European",-31.0,22.0
"Berbice Dutch Creole","berb1259","Creoles and Pidgins","other",5.33333333333,-58.0
"Bandi","band1352","Western Mande","Mande",8.08333333333,-10.25
"Frisian","east2288","Germanic","Indo-European",53.0,5.0
"Gurindji","guri1247","Western Pama-Nyungan","Pama-Nyungan",-17.6666666667,130.666666667
"Hawaiian Creole","hawa1247","Creoles and Pidgins","other",21.5,-158.0
"Indonesian (Papuan)","papu1250","Malayo-Sumbawan","Austronesian",-2.5,140.666666667
"Jamaican Creole","jama1262","Creoles and Pidgins","other",18.1666666667,-77.25
"Kulung","kulu1253","Mahakiranti","Sino-Tibetan",27.5,87.0
"Kriol (Ngukurr)","krio1252","Creoles and Pidgins","other",-14.8333333333,135.0
"Kati (in Afghanistan)","kati1270","Nuristani","Indo-European",35.5,70.0
"Koyukon","koyu1237","Athapaskan","Na-Dene",65.0,-155.0
"Lesser Antillean French Creole","guad1242","Creoles and Pidgins","other",15.0,-61.1666666667
"Loma","loma1260","Western Mande","Mande",8.0,-9.5
"Manambu","mana1298","Ndu","Sepik",-4.25,142.833333333
"Mískito Coast English Creole","beli1260","Creoles and Pidgins","other",16.25,-88.8333333333
"Mauritian Creole","mori1278","Creoles and Pidgins","other",-20.3333333333,57.5
"Manadonese","mala1481","Malayo-Sumbawan","Austronesian",1.5,124.833333333
"Papiamentu","papi1253","Creoles and Pidgins","other",12.25,-69.0
"Shughni","shug1248","Iranian","Indo-European",38.1666666667,71.5
"Tabassaran","taba1259","Lezgic","Nakh-Daghestanian",41.8333333333,47.9166666667
"Tat (Muslim)","musl1236","Iranian","Indo-European",41.25,48.75
"Toqabaqita","toab1237","Oceanic","Austronesian",-8.41666666667,160.583333333
"Tok Pisin","tokp1240","Creoles and Pidgins","other",-9.5,147.166666667
"Leggbó","legb1242","Cross River","Niger-Congo",6.0,8.0
"Buma","tean1237","Oceanic","Austronesian",-11.6333333333,166.833333333
"Dumi","dumi1241","Mahakiranti","Sino-Tibetan",27.25,86.6666666667
"Kaulong","kaul1240","Oceanic","Austronesian",-6.16666666667,149.666666667
"Lebeo","ngel1238","Bantoid","Niger-Congo",1.75,25.0
"Logoti","logo1259","Moru-Ma'di","Central Sudanic",3.5,30.0
"Mokilko","muku1242","East Chadic","Afro-Asiatic",11.9166666667,18.0833333333
"Maleu","male1289","Oceanic","Austronesian",-5.71666666667,148.416666667
"Mono-Alu","mono1273","Oceanic","Austronesian",-7.05,155.75
"Musom","muso1238","Oceanic","Austronesian",-6.58333333333,147.0
"Neyo","neyo1238","Kru","Niger-Congo",5.0,-6.0
"Prasuni","pras1239","Nuristani","Indo-European",35.5,71.0
"Ron","ronn1241","West Chadic","Afro-Asiatic",9.0,8.75
"Roviana","rovi1238","Oceanic","Austronesian",-8.25,157.333333333
"Sisaala","west2465","Southern-Central Gur","Niger-Congo",10.8333333333,-2.66666666667
"Tangale","nucl1696","West Chadic","Afro-Asiatic",9.75,11.3333333333
"Tokelauan","toke1240","Oceanic","Austronesian",-9.0,-172.0
"Tutsa","tuts1235","Northern Naga","Sino-Tibetan",27.5,96.5
"Zapotec (Yatzachi)","yatz1235","Zapotecan","Oto-Manguean",17.2,-96.2
"Otomí (Ixtenco)","ixte1237","Otomian","Oto-Manguean",19.0833333333,-97.9166666667
"Balyku","nija1241","Western Pama-Nyungan","Pama-Nyungan",-22.0,120.0
"Bayungu","bayu1240","Western Pama-Nyungan","Pama-Nyungan",-23.0,114.0
"Dhalandji","dhal1245","Western Pama-Nyungan","Pama-Nyungan",-22.08,115.0
"Gugadj","guga1239","Northern Pama-Nyungan","Pama-Nyungan",-18.5,140.5
"Gunya","guny1241","Northern Pama-Nyungan","Pama-Nyungan",-26.5,146.5
"Gupapuyngu","gupa1247","Western Pama-Nyungan","Pama-Nyungan",-12.0,136.0
"Kaytej","kayt1238","Central Pama-Nyungan","Pama-Nyungan",-21.0,134.0
"Mudburra","mudb1240","Western Pama-Nyungan","Pama-Nyungan",-17.3333333333,132.083333333
"Ngarla","ngar1286","Western Pama-Nyungan","Pama-Nyungan",-20.0,119.0
"Ngarluma","ngar1287","Western Pama-Nyungan","Pama-Nyungan",-20.8333333333,117.5
"Nyamal","nyam1271","Western Pama-Nyungan","Pama-Nyungan",-21.0,119.0
"Nyangumarda","nyan1301","Western Pama-Nyungan","Pama-Nyungan",-20.0,121.0
"Umpila","umpi1239","Northern Pama-Nyungan","Pama-Nyungan",-13.5,143.5
"Kariera","kari1304","Western Pama-Nyungan","Pama-Nyungan",-20.5,118.5
"Wanman","wanm1242","Western Pama-Nyungan","Pama-Nyungan",-22.0,123.0
"Wangkangurru","wang1290","Central Pama-Nyungan","Pama-Nyungan",-27.0,137.0
"Warrongo","waru1264","Northern Pama-Nyungan","Pama-Nyungan",-18.0,145.0
"Wagawaga","waka1274","Southeastern Pama-Nyungan","Pama-Nyungan",-26.5,152.5
"Warumungu","waru1265","Western Pama-Nyungan","Pama-Nyungan",-19.5,134.5
"Woiwurrung","woiw1237","Southeastern Pama-Nyungan","Pama-Nyungan",-37.5,145.5
"Yalarnnga","yala1262","Northern Pama-Nyungan","Pama-Nyungan",-22.0,140.0
"Yaygir","yayg1236","Southeastern Pama-Nyungan","Pama-Nyungan",-29.6666666667,153.0
"Bade","bade1248","West Chadic","Afro-Asiatic",12.8333333333,10.5
"Inuktitut (Rankin Inlet)","west2618","Eskimo","Eskimo-Aleut",63.0,-92.0
"Kabyle","kaby1243","Berber","Afro-Asiatic",36.5,5.0
"Kilba","huba1236","Biu-Mandara","Afro-Asiatic",10.3333333333,13.1666666667
"Kwami","kwaa1269","West Chadic","Afro-Asiatic",10.4166666667,11.0
"Urim","urim1252","Urim","Torricelli",-3.58333333333,142.666666667
"Juang","juan1238","Munda","Austro-Asiatic",21.3333333333,86.0
"Micmac","mikm1235","Algonquian","Algic",45.0,-63.0
"Mundani","mund1327","Bantoid","Niger-Congo",5.66666666667,9.91666666667
"Quechua (Tarma)","nort2980","Quechuan","Quechuan",-11.4166666667,-75.75
"Rejang","reja1240","Rejang","Austronesian",-3.41666666667,102.5
"Venda","vend1245","Bantoid","Niger-Congo",-22.0,30.0
"Broken","torr1261","Creoles and Pidgins","other",-10.1666666667,143.0
"Candoshi","cand1248","Candoshi","Candoshi",-4.16666666667,-77.0
"Koh (Lakka)","kuoo1238","Mbumic","Niger-Congo",8.0,15.5
"Karitiâna","kari1311","Arikem","Tupian",-9.5,-64.0
"Maale","male1284","North Omotic","Afro-Asiatic",6.0,36.9166666667
"Mlabri (Minor)","mlab1235","Khmuic","Austro-Asiatic",18.5,101.0
"Nadëb","nade1244","Nadahup","Nadahup",-1.0,-66.5
"Popoloca (San Juan Atzingo)","sanj1285","Popolocan","Oto-Manguean",18.1666666667,-96.4166666667
"Saramaccan","sara1340","Creoles and Pidgins","other",4.5,-55.5
"Zapotec (San Lucas Quiaviní)","sanj1284","Zapotecan","Oto-Manguean",16.9,-96.4666666667
"Angolar","ango1258","Creoles and Pidgins","other",0.25,6.5
"Kurmanji","nort2641","Iranian","Indo-European",38.0,42.0
"Tayo","tayo1238","Creoles and Pidgins","other",-22.0,166.333333333
"Atchin","urip1239","Oceanic","Austronesian",-16.0,167.333333333
"Chocho","choc1279","Popolocan","Oto-Manguean",17.6666666667,-97.4166666667
"Futuna (East)","east2447","Oceanic","Austronesian",-14.3333333333,-178.166666667
"Ibibio","ibib1240","Cross River","Niger-Congo",5.25,7.83333333333
"Kalam","kala1397","Madang","Trans-New Guinea",-5.25,144.583333333
"Kwamera","kwam1252","Oceanic","Austronesian",-19.5833333333,169.416666667
"Nelemwa","kuma1276","Oceanic","Austronesian",-20.25,164.083333333
"Nharo","naro1249","Khoe-Kwadi","Khoe-Kwadi",-22.3333333333,20.5
"Ntomba","ntom1248","Bantoid","Niger-Congo",-2.0,18.3333333333
"Seediq","taro1264","Atayalic","Austronesian",24.1666666667,121.416666667
"Mayangna","maya1285","Misumalpan","Misumalpan",13.0,-84.5
"Tsat","tsat1238","Malayo-Sumbawan","Austronesian",18.25,109.5
"Upper Kuskokwim","uppe1438","Athapaskan","Na-Dene",63.0,-157.0
"Kinyarwanda","kiny1244","Bantoid","Niger-Congo",-2.0,30.0
"Kott","kott1239","Yeniseian","Yeniseian",57.0,94.0
"Soninke","soni1259","Western Mande","Mande",15.0,-10.5
"Urhobo","urho1239","Edoid","Niger-Congo",5.58333333333,6.0
"Bengali (Chittagong)","chit1275","Indic","Indo-European",22.3333333333,91.8333333333
"Frisian (Western)","west2354","Germanic","Indo-European",53.0,6.0
"Otomí (Sierra)","east2556","Otomian","Oto-Manguean",20.6666666667,-98.8333333333
"Romani (Kalderash)","vlax1238","Indic","Indo-European",45.0,21.0
"Toda","toda1252","Southern Dravidian","Dravidian",11.4166666667,76.75
"Boiken","boik1241","Ndu","Sepik",-3.5,143.5
"Cree (Swampy)","swam1239","Algonquian","Algic",56.0,-90.0
"Camling","caml1239","Mahakiranti","Sino-Tibetan",27.0,86.6666666667
"Cua","cuaa1241","Bahnaric","Austro-Asiatic",15.25,108.5
"Dharumbal","baya1257","Northern Pama-Nyungan","Pama-Nyungan",-22.75,150.5
"Emmi","amii1238","Wagaydy","Western Daly",-13.5,130.0
"Esmeraldeño","atac1235","Tacame","Tacame",0.333333333333,-79.8333333333
"Gogodala","gogo1265","Gogodala","Gogodala-Suki",-8.08333333333,142.833333333
"Haruai","haru1245","Piawi","Piawi",-5.08333333333,144.166666667
"Kadazan","coas1294","North Borneo","Austronesian",5.91666666667,117.166666667
"Koreguaje","kore1283","Tucanoan","Tucanoan",1.0,-75.5
"Karankawa","kara1289","Karankawa","Karankawa",28.0,-97.0
"Kaluli","kalu1248","Bosavi","Bosavi",-6.5,142.75
"Kamu","kamu1258","Eastern Daly","Eastern Daly",-13.5833333333,130.833333333
"Kanoê","kano1245","Kapixana","Kapixana",-13.25,-61.0
"Kayapó","kaya1330","Ge-Kaingang","Macro-Ge",-9.0,-52.0
"Lisu","lisu1250","Burmese-Lolo","Sino-Tibetan",26.0,98.0
"Lucazi","luch1239","Bantoid","Niger-Congo",-14.0,20.0
"Machiguenga","mach1267","Pre-Andine Arawakan","Arawakan",-12.0,-72.6666666667
"Menya","meny1245","Angan","Trans-New Guinea",-7.25,146.0
"Mehek","mehe1243","Tama Sepik","Sepik",-3.75,142.5
"Miriwung","miri1266","Jarrakan","Jarrakan",-15.6666666667,129.0
"Momuna","momu1241","Momuna","Trans-New Guinea",-4.83333333333,139.25
"Orya","orya1242","Orya","Tor-Orya",-2.75,139.833333333
"Puquina","puqu1242","Puquina","Puquina",-16.5,-68.5
"Sharanahua","shar1245","Panoan","Panoan",-11.0,-70.0
"Simeulue","sime1241","Northwest Sumatra-Barrier Islands","Austronesian",2.5,96.25
"Skou","nucl1634","Western Skou","Skou",-2.66666666667,140.916666667
"Talinga","tali1258","Bantoid","Niger-Congo",0.416666666667,29.6666666667
"Tobati","toba1266","Oceanic","Austronesian",-2.58333333333,140.666666667
"Tangbe","seke1240","Bodic","Sino-Tibetan",28.9166666667,83.75
"Tuyuca","tuyu1244","Tucanoan","Tucanoan",0.5,-70.0833333333
"Uru","uruu1244","Uru-Chipaya","Uru-Chipaya",-16.75,-69.0
"Wik Ngathana","wikn1245","Northern Pama-Nyungan","Pama-Nyungan",-13.9166666667,141.5
"Wogamusin","woga1249","Upper Sepik","Sepik",-4.25,142.333333333
"Womo","womo1238","Serra Hills","Skou",-2.91666666667,141.833333333
"Wathawurrung","wath1238","Southeastern Pama-Nyungan","Pama-Nyungan",-38.0,144.0
"Yahgan","yama1264","Yámana","Yámana",-55.0,-68.0
"Auyana","awiy1238","Eastern Highlands","Trans-New Guinea",-6.5,145.75
"Xiriana","xiri1243","Bahuanic","Arawakan",2.66666666666667,-62.5
"Binumarien","binu1245","Eastern Highlands","Trans-New Guinea",-6.28333333333,146.083333333
"Berber (Wargla)","taga1278","Berber","Afro-Asiatic",31.9166666667,5.33333333333
"Cogui","cogu1240","Arhuacic","Chibchan",11.0,-73.8333333333
"Comorian","maor1244","Bantoid","Niger-Congo",-12.0,44.0
"Chiriguano","east2555","Tupi-Guaraní","Tupian",-23.6666666667,-64.3333333333
"Damana","mala1522","Arhuacic","Chibchan",11.0,-73.5
"Fulfulde (Nigerian)","nige1253","Peul-Serer","Niger-Congo",10.25,11.25
"Guarijío","huar1255","Tarahumaran","Uto-Aztecan",27.75,-108.666666667
"Kanjobal (Western)","west2635","Mayan","Mayan",15.8333333333,-91.8333333333
"Ladin","ladi1250","Romance","Indo-European",46.5833333333,11.9166666667
"Luangiua","onto1237","Oceanic","Austronesian",-5.33333333333,159.416666667
"Mbalanhu","mbal1255","Bantoid","Niger-Congo",-17.5,15.0
"Manjaku","mand1419","Bak","Niger-Congo",12.0,-16.25
"Mixtec (Atatlahuca)","atat1238","Mixtecan","Oto-Manguean",17.0,-97.75
"Mayo","mayo1264","Cahita","Uto-Aztecan",26.0,-108.0
"Oromo (West-Central)","west2721","Lowland East Cushitic","Afro-Asiatic",9.0,37.0
"Pengo","peng1244","South-Central Dravidian","Dravidian",19.8333333333,83.8333333333
"Romani (Bugurdzi)","balk1252","Indic","Indo-European",42.6666666667,21.1666666667
"Sorbian (Lower)","lowe1385","Slavic","Indo-European",51.75,14.3333333333
"Shinassha","boro1277","North Omotic","Afro-Asiatic",10.4166666667,36.1666666667
"Susu","susu1250","Western Mande","Mande",10.0,-13.0
"Wayampi","waya1270","Tupi-Guaraní","Tupian",1.0,-52.0
"/Xam","xamm1241","Tu","Tu",-31.0,21.0
"Achí","achi1256","Mayan","Mayan",15.1666666667,-90.5
"Bubi","bube1242","Bantoid","Niger-Congo",3.5,8.66666666667
"Chortí","chor1273","Mayan","Mayan",14.8333333333,-89.25
"Duala","dual1243","Bantoid","Niger-Congo",4.0,9.41666666667
"Frisian (North)","nort2626","Germanic","Indo-European",54.5,9.0
"Guinea Bissau Crioulo","uppe1455","Creoles and Pidgins","other",12.0,-15.0
"Galician","gali1258","Romance","Indo-European",43.0,-8.0
"Gurenne","fare1241","Northern-Central Gur","Niger-Congo",10.8333333333,-0.916666666667
"Haitian Creole","hait1244","Creoles and Pidgins","other",19.0,-72.5
"Herero","here1253","Bantoid","Niger-Congo",-20.5833333333,19.0
"Izhor","ingr1248","Finnic","Uralic",59.0,29.0
"Low German","nort2627","Germanic","Indo-European",53.0,10.0
"Ladino","ladi1251","Romance","Indo-European",40.0,33.0
"Oromo (Boraana)","bora1271","Lowland East Cushitic","Afro-Asiatic",4.5,38.5
"Poqomam","poqo1253","Mayan","Mayan",14.6666666667,-90.5
"Príncipense","prin1242","Creoles and Pidgins","other",1.61666666667,7.36666666667
"Sapuan","sapu1248","Bahnaric","Austro-Asiatic",15.1666666667,106.833333333
"Seychelles Creole","sese1246","Creoles and Pidgins","other",-4.75,55.5
"Sorbian (Upper)","uppe1395","Slavic","Indo-European",51.8333333333,14.5
"Veps","veps1250","Finnic","Uralic",60.0,35.0
"Arabic (Kormakiti)","cypr1248","Semitic","Afro-Asiatic",35.25,33.5
"Alas","bata1292","Northwest Sumatra-Barrier Islands","Austronesian",3.66666666667,97.8333333333
"Amis","amis1246","East Formosan","Austronesian",23.3333333333,121.333333333
"Andi","andi1255","Avar-Andic-Tsezic","Nakh-Daghestanian",42.75,46.25
"Arabic (San'ani)","sana1295","Semitic","Afro-Asiatic",16.0,44.0
"Batak","bata1301","Greater Central Philippine","Austronesian",10.25,119.083333333
"Begak-Ida'an","idaa1241","North Borneo","Austronesian",5.25,118.833333333
"Bilaan (Koronadal)","sara1326","Bilic","Austronesian",6.0,125.333333333
"Binukid","binu1244","Greater Central Philippine","Austronesian",8.25,124.833333333
"Boko","boko1266","Eastern Mande","Mande",10.5,3.5
"Bura-Pabir","bura1292","Biu-Mandara","Afro-Asiatic",10.5,12.25
"Dutch (Zeeuws)","zeeu1238","Germanic","Indo-European",51.5,3.75
"German (Bavarian)","bava1246","Germanic","Indo-European",49.0,11.5
"German (Appenzell)","swis1247","Germanic","Indo-European",47.3333333333,9.33333333333
"Guduf","gudu1252","Biu-Mandara","Afro-Asiatic",11.2333333333,13.8
"German (Ripuarian)","kols1241","Germanic","Indo-European",51.0,7.0
"German (Westphalian)","west2356","Germanic","Indo-European",52.0,7.5
"Ibanag","iban1267","Northern Luzon","Austronesian",17.5,121.666666667
"Isnag","isna1241","Northern Luzon","Austronesian",18.25,121.0
"Italian (Turinese)","piem1238","Romance","Indo-European",45.0,7.66666666667
"Kabui","inpu1234","Kuki-Chin","Sino-Tibetan",24.8333333333,94.0
"Kutai","teng1267","Malayo-Sumbawan","Austronesian",-0.333333333333,116.666666667
"Lachi","lach1248","Kadai","Tai-Kadai",22.6666666667,104.833333333
"Loven","lave1248","Bahnaric","Austro-Asiatic",15.0,106.333333333
"Magindanao","magu1243","Greater Central Philippine","Austronesian",6.83333333333,124.5
"Mituku","mitu1240","Bantoid","Niger-Congo",-1.66666666667,25.5
"Malay (Ulu Muar)","nege1240","Malayo-Sumbawan","Austronesian",2.66666666667,102.5
"Nyelâyu","nyal1254","Oceanic","Austronesian",-20.3333333333,164.333333333
"Paite","pait1244","Kuki-Chin","Sino-Tibetan",24.0,93.1666666667
"Quechua (Cuzco)","cusc1236","Quechuan","Quechuan",-14.5,-71.0
"Runyoro-Rutooro","nyor1246","Bantoid","Niger-Congo",1.5,31.3333333333
"Tagbanwa (Aborlan)","tagb1258","Greater Central Philippine","Austronesian",9.5,118.5
"Wai Wai","waiw1244","Cariban","Cariban",1.0,-59.0
"Wallisian","wall1257","Oceanic","Austronesian",-13.3,-176.2
"Yiddish (Bessarabian)","east2295","Germanic","Indo-European",47.0,28.5
"Yaghnobi","yagn1238","Iranian","Indo-European",39.0,69.0
"Yami","yami1254","Batanic","Austronesian",22.0,121.5
"Yemsa","yems1235","North Omotic","Afro-Asiatic",7.83333333333,37.3333333333
