Name,glottocode,Genus,Family,Latitude,Longitude
"Ndebele (in South Africa)","sout2808","Bantoid","Niger-Congo",-25.3333333333,29.0
"Ndjébbana","djee1236","Ndjébbana","Mangrida",-12.1666666667,134.116666667
"Ndonga","ndon1254","Bantoid","Niger-Congo",-18.0,17.0
"Ngadjumaja","ngad1258","Western Pama-Nyungan","Pama-Nyungan",-32.3333333333,123.833333333
"Ngambay","ngam1268","Bongo-Bagirmi","Central Sudanic",8.66666666667,16.0
"Ngandi","ngan1295","Ngandi","Gunwinyguan",-13.8333333333,135.0
"Naga (Tangkhul)","tang1336","Kuki-Chin","Sino-Tibetan",25.0,94.5
"Ngawun","ngaw1240","Northern Pama-Nyungan","Pama-Nyungan",-19.0,141.5
"Nhanda","nhan1238","Western Pama-Nyungan","Pama-Nyungan",-27.0,114.166666667
"Nahuatl (Michoacán)","mich1245","Aztecan","Uto-Aztecan",18.5,-103.0
"Niuean","niue1239","Oceanic","Austronesian",-19.05,-170.116666667
"Nocte","noct1238","Northern Naga","Sino-Tibetan",27.0,95.5
"Noon","noon1242","Cangin","Niger-Congo",14.8333333333,-16.8333333333
"Nar-Phu","narp1239","Bodic","Sino-Tibetan",28.6666666667,84.25
"Nisenan","nise1244","Maiduan","Penutian",39.0,-121.0
"Nuer","nuer1246","Nilotic","Eastern Sudanic",8.33333333333,32.0
"Nupe","nupe1254","Nupoid","Niger-Congo",9.16666666667,5.41666666667
"Nyamwezi","nyam1276","Bantoid","Niger-Congo",-5.0,33.0
"Nyulnyul","nyul1247","Nyulnyulan","Nyulnyulan",-17.0,122.833333333
"Nzakara","nzak1247","Ubangi","Niger-Congo",5.0,23.0
"Naga (Zeme)","zeme1240","Kuki-Chin","Sino-Tibetan",25.1666666667,93.5
"Ogbronuagum","ogbr1243","Cross River","Niger-Congo",4.75,6.86666666667
"Obolo","obol1243","Cross River","Niger-Congo",4.58333333333,7.83333333333
"Ocuilteco","atzi1235","Matlatzincan","Oto-Manguean",18.9166666667,-99.6666666667
"Ömie","omie1241","Koiarian","Trans-New Guinea",-9.05,148.083333333
"Otoro","otor1240","Heiban","Kordofanian",11.1666666667,30.5
"Pa'a","paaa1242","West Chadic","Afro-Asiatic",11.0,9.25
"Palauan","pala1344","Palauan","Austronesian",7.5,134.583333333
"Pame","cent2145","Pamean","Oto-Manguean",22.0,-99.5
"Panjabi","panj1256","Indic","Indo-European",31.0,74.0
"Päri","pari1256","Nilotic","Eastern Sudanic",5.0,32.5
"Pima Bajo","pima1248","Tepiman","Uto-Aztecan",29.0,-111.0
"Folopa","folo1238","Teberan","Teberan-Pawaian",-7.0,144.5
"Pero","pero1241","West Chadic","Afro-Asiatic",9.58333333333,11.0
"Pilagá","pila1245","South Guaicuruan","Guaicuruan",-25.0,-60.0
"Piaroa","piar1243","Piaroa","Sáliban",5.0,-67.0
"Pokot","poko1263","Nilotic","Eastern Sudanic",1.5,35.5
"Palikur","pali1279","Eastern Arawakan","Arawakan",3.0,-51.0
"Bunu (Younuo)","youn1235","Hmong-Mien","Hmong-Mien",24.0,107.0
