Source,Target,Id,Length, Type
abk, yag, 140, 0.4639830508474576, Undirected
abk, yaq, 141, 0.4466911764705882, Undirected
abk, yim, 143, 0.42105263157894735, Undirected
abk, yko, 145, 0.40340909090909094, Undirected
abk, yur, 146, 0.43811881188118806, Undirected
abk, zqc, 147, 0.3897058823529411, Undirected
abk, zul, 148, 0.416015625, Undirected
abk, ngi, 149, 0.451171875, Undirected
abk, brs, 150, 0.42660550458715596, Undirected
abk, heb, 151, 0.4665354330708661, Undirected
abk, qim, 153, 0.3931451612903226, Undirected
aco, ain, 156, 0.3349514563106796, Undirected
aco, ala, 157, 0.4285714285714286, Undirected
aco, ame, 158, 0.3990825688073395, Undirected
aco, apu, 159, 0.3044554455445545, Undirected
aco, aeg, 160, 0.48853211009174313, Undirected
aco, arp, 161, 0.3711340206185567, Undirected
aco, arm, 162, 0.4129213483146067, Undirected
aco, asm, 163, 0.35526315789473684, Undirected
aco, awp, 164, 0.4232673267326733, Undirected
aco, bag, 165, 0.4242424242424242, Undirected
aco, bsq, 166, 0.43918918918918914, Undirected
aco, bkr, 167, 0.4638157894736842, Undirected
aco, bej, 168, 0.4698795180722891, Undirected
aco, brh, 170, 0.3876404494382022, Undirected
aco, brm, 171, 0.4441747572815534, Undirected
aco, bur, 172, 0.4928571428571429, Undirected
aco, cah, 173, 0.375, Undirected
aco, cnl, 174, 0.39749999999999996, Undirected
aco, cha, 175, 0.4077669902912622, Undirected
aco, chk, 177, 0.39252336448598135, Undirected
aco, cmn, 178, 0.3607594936708861, Undirected
aco, coo, 179, 0.3529411764705882, Undirected
aco, cre, 180, 0.29670329670329665, Undirected
aco, dag, 181, 0.3467741935483871, Undirected
aco, dni, 182, 0.3913043478260869, Undirected
aco, eng, 184, 0.46621621621621623, Undirected
aco, epe, 185, 0.46153846153846156, Undirected
aco, eve, 186, 0.45990566037735847, Undirected
aco, ewe, 187, 0.4516129032258065, Undirected
aco, fij, 188, 0.4, Undirected
aco, fin, 189, 0.472972972972973, Undirected
aco, gar, 191, 0.41158536585365857, Undirected
aco, geo, 192, 0.44859813084112155, Undirected
aco, goo, 194, 0.4455445544554455, Undirected
aco, grb, 195, 0.4948453608247423, Undirected
aco, grk, 196, 0.46100917431192656, Undirected
aco, grw, 197, 0.4197247706422018, Undirected
aco, gua, 198, 0.3642857142857143, Undirected
aco, hai, 199, 0.38372093023255816, Undirected
