Name,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
Arrernte (Mparntwe),aer,Central Pama-Nyungan,Pama-Nyungan,Australia,-24.0,136.0,Australia
Arrernte (Western),are,Central Pama-Nyungan,Pama-Nyungan,Australia,-24.0,132.5,Australia
Asmat,tml,Asmat-Kamoro,Trans-New Guinea,Papunesia,-5.5,138.5,Indonesia
Assamese,asm,Indic,Indo-European,Eurasia,26.0,93.0,India
Asturian,ast,Romance,Indo-European,Eurasia,43.25,-6.0,Spain
Asurin�,asu,Tupi-Guaran�,Tupian,South America,-3.5,-49.5,Brazil
Atacame�o,kuz,Kunza,Kunza,South America,-23.0,-69.0,Chile
Atayal,tay,Atayalic,Austronesian,Papunesia,24.5,121.33,Taiwan
Au,avt,Wapei-Palei,Torricelli,Papunesia,-3.58,142.08,Papua New Guinea
Auyana,auy,Eastern Highlands,Trans-New Guinea,Papunesia,-6.5,145.75,Papua New Guinea
Avar,ava,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.5,46.5,Azerbaijan
Avatime,avn,Kwa,Niger-Congo,Africa,6.83,0.42,Ghana
Avikam,avi,Kwa,Niger-Congo,Africa,5.17,-5.5,C�te d'Ivoire
Avokaya,avu,Moru-Ma'di,Central Sudanic,Africa,4.67,30.0,Democratic Republic of Congo
Awa Pit,kwi,Barbacoan,Barbacoan,South America,1.5,-78.25,Ecuador
Awadhi,awa,Indic,Indo-European,Eurasia,27.5,81.5,India
Awngi,awn,Central Cushitic,Afro-Asiatic,Africa,10.83,36.67,Ethiopia
Awtuw,kmn,Ram,Sepik,Papunesia,-3.58,142.0,Papua New Guinea
Ayoreo,ayo,Zamucoan,Zamucoan,South America,-20.25,-59.25,Paraguay
Azari (Iranian),azb,Turkic,Altaic,Eurasia,37.5,47.0,Iran
Babole,bvx,Bantoid,Niger-Congo,Africa,1.08,17.25,Congo
Babungo,bav,Bantoid,Niger-Congo,Africa,6.12,10.42,Cameroon
Bachamal,wdj,Anson Bay,Anson Bay,Australia,-13.17,130.17,Australia
Badaga,bfq,Southern Dravidian,Dravidian,Eurasia,11.67,76.75,India
Bade,bde,West Chadic,Afro-Asiatic,Africa,12.83,10.5,Nigeria
Badimaya,bia,Western Pama-Nyungan,Pama-Nyungan,Australia,-27.67,118.0,Australia
Bafia,ksf,Bantoid,Niger-Congo,Africa,5.0,11.17,Cameroon
Bafut,bfd,Bantoid,Niger-Congo,Africa,6.25,9.92,Cameroon
Baga Sitemu,bsp,Mel,Niger-Congo,Africa,10.5,-14.5,Guinea
