walscode,glottocode
alu,alut1245
amn,aman1265
amr,moro1292
apk,apuc1241
ara,araw1276
aso,sout2694
ats,atsu1245
axv,akhv1239
bao,bona1250
bdk,budu1248
bez,bezh1248
bgv,bagv1239
bla,siks1238
blc,east2304
bor,bora1263
brs,bara1380
bth,bath1244
but,mong1330
cas,cash1251
cav,cavi1250
ccm,coma1246
cct,choc1276
chc,chec1245
chh,seba1251
chi,chim1301
chm,cham1309
chr,chra1242
cht,nopa1235
ckh,chek1238
cla,clal1241
cly,chul1246
cmh,utes1238
cmk,chim1310
cmy,taba1266
cor,elna1235
cri,crim1257
crj,cari1279
csc,soch1239
cui,cuib1242
dol,dolg1241
eip,eipo1242
emb,nort2972
ena,enga1252
ese,esee1248
ess,esse1238
ets,yekh1238
frd,ford1242
fut,futu1245
gag,gaga1249
gap,gapa1238
gav,gavi1246
ghr,gahr1239
gll,gale1259
god,ghod1238
grf,gari1256
gto,guat1253
guj,guja1252
guq,cari1279
hal,hali1244
hav,hava1248
heb,hebr1245
hia,cari1279
hid,hida1246
hlp,hava1248
hmi,mini1256
hnk,hinu1240
hpd,hupd1244
hrs,hars1241
iql,east2534
iri,iris1253
ixi,ixil1251
jbt,djeo1235
jib,sheh1240
jmo,jurm1239
jrn,juru1256
jur,jurc1239
jva,kara1500
kat,kate1253
kaz,kaza1248
kfy,kirg1245
khg,khal1275
khi,khin1240
khk,khak1248
khv,khva1239
kiq,kalm1243
kit,kits1249
kkp,kara1467
kmk,kalm1243
koo,kola1285
krc,kara1465
krh,krah1246
krm,kara1464
krq,kere1280
krt,kara1474
krz,kryt1240
ksh,kash1280
ksi,puoc1238
ksr,kisa1266
kuo,kuot1243
kuq,kumy1244
kwz,kwaz1243
kym,nort2690
lha,laha1250
lil,lill1248
lim,limb1266
lon,loni1238
lrk,lari1255
lum,stra1244
mam,mamc1234
mcs,cent2140
mdr,nucl1460
meh,mehr1241
mid,mido1240
mkw,maku1246
mlt,malt1254
mma,nucl1706
mns,mans1258
mos,mose1249
muo,muon1246
mwn,nort2968
mxt,ayut1236
naa,chal1275
nab,naba1256
nam,nami1256
neg,negi1245
nev,toho1245
nnk,nank1250
nog,noga1249
nok,noga1249
nyk,tukp1239
oks,oksa1245
olo,oloo1241
ong,onge1236
orc,oroc1248
ork,orok1265
orl,orok1267
oro,orok1269
osa,osag1243
pat,pate1247
pip,pipi1250
pno,nort2954
ptt,patt1248
put,utes1238
qec,chim1302
qim,imba1240
rwa,rawa1267
sae,saek1240
sch,stra1244
sgs,stra1244
shr,shor1247
shw,shaw1249
slr,sala1264
sod,kist1241
sol,even1259
soo,stra1244
spi,tibe1272
sss,stra1244
sta,dong1285
sul,sulk1246
swr,shos1248
syg,west2402
tbb,tuba1278
tbr,taba1263
tce,cent2131
tec,tekt1235
tew,tewa1260
tex,khor1269
thd,thad1238
tid,tido1248
til,till1254
tin,tiri1258
tkm,turk1304
tlb,noga1249
tmr,temi1246
tnd,tind1238
tni,tina1246
tod,stod1241
tof,kara1462
tps,sout2976
tsz,dido1241
ttb,tata1255
tvo,tata1255
twx,khor1269
uby,ubyk1235
udh,udih1248
udi,udii1243
ulc,ulch1241
umu,cari1279
urm,urum1249
ute,utes1238
uyg,uigh1240
vai,vaii1241
was,wash1253
wik,yoku1256
wnb,hoch1243
wrm,ware1253
xav,xava1240
yki,yuki1243
ykp,yukp1241
ymd,yamd1240
ynm,yano1262
ypk,cent2127
yrc,yura1255
ysi,sire1246
yta,noga1249
yug,yugh1239
zno,zulu1248
zso,zulu1248
aka,yaka1272
avt,avat1244
ban,bana1305
bfd,biaf1240
bfi,bafi1243
ble,baou1238
bsr,bass1258
buy,buli1254
ctm,chit1248
day,dayy1236
dga,sout2789
ebi,ebir1243
ega,egaa1242
fus,pula1263
gad,gade1242
gbk,nort2775
gir,gula1265
grm,gour1243
hay,wayu1241
ila,ilaa1246
kan,khan1278
kem,qima1242
kgl,umbu1258
kon,koon1244
krw,koro1312
ksp,kimm1246
kwb,nucl1595
laa,laal1242
lok,loko1255
mby,mbay1241
mdk,mand1436
mdo,gbay1281
mdz,mada1282
mnu,kimm1245
moo,moss1236
mul,mula1253
ntj,ngaa1240
oku,okuu1243
ora,emai1241
pme,east2545
pod,park1239
tbl,tabl1243
tik,tika1246
tmk,tuma1260
trb,teri1250
wmn,weme1239
xas,xaas1235
yem,yemb1246
zqs,high1276
fma,pula1263
krn,kora1292
abe,nort3139
ace,achi1257
acg,acha1250
ael,liby1240
agt,leni1238
ahs,hass1238
akl,akla1241
aly,alya1239
apa,sout3123
arg,gulf1241
arh,hija1235
arl,nort3139
aro,aros1241
arv,sout3123
asy,nort3139
atb,aral1243
atq,paci1278
au,auuu1241
awd,awad1243
awe,west2441
awt,awtu1239
bae,bare1276
bal,bali1278
bbm,bamb1270
bbw,gunw1252
bdm,badi1246
bgg,bang1368
bho,bhoj1244
bik,biak1248
bim,bima1247
bkl,cent2087
blk,bala1315
bna,jama1261
bnl,bang1339
bnt,bant1286
bqb,basq1248
bqg,basq1248
bqh,basq1248
bqi,basq1248
bql,basq1248
bqn,basq1248
bqo,basq1248
bqr,basq1248
bqs,basq1248
bqz,basq1248
bso,basq1250
bug,bugi1244
bui,buli1255
buu,buru1303
cap,capa1241
ceb,cebu1242
cpa,ashe1273
cpn,chep1245
crk,cree1270
crn,corn1251
cup,cupe1243
cya,west2644
cyg,cayu1261
cze,czec1258
daa,daak1235
dak,dako1258
des,desa1247
dhu,dhur1239
dhw,thur1254
dji,djin1251
djr,jaru1254
dob,dobe1238
dou,dout1240
dri,dari1249
dsh,dani1285
dut,dutc1256
emc,embe1262
eno,engg1245
est,esto1258
far,faro1244
for,fore1270
gae,scot1245
gay,gayo1244
glp,dhan1270
gor,goro1270
gug,koka1244
guu,gugu1255
hln,hala1252
hmu,nupo1240
hnn,hanu1241
hno,nort2938
ice,icel1247
iga,inga1252
irm,iris1253
ita,ital1282
jum,juma1249
kaj,kaur1271
kam,kamb1299
kap,kela1255
kaw,kaiw1246
kei,keii1239
kjn,kunj1245
kjo,coas1295
kli,ledo1238
klp,kala1400
kop,komi1269
kra,kara1486
krl,kare1335
ktn,kete1254
kuu,kuuk1238
kuz,mati1250
lar,lara1258
let,leti1246
liv,livv1244
lje,lauj1238
lla,lamu1254
lmh,lama1277
lmp,lamp1243
mac,macu1259
mae,maee1241
mah,west2392
mai,mait1250
mcd,mace1250
mdm,west2443
mea,meya1236
meb,beta1252
men,meno1252
mgd,mong1342
min,mina1268
mis,misk1235
mks,maka1311
mlc,mala1533
mly,stan1306
mmo,moks1248
mms,mama1276
mna,muna1247
mng,mang1405
mnj,mart1256
mnm,mana1295
mnt,ment1249
mnx,manx1243
mny,marg1253
moh,moha1258
mrk,muri1260
mrs,nucl1594
mrw,muru1266
mse,muns1251
mta,buka1257
mym,mala1464
myn,maan1238
myy,mayk1239
naj,lish1245
nbb,bign1238
nbd,kenu1236
nbo,nyam1277
ngd,ngad1261
ngl,ngal1293
ngr,narr1259
nia,nias1242
nin,ning1273
nju,nyun1247
nkb,ngal1292
nne,neng1238
npu,napu1241
nsy,assy1241
nya,nyaw1247
obk,obok1239
occ,occi1239
olm,ngaj1237
ono,onoo1246
oto,iowa1245
pad,pado1242
pag,pagu1249
pin,pint1250
pir,yine1238
pkm,poqo1254
pkn,darl1243
plb,pola1255
plh,paul1238
plp,ngaj1237
pna,pamo1252
por,port1283
ppi,pitt1247
pul,pulu1242
qay,ayac1239
qch,kich1262
que,quec1382
rit,rita1239
rnr,balt1257
rot,rotu1241
rsm,roma1326
rti,term1237
sah,sahu1245
sak,saka1289
sao,saho1246
sbg,bala1311
scr,sout1528
sea,sout2859
ser,seri1257
sgr,sang1336
sio,sioo1240
skl,siku1242
skr,sika1263
slo,slov1268
sly,sela1260
sno,nort2671
spo,spok1245
sps,sout2965
srd,camp1261
sro,siro1249
sru,sela1259
sto,ston1242
sun,sund1252
svc,kash1274
svk,slov1269
swe,swed1254
swi,sawa1247
tah,tahi1242
taj,taji1245
taw,tawa1275
tgw,west2538
thp,thay1248
tla,kuan1248
tld,tala1285
tlo,tobe1252
tmc,timu1245
tng,tong1325
tno,tond1251
tns,sout2869
tnt,tont1239
tor,rata1244
trd,tora1261
tsa,tsak1249
tse,uabm1237
tsh,pana1305
tua,tuam1242
tzo,tzot1259
uhi,atam1239
uli,ulit1238
uma,umaa1242
unm,unam1242
vot,voti1245
wan,ngur1261
wbn,wamb1259
wel,wels1247
wer,weri1253
wet,luan1263
wlm,walm1241
wlo,woli1241
wrg,warr1255
wrl,warl1254
ych,cent2127
yil,yill1241
yin,yind1247
ysl,cent2128
yun,cent2127
yuw,gami1243
ywl,yoku1256
yzv,komi1268
atk,atak1252
bel,belh1239
cho,high1242
cku,wasc1239
dig,diga1241
hat,hata1243
iau,iauu1242
jel,jeri1242
kri,kari1255
lai,haka1240
mot,siwa1245
nah,niha1238
tot,yecu1235
wem,west2443
ash,adyg1241
nca,carn1240
nsg,nisg1240
amb,ambu1247
ane,anem1249
bzi,bauz1241
chy,chay1248
cin,ines1240
cjo,chic1272
gku,puel1244
gmz,gumu1244
hua,yaga1260
kim,kima1246
kiu,kuii1253
kkr,kiri1256
knp,ngka1235
mrh,mari1424
nat,natc1249
nkk,naka1260
nyn,nyig1240
ori,tega1236
siu,sius1254
syu,salt1242
tau,tauy1241
tgp,sawi1256
tkl,take1257
tlf,tele1256
wrn,wand1263
wsk,wask1241
xok,xokl1240
yli,angg1239
kui,kuii1252
ynk,yank1247
aar,aari1239
abn,arab1267
abu,abun1252
abv,abui1241
acl,acol1236
acu,achu1248
adg,adan1251
adi,adio1239
adn,adny1235
aga,agar1252
agc,cent2084
akh,akha1245
all,lala1268
aml,east2443
amq,amba1265
ams,stan1318
amx,anam1248
ang,ango1254
anj,anei1239
ann,anin1240
anu,anuf1239
any,anua1242
aoj,mufi1238
apl,apal1257
apt,apat1240
apw,west2615
arq,meso1252
arw,nucl1235
ass,assa1263
ath,athp1241
awa,awap1236
azi,sout2697
bac,wadj1254
baq,baur1253
bar,bari1284
bbu,bara1361
bdu,budu1250
bgo,bong1285
bgr,furu1242
bii,biri1256
bil,bilu1245
bio,naii1241
bka,baka1274
bkb,bett1235
bln,bili1260
blr,bela1254
blt,balt1258
blx,bilo1248
bmb,bimo1239
bmr,buru1306
bnn,bann1247
bnr,ngar1235
bnu,bula1255
brf,tari1263
brn,buru1320
brp,wara1302
bry,baru1267
bsh,bush1247
bti,beto1236
bud,budu1265
bun,tere1278
bwc,west2560
bya,byan1241
cba,barb1263
cbo,chac1251
cde,maqu1238
cem,cemu1238
chg,chan1313
chs,siyi1240
chx,lowl1260
ckl,chin1286
cln,chol1284
cnm,kana1291
coa,coah1252
coc,coca1259
cop,copt1239
cos,sout2986
cpl,pala1351
cpy,chip1262
crp,cara1272
deu,deor1238
dgo,dong1290
dhr,dhar1247
did,didi1258
dim,dime1235
dja,dyaa1242
djm,djam1256
djn,djin1253
dlm,dera1245
dmk,doma1260
dms,dima1251
dom,doma1258
drm,darm1243
duk,huns1239
dun,duna1248
egn,enge1239
eme,emer1243
erk,sout2856
eud,opat1246
fqs,fass1245
fua,adam1253
gaa,gaga1251
gah,alek1238
gal,damu1236
ggu,gure1255
gim,benc1235
gln,goli1247
gmw,guma1254
gnn,kwin1241
goe,goem1240
gok,goka1239
gon,sout2711
gud,gude1246
gul,gula1269
gur,guru1261
hma,hmar1241
hnd,hund1239
ho,hooo1248
hoa,hoav1238
hui,huic1243
idn,idun1242
ifu,bata1298
ina,suab1238
inn,yand1253
iqu,iqui1243
isa,kris1246
izi,izie1238
jab,yabe1254
jms,jams1239
juk,juku1254
kaa,karo1305
kac,kach1279
kar,kara1482
kba,kamb1297
kbu,kane1243
kbw,bwek1238
kel,kele1258
ken,keng1240
khl,turk1303
kik,kiku1240
kir,cerm1238
kkt,koko1269
kku,kork1243
kls,kali1308
klw,kili1268
kma,kama1373
kmh,gama1251
kmj,kara1483
kmn,kuma1280
kmo,moun1252
kmr,kamo1255
kms,kama1351
kmz,kama1367
knc,kuku1280
kni,konn1242
knn,kinn1249
knw,nort2951
koe,kweg1241
kok,kokb1239
kos,kosr1238
kre,gbay1288
krj,kara1476
krr,kair1263
ksa,east1472
kta,koit1244
ktc,katc1249
ktl,katl1237
kuv,kuvi1243
kwn,kwan1273
kwt,nucl1593
kyk,kyak1244
lac,laca1243
lag,lagw1237
lal,xish1235
lao,laoo1244
lbu,lund1266
lda,gand1255
ldu,lend1245
lec,leco1242
lel,lele1276
lew,lewo1242
lgu,long1395
lho,lhom1239
lmg,lama1288
lmn,lamb1269
lnd,band1344
lot,loth1237
lou,louu1245
mad,madi1260
maj,maja1242
man,mann1248
mbr,mbar1260
mbt,mang1394
mcc,moch1259
mcv,moco1246
mde,mend1266
mdn,mand1446
mee,meen1242
mek,saki1248
mer,meri1244
mga,ndun1249
mgk,mung1266
mgu,musg1254
mhi,mara1378
mik,karb1241
miy,miya1266
miz,lush1249
mka,maho1249
mki,mika1239
mkj,maka1316
mlg,wand1278
mmn,mama1275
mmv,mamv1243
mno,mono1275
moe,erzy1239
mok,moki1238
mon,monn1252
mou,moru1253
mpr,maip1246
mpt,mian1256
mra,mara1385
mru,maru1249
msc,chib1270
msg,misi1242
msk,ngil1242
msl,nucl1440
msn,mais1250
mtb,matu1259
mts,mati1255
mtu,motu1246
mup,mwag1236
mur,murs1242
mus,muss1246
mut,sout2986
mwb,west2555
mxj,pino1237
mxo,ocot1243
mxp,peno1244
mzh,huau1238
nag,yale1246
nak,naka1262
ndb,sout2808
ndj,djee1236
ndo,ndon1254
ngj,ngad1258
ngm,ngam1268
ngn,ngan1295
ngt,tang1336
ngw,ngaw1240
nha,nhan1238
nhm,mich1245
niu,niue1239
noc,noct1238
noo,noon1242
nph,narp1239
nsn,nise1244
nue,nuer1246
nup,nupe1254
nwd,newa1246
nym,nyam1276
nyu,nyul1247
nza,nzak1247
nze,zeme1240
obg,ogbr1243
obo,obol1243
ocu,atzi1235
omi,omie1241
otr,otor1240
paa,paaa1242
pal,pala1344
pam,cent2145
pan,panj1256
par,pari1256
pba,pima1248
pdp,folo1238
per,pero1241
pga,pila1245
pia,piar1243
pkt,poko1263
plk,pali1279
pnu,youn1235
pok,rawo1244
pre,asut1235
prk,puri1258
ptw,patw1250
pwn,pawn1254
qhu,huam1248
qum,sipa1247
ras,tega1236
raw,rawa1265
rem,bond1245
rny,nyan1307
rum,rumu1243
run,rung1258
rwe,wels1246
saa,saaa1240
sal,sali1253
sam,samo1305
sav,savi1242
sem,sumi1235
shl,shil1265
shm,sham1280
shn,shon1251
sho,shos1248
sht,shat1244
sia,sian1257
sid,sida1246
sis,baba1268
skk,sikk1242
slb,sali1295
smn,cree1270
sna,shin1264
sng,sina1266
so,sooo1256
sob,sobe1238
son,sons1242
src,sars1236
stl,sant1410
suk,suki1245
tak,taki1248
tao,tara1313
tar,tari1256
tbo,tbol1240
tee,hueh1236
ten,tenn1246
teo,teop1238
tep,tlac1235
tes,teso1249
tgh,taha1241
tgl,tsha1245
thn,than1259
thy,thay1249
tim,timu1262
tir,trio1238
tja,kumi1248
tml,tami1289
tmo,tibe1272
tna,turk1308
tnc,tana1290
tnn,tune1261
tny,west2466
tob,toba1269
toz,tong1318
tpn,nort2959
tpt,tapi1253
tri,copa1237
trm,suri1267
trr,nort2920
tsk,tama1365
tte,tute1247
tuc,tuca1252
tus,tusc1257
twe,lowl1265
txj,xico1235
tzu,tzut1248
udm,udmu1245
ukr,ukra1253
uld,wuzl1236
urd,urdu1245
url,urak1238
urn,urar1246
urt,urat1244
usr,usar1243
wag,wage1238
wak,wakh1245
wal,valm1241
wat,waja1257
wau,woun1238
wed,weda1241
wly,wola1242
wol,wole1240
wrb,warr1257
wrk,guar1293
wrw,warr1258
xar,xara1244
xbi,komb1272
xho,xhos1239
yal,kosa1249
yng,ying1247
yok,yoku1256
yuk,gang1267
zag,zagh1240
zai,isth1244
zap,mitl1236
zay,zays1235
zhn,guib1245
zpr,zapa1253
zqo,copa1236
zzo,zoog1238
agl,aghu1253
blq,nucl1695
bnw,bani1255
bsm,bisl1239
buw,bulu1251
cmx,como1259
coe,coeu1236
cuu,chuu1238
cvc,chav1241
cwe,colu1241
dhm,dhim1246
err,siee1239
fox,mesk1242
gmt,guma1253
gum,kumb1268
hil,hili1240
hlu,halk1245
hrr,hara1271
ilo,ilok1237
itz,itza1241
kpm,pamp1243
lrd,lard1243
maw,west2500
mja,jami1235
mmb,mbul1263
moj,moha1256
mrq,nort2845
msh,mars1254
muh,seba1251
mwe,mwer1248
mxl,alac1244
nau,naur1243
nde,nand1264
ngk,nang1259
nhc,cent2132
nkr,nuku1260
ojs,seve1240
oka,okan1243
pgl,ping1243
pnn,pang1290
rmb,remb1249
rnd,rund1242
ses,sout2807
sry,sira1267
sst,stra1244
swt,swat1243
tho,thom1243
thw,thao1240
tig,tigr1271
toj,tojo1241
tsw,tswa1253
twa,twan1247
wwy,wara1300
abo,arbo1245
agw,alag1248
bab,veng1238
bys,bais1246
cic,nyan1308
def,defa1248
fgu,pula1262
gdi,godi1239
lin,ling1263
ngg,nang1259
nyh,nyih1240
pil,pile1238
pmc,cent2138
qaf,afar1241
ren,rend1243
ret,tani1257
saw,sabu1255
smt,umat1237
tap,taia1239
tvl,tuva1244
yaz,yazg1240
ylb,mart1256
agd,dupa1235
ajg,ajab1235
alk,arop1243
arj,gulf1241
avk,avik1243
avo,avok1242
ayi,anyi1245
bak,baka1272
bas,basa1284
bga,beng1282
bgn,bugu1246
bid,bidi1241
big,yulu1243
bin,bina1277
bku,mokp1239
blg,bala1310
blu,luba1249
bmz,tumz1238
bnb,buna1275
bni,bini1246
bnk,bank1256
bob,bang1354
bsi,siwi1239
bus,busa1253
cai,suri1267
cak,kaqc1270
chb,cham1313
chn,chan1310
cld,chal1275
cmr,mara1382
cqt,chiq1248
cro,crow1244
daw,daww1239
drg,darg1241
dul,drun1238
eny,enya1247
fon,fonn1241
gam,gamo1243
gel,gela1263
gil,gila1241
git,gitx1241
gnd,gaan1243
guh,guhu1244
