description,equivalence_class,frequency,id,in_inventories,name,pk,segment_class
LATIN SMALL LETTER B - MODIFIER LETTER GLOTTAL STOP,b,0.000628338,D18C31BF7AE0FAB89437E2985CA18469,2,bˀ,518,consonant
LATIN SMALL LETTER D - MODIFIER LETTER GLOTTAL STOP,d,0.000628338,156737A64AD26707AB4DDD58B6E3DCC5,2,dˀ,519,consonant
LATIN SMALL LETTER ETH - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,ð,0.000628338,47291C67010B4DBEAA93DB31BA0ABD0B,2,ðˤ,574,consonant
LATIN SMALL LETTER B - MODIFIER LETTER SMALL W - MODIFIER LETTER TRIANGULAR COLON,b,0.000628338,1F8090C13981832D8A1C45541739C6AB,2,bʷː,582,consonant
LATIN SMALL LETTER F - MODIFIER LETTER SMALL W - MODIFIER LETTER TRIANGULAR COLON,f,0.000628338,26CC68287D5B0ABC9502AE544AF43B04,2,fʷː,585,consonant
LATIN SMALL LETTER L - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP - MODIFIER LETTER TRIANGULAR COLON,l,0.000628338,D74D52810EF2CA763D517469961BD741,2,lˤː,589,consonant
LATIN SMALL LETTER M - MODIFIER LETTER SMALL W - MODIFIER LETTER TRIANGULAR COLON,m,0.000628338,910CB0B09E2AEAD2EB0B1981DF2BCCD8,2,mʷː,590,consonant
LATIN SMALL LETTER R WITH FISHHOOK - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,ɾ,0.000628338,72161C8970117CF2164E8424D05DE986,2,ɾˤ,594,consonant
LATIN SMALL LETTER Z - COMBINING BRIDGE BELOW - MODIFIER LETTER TRIANGULAR COLON,z,0.000628338,F1940B5718C13AFEEE2D803025B8D8B6,2,z̪ː,596,consonant
LATIN SMALL LETTER F - COMBINING LEFT ANGLE BELOW,f,0.000628338,5C3BAAEF2F9D0B7F9FC4D9AFC6004B3A,2,f͉,597,consonant
LATIN SMALL LETTER V - COMBINING VERTICAL LINE BELOW,v,0.000628338,21582B442B797016853E1FFF755B0AEB,2,v̩,609,consonant
LATIN SMALL LETTER Z - COMBINING VERTICAL LINE BELOW,z,0.000628338,CFF7C99CB1993746B3217B300D7F63C9,2,z̩,610,consonant
LATIN SMALL LETTER B - COMBINING DIAERESIS BELOW - MODIFIER LETTER SMALL J,b,0.000628338,243901CF6A32CCA3162E542B4FBC4135,2,b̤ʲ,623,consonant
LATIN SMALL LETTER B - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL GAMMA,b,0.000628338,3F60DE579FCE9A291BE68403405B313A,2,bʷˠ,645,consonant
LATIN SMALL LETTER L - COMBINING RING BELOW - MODIFIER LETTER SMALL GAMMA,l,0.000628338,0168095892790D016A2704BD2A915236,2,l̥ˠ,652,consonant
LATIN SMALL LETTER N - COMBINING RING BELOW - MODIFIER LETTER SMALL GAMMA,n,0.000628338,41B081C5ADC0181CE37739B72400B8CF,2,n̥ˠ,656,consonant
LATIN SMALL LETTER P - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL GAMMA - MODIFIER LETTER SMALL H,p,0.000628338,1D806FEFC424AFF6AF9E9EED94E84BD4,2,pʷˠʰ,658,consonant
LATIN SMALL LETTER PHI - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL GAMMA,ɸ,0.000628338,4B70025F321D5EA0B946BCC174BCAAC3,2,ɸʷˠ,660,consonant
LATIN SMALL LETTER R WITH FISHHOOK - COMBINING RING BELOW - MODIFIER LETTER SMALL GAMMA,ɾ,0.000628338,8D455B3B1D6F59207DE614A979E95739,2,ɾ̥ˠ,662,consonant
LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL GAMMA,ʃ,0.000628338,8DB6642D88B4C703051ECD0B07577292,2,ʃˠ,686,consonant
LATIN SMALL LETTER EZH - MODIFIER LETTER SMALL GAMMA,ʒ,0.000628338,9B18418D6249BC0B72138B0C71388011,2,ʒˠ,691,consonant
LATIN SMALL LETTER B - COMBINING DIAERESIS BELOW - MODIFIER LETTER TRIANGULAR COLON,b,0.000628338,47160C83A64BF02E43D95412B7E4E496,2,b̤ː,710,consonant
LATIN SMALL LETTER V WITH HOOK - MODIFIER LETTER TRIANGULAR COLON,ʋ,0.000628338,A0190C0AE21A9600DA3BF6ADDB8B9C01,2,ʋː,724,consonant
LATIN SMALL LETTER TURNED R - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER TURNED R,ɹ|ɹ,0.000628338,4DE59D6807599C436D044A9D363E2244,2,ɹ̪|ɹ,789,consonant
LATIN SMALL LETTER L WITH BELT - COMBINING BRIDGE BELOW - MODIFIER LETTER TRIANGULAR COLON - VERTICAL LINE - LATIN SMALL LETTER L WITH BELT - MODIFIER LETTER TRIANGULAR COLON,ɬ|ɬ,0.000628338,ED43E9C03173351E4F4D316A4C0DA326,2,ɬ̪ː|ɬː,793,consonant
LATIN LETTER SMALL CAPITAL INVERTED R - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,ʁ,0.000628338,8B83BA35CE79666F432ED6FE6AC5D33F,2,ʁʷˤ,804,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER TRIANGULAR COLON - VERTICAL LINE - LATIN SMALL LETTER T - MODIFIER LETTER TRIANGULAR COLON,t|t,0.000628338,FC1180C6A74948C0E4A4D9714C6E4B4E,2,t̪ː|tː,809,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER S - COMBINING BRIDGE BELOW - MODIFIER LETTER APOSTROPHE - MODIFIER LETTER TRIANGULAR COLON - VERTICAL LINE - LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER APOSTROPHE - MODIFIER LETTER TRIANGULAR COLON,ts|ts,0.000628338,4DF7C9BA2AC3A7387B01C242B60FBF8F,2,t̪s̪ʼː|tsʼː,817,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER N - LATIN SMALL LETTER T,nt|nt,0.000628338,0FB3D1F81A7944D11F61BCFA16990474,2,n̪t̪|nt,847,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER GLOTTAL STOP - VERTICAL LINE - LATIN SMALL LETTER T - MODIFIER LETTER GLOTTAL STOP,t|t,0.000628338,045D35782E57B236E323A7E0AF1CC127,2,t̪ˀ|tˀ,881,consonant
LATIN SMALL LETTER N - COMBINING MINUS SIGN BELOW - COMBINING RING BELOW,n,0.000628338,4A2D14DC136574330AB232E095AD6A32,2,n̠̥,895,consonant
LATIN SMALL LETTER Z - COMBINING BRIDGE BELOW - COMBINING EQUALS SIGN BELOW - VERTICAL LINE - LATIN SMALL LETTER Z - COMBINING EQUALS SIGN BELOW,z|z,0.000628338,D527DAF6323303BE140A90D8A316C227,2,z̪͇|z͇,897,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL H,nt,0.000628338,781D1A238499814E0D3E1B0C1EEE7F3F,2,n̪t̪ʰ,919,consonant
LATIN SMALL LETTER LEZH - COMBINING BRIDGE BELOW,ɮ,0.000628338,0C2FE17EE7F67E1E60E10900676E278A,2,ɮ̪,937,consonant
LATIN SMALL LETTER ENG - COMBINING RING BELOW - MODIFIER LETTER SMALL W,ŋ,0.000628338,B3228B9DCBAD08C6F21D21B329E221E5,2,ŋ̥ʷ,942,consonant
LATIN SMALL LETTER R WITH FISHHOOK - COMBINING MINUS SIGN BELOW,ɾ,0.000628338,263CFC958FF1AAC0EF380999D9A4855A,2,ɾ̠,945,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER R,nr,0.000628338,D8BA4CA3FEC4DBA428F4C21C9833134C,2,nr,950,consonant
LATIN SMALL LETTER K - LATIN LETTER LATERAL CLICK - COMBINING X BELOW - MODIFIER LETTER SMALL H,kǁ,0.000628338,120E3D18DF6DB927C86C1FCDCAB25242,2,kǁ͓ʰ,965,consonant
LATIN SMALL LETTER K - LATIN LETTER RETROFLEX CLICK - COMBINING MINUS SIGN BELOW - MODIFIER LETTER SMALL H,kǃ,0.000628338,3E1E803EE09E2F9835D66115B5DEB9DF,2,kǃ̠ʰ,967,consonant
LATIN SMALL LETTER ENG - COMBINING RING BELOW - LATIN LETTER LATERAL CLICK - COMBINING X BELOW - MODIFIER LETTER GLOTTAL STOP,ŋǁ,0.000628338,0693EB9D36F0C224CA851279F4B8EDE9,2,ŋ̥ǁ͓ˀ,970,consonant
LATIN SMALL LETTER ENG - COMBINING RING BELOW - LATIN LETTER RETROFLEX CLICK - COMBINING MINUS SIGN BELOW - MODIFIER LETTER GLOTTAL STOP,ŋǃ,0.000628338,9383CE4875A17B364847BF0BD2015B36,2,ŋ̥ǃ̠ˀ,972,consonant
LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER B - MODIFIER LETTER SMALL W,ɡb,0.000628338,DA158A4CB640860782B1594AA69564BF,2,ɡbʷ,979,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL W - VERTICAL LINE - LATIN SMALL LETTER T - MODIFIER LETTER SMALL W,t|t,0.000628338,1DBF7E5CA3E10F296CDD1A2A626361D7,2,t̪ʷ|tʷ,989,consonant
LATIN SMALL LETTER ENG - LATIN SMALL LETTER K - MODIFIER LETTER SMALL J,ŋk,0.000628338,86AC2C4F8C236AA964E4A0F37679D2D6,2,ŋkʲ,995,consonant
LATIN SMALL LETTER K - LATIN SMALL LETTER H WITH HOOK,kɦ,0.000628338,2B538DB9F5D30D38C00FE3591119136A,2,kɦ,996,consonant
LATIN SMALL LETTER P - LATIN SMALL LETTER H WITH HOOK,pɦ,0.000628338,9C4154691B8A97816E9EC779652F8263,2,pɦ,997,consonant
LATIN SMALL LETTER C WITH CURL - MODIFIER LETTER APOSTROPHE,ɕ,0.000628338,4E53134342A104A4FAC72AB8CB06E2AB,2,ɕʼ,1029,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - COMBINING TILDE BELOW,n,0.000628338,DB6274FB601B55BFD4477D17990EAB20,2,n̪̰,1034,consonant
LATIN SMALL LETTER D - LATIN SMALL LETTER Z - COMBINING DIAERESIS BELOW,dz,0.000628338,B19B41A24E3C893300D8187020573524,2,dz̤,1054,consonant
LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER EZH - MODIFIER LETTER APOSTROPHE,dʒ,0.000628338,76A42A7D8ECAE0C5DE8758BA41B44979,2,d̠ʒʼ,1058,consonant
LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER APOSTROPHE,ɡ,0.000628338,7AC1612D842A96B9FADAFB797BD7A5C0,2,ɡʼ,1062,consonant
LATIN SMALL LETTER SCRIPT G - LATIN LETTER DENTAL CLICK - COMBINING X BELOW,ɡǀ,0.000628338,342D7AB23FCF57042E9E05A9C8F53E5E,2,ɡǀ͓,1063,consonant
LATIN SMALL LETTER SCRIPT G - LATIN LETTER ALVEOLAR CLICK - LATIN SMALL LETTER X,ɡǂx,0.000628338,C1B71BB77BDA4D899A4FD9221EDD07BE,2,ɡǂx,1073,consonant
LATIN SMALL LETTER K - LATIN LETTER ALVEOLAR CLICK - MODIFIER LETTER SMALL H,kǂ,0.000628338,DF2E866E216C48A5A955F0060CD4697F,2,kǂʰ,1080,consonant
LATIN SMALL LETTER K - LATIN LETTER ALVEOLAR CLICK - LATIN SMALL LETTER X,kǂx,0.000628338,28B151D97C442E329D09355D360E3289,2,kǂx,1084,consonant
LATIN SMALL LETTER ENG - COMBINING RING BELOW - LATIN LETTER DENTAL CLICK - COMBINING X BELOW - MODIFIER LETTER SMALL H,ŋǀ,0.000628338,5A753E4C9C06D37EC38B1D8796F9CD05,2,ŋ̥ǀ͓ʰ,1089,consonant
LATIN SMALL LETTER ENG - LATIN LETTER ALVEOLAR CLICK,ŋǂ,0.000628338,8ABCB5099830FA5A580082211BD5223D,2,ŋǂ,1091,consonant
LATIN SMALL LETTER ENG - COMBINING DIAERESIS BELOW - LATIN LETTER RETROFLEX CLICK,ŋǃ,0.000628338,F77E1F8DA258BA010D2AFEA2817DD840,2,ŋ̤ǃ,1102,consonant
LATIN SMALL LETTER ENG - COMBINING RING BELOW - LATIN LETTER RETROFLEX CLICK,ŋǃ,0.000628338,E08C7EDE7B5C3AC813DB60C151249E9F,2,ŋ̥ǃ,1103,consonant
LATIN SMALL LETTER ENG - COMBINING RING BELOW - LATIN LETTER RETROFLEX CLICK - MODIFIER LETTER GLOTTAL STOP,ŋǃ,0.000628338,762C17EE3A89DF3ECF76D66C452EEFEA,2,ŋ̥ǃˀ,1105,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL W - MODIFIER LETTER TRIANGULAR COLON,tʃ,0.000628338,FABF053915589F6CF047DC8B6A92615C,2,t̠ʃʷː,1122,consonant
LATIN SMALL LETTER B - COMBINING BRIDGE BELOW,b,0.000628338,82477870369D3FAB5AB761F676A52FE0,2,b̪,1129,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER S - COMBINING EQUALS SIGN BELOW,ts,0.000628338,F107DE9F53FE9C9C6E30FEF515504BF5,2,ts͇,1131,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - COMBINING DIAERESIS BELOW - VERTICAL LINE - LATIN SMALL LETTER N - COMBINING DIAERESIS BELOW,n|n,0.000628338,A98362144764A762F68FC45419A8DBFB,2,n̪̤|n̤,1151,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL W - VERTICAL LINE - LATIN SMALL LETTER N - MODIFIER LETTER SMALL W,n|n,0.000628338,EE9A5B89C20591A13AC7E72820A5A96D,2,n̪ʷ|nʷ,1165,consonant
LATIN SMALL LETTER ENG - COMBINING DIAERESIS BELOW,ŋ,0.000628338,0F8984CD6F72879A4ED342F13843BD48,2,ŋ̤,1184,consonant
LATIN SMALL LETTER Q - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP - MODIFIER LETTER APOSTROPHE,q,0.000628338,986E8219F04B6F3FB15D2082583E7828,2,qˤʼ,1202,consonant
LATIN SMALL LETTER K - MODIFIER LETTER SMALL W - MODIFIER LETTER GLOTTAL STOP,k,0.000628338,2CF6738206C42B58A2491E90E03456FF,2,kʷˀ,1218,consonant
LATIN SMALL LETTER TURNED M WITH LONG LEG - COMBINING TILDE BELOW,ɰ,0.000628338,BEBBE1742A8B3335082C0A4893E55910,2,ɰ̰,1224,consonant
LATIN SMALL LETTER R - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL J - VERTICAL LINE - LATIN SMALL LETTER R - MODIFIER LETTER SMALL J,r|r,0.000628338,1B2FFB3D36A12CB5220650C5893DDC87,2,r̪ʲ|rʲ,1227,consonant
LATIN SMALL LETTER L WITH BELT - COMBINING BRIDGE BELOW - MODIFIER LETTER APOSTROPHE - VERTICAL LINE - LATIN SMALL LETTER L WITH BELT - MODIFIER LETTER APOSTROPHE,ɬ|ɬ,0.000628338,9B3CEBC3EB79FD716CA02850336F4166,2,ɬ̪ʼ|ɬʼ,1241,consonant
LATIN SMALL LETTER B WITH HOOK - MODIFIER LETTER SMALL J,ɓ,0.000628338,202BA0BCA8A03C57F08603FE184D9CDD,2,ɓʲ,1248,consonant
LATIN SMALL LETTER GAMMA - MODIFIER LETTER TRIANGULAR COLON,ɣ,0.000628338,4D635B40A4819A4A50ADF8E7766C3693,2,ɣː,1276,consonant
LATIN SMALL LETTER N - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER EZH - MODIFIER LETTER SMALL W,ndʒ,0.000628338,B83C2A3E4F46E72EEBFE92186DEF0515,2,n̠d̠ʒʷ,1288,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER Z - MODIFIER LETTER SMALL W,nz,0.000628338,CA8B1B8165E62F96161535E7EFB580AA,2,nzʷ,1294,consonant
LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER V,ɡv,0.000628338,94EE78E681718BD5174AC4A3A2B2AD5A,2,ɡv,1306,consonant
LATIN SMALL LETTER K - LATIN SMALL LETTER F,kf,0.000628338,FCC69D17E4833E1E83BA73C466429959,2,kf,1307,consonant
LATIN SMALL LETTER G WITH HOOK - COMBINING RING BELOW,ɠ,0.000628338,70E06BD948ADBAAECDCB6C35C6C1A73B,2,ɠ̥,1312,consonant
LATIN SMALL LETTER D WITH HOOK - LATIN SMALL LETTER EZH,ɗʒ,0.000628338,D216058210CA696247766A4A2A3585AA,2,ɗʒ,1316,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER H,nh,0.000628338,46E28F86CE7D73652A5F233B4ECAE3FD,2,nh,1323,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER L,nl,0.000628338,65A2555502FB75CB41DBF6F4989E1496,2,nl,1324,consonant
LATIN SMALL LETTER P - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,p,0.000628338,9351067F8D7BD7BD730B05187DFD1093,2,pˤ,1338,consonant
LATIN SMALL LETTER D - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL J,d,0.000628338,37FA30D38349311897C110E62D2B71E9,2,dʷʲ,1340,consonant
LATIN SMALL LETTER C - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,c,0.000628338,9161A90EA0B52FE28F5DCDD615DE9D3C,2,cʷʰ,1346,consonant
LATIN SMALL LETTER M - MODIFIER LETTER APOSTROPHE,m,0.000628338,2DACD0FD12579B37536EAE44F691378D,2,mʼ,1367,consonant
LATIN SMALL LETTER N - MODIFIER LETTER APOSTROPHE,n,0.000628338,E80AE89D12184C349A33024EC1CE7814,2,nʼ,1368,consonant
LATIN SMALL LETTER D WITH HOOK - MODIFIER LETTER SMALL H WITH HOOK,ɗ,0.000628338,86A6615EB31C6099D0242C013EF0CB05,2,ɗʱ,1379,consonant
LATIN SMALL LETTER R WITH FISHHOOK - MODIFIER LETTER SMALL H WITH HOOK,ɾ,0.000628338,D80DDA5C766FF6FB95414855C3F35DF8,2,ɾʱ,1384,consonant
LATIN SMALL LETTER W - MODIFIER LETTER SMALL H WITH HOOK,w,0.000628338,3F5BBFDABDC260DF618B06CCA330D500,2,wʱ,1385,consonant
MODIFIER LETTER GLOTTAL STOP - LATIN SMALL LETTER P,p,0.000628338,54E8DB7BBF6DAF8BC6FB0DBF0F5C9EA6,2,ˀp,1386,consonant
LATIN SMALL LETTER P - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,p,0.000628338,6C3F7787E19CBD1433EF2DB705910E67,2,pʷʰ,1412,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER DOTLESS J WITH STROKE,nɟ,0.000628338,83145735AAAF58F0758F3C0B8A0D25F1,2,nɟ,1414,consonant
LATIN SMALL LETTER V - MODIFIER LETTER SMALL H WITH HOOK,v,0.000628338,D6B0B0D3D17312DE7A6D95CBB85ACF61,2,vʱ,1441,consonant
LATIN SMALL LETTER S - COMBINING TILDE BELOW,s,0.000628338,E4543A4724B65B05D17F8D69B0FDEC53,2,s̰,1444,consonant
LATIN SMALL LETTER C - COMBINING TILDE BELOW,c,0.000628338,AE433C93E6A2ECDA7EC976A624E9BDEF,2,c̰,1455,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - COMBINING INVERTED BRIDGE BELOW - MODIFIER LETTER SMALL H,tʃ,0.000628338,FA158B42ED0C59BD3B67899EB55A1F33,2,t̠ʃ̺ʰ,1504,consonant
LATIN SMALL LETTER V WITH RIGHT HOOK - COMBINING PLUS SIGN BELOW,ⱱ,0.000628338,4A527900AC37A5AB96EC78D0B2B8BA83,2,ⱱ̟,1514,consonant
LATIN SMALL LETTER TURNED H - COMBINING RING BELOW,ɥ,0.000628338,10AB112CEA66B5C8B7E82E1760324249,2,ɥ̥,1554,consonant
LATIN SMALL LETTER N WITH LEFT HOOK - LATIN SMALL LETTER J,ɲj,0.000628338,BE9B56D2711C6ACE753C41F1A4C792E8,2,ɲj,1559,consonant
MODIFIER LETTER SMALL H WITH HOOK - LATIN SMALL LETTER N - COMBINING BRIDGE BELOW,n,0.000628338,D348BE69CF74D5AEFFA134D6DD0F79DF,2,ʱn̪,1561,consonant
LATIN SMALL LETTER R WITH FISHHOOK - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL GAMMA,ɾ,0.000628338,61EE078949725172C80846A710E4F383,2,ɾ̪ˠ,1579,consonant
LATIN SMALL LETTER Z - MODIFIER LETTER SMALL GAMMA,z,0.000628338,A3AD7AFB705DBFAFFF874859D4D717A4,2,zˠ,1581,consonant
LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER B - MODIFIER LETTER TRIANGULAR COLON,ɡb,0.000628338,DA4BC7BF5877FA3F9E71A280F3D2CFAA,2,ɡbː,1590,consonant
LATIN SMALL LETTER K - LATIN SMALL LETTER P - MODIFIER LETTER TRIANGULAR COLON,kp,0.000628338,681A17FBFD666E5C849833A8D1ECA58A,2,kpː,1591,consonant
LATIN SMALL LETTER N WITH LEFT HOOK - MODIFIER LETTER SMALL H WITH HOOK,ɲ,0.000628338,8D794CE7F3F2202AFBB8DD97E8F96DDB,2,ɲʱ,1612,consonant
LATIN SMALL LETTER HENG WITH HOOK,ɧ,0.000628338,CD6BA52E37A7F6363AB9794D12697C00,2,ɧ,1638,consonant
LATIN SMALL LETTER D - LATIN SMALL LETTER Z - COMBINING BRIDGE BELOW,dz,0.000628338,74A4E7567788315270905CD7EC169EBD,2,dz̪,1640,consonant
LATIN SMALL LETTER P - LATIN SMALL LETTER M,pm,0.000628338,66460B29822787A94ED860302EFB39A5,2,pm,1643,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER N,tn,0.000628338,0348EF4FD356295E44FEC3E2323E1712,2,tn,1644,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER N - COMBINING BRIDGE BELOW,tn,0.000628338,123E6B6BDC7BF21D3A67B17A7C7E0581,2,t̪n̪,1645,consonant
LATIN SMALL LETTER T WITH RETROFLEX HOOK - LATIN SMALL LETTER N WITH RETROFLEX HOOK,ʈɳ,0.000628338,1F9F2527919EB8CBF0AE867A66B4017D,2,ʈɳ,1646,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER L,tl,0.000628338,923E169D84C70D89278B0FA651125EE1,2,tl,1649,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER D - COMBINING BRIDGE BELOW,nd,0.000628338,3D3AC24C41F61A53A475D8B7A2F17B73,2,nd̪,1650,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER L WITH BELT - COMBINING BRIDGE BELOW,tɬ,0.000628338,6DF329C1B14D4A19C48A031F6A079F1C,2,t̪ɬ̪,1680,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER L WITH BELT - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL H,tɬ,0.000628338,8BC843891B213797138570CE934A19DB,2,t̪ɬ̪ʰ,1681,consonant
LATIN SMALL LETTER C WITH CURL - MODIFIER LETTER SMALL TURNED H,ɕ,0.000628338,73D13AF2E4A8976744CA5F3D186ADDB4,2,ɕᶣ,1697,consonant
LATIN SMALL LETTER D - LATIN SMALL LETTER Z WITH CURL - MODIFIER LETTER SMALL TURNED H,dʑ,0.000628338,23152D65BB629BBF25CF320773B99C79,2,dʑᶣ,1698,consonant
LATIN SMALL LETTER N WITH LEFT HOOK - MODIFIER LETTER SMALL TURNED H,ɲ,0.000628338,FAD3EBE006079B3499831FE29298DA20,2,ɲᶣ,1699,consonant
LATIN SMALL LETTER S - MODIFIER LETTER SMALL TURNED H,s,0.000628338,532856F75A9612253F04A9D3C3A40543,2,sᶣ,1700,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER C WITH CURL - MODIFIER LETTER SMALL TURNED H,tɕ,0.000628338,641F2DA4E1751BF31A8F504532EAB584,2,tɕᶣ,1701,consonant
LATIN LETTER SMALL CAPITAL B,ʙ,0.000628338,CA2F64A68D30C86FA3FF3BEF45493C68,2,ʙ,1713,consonant
LATIN SMALL LETTER H WITH HOOK - MODIFIER LETTER SMALL W,ɦ,0.000628338,2DE2B0E57F5D4C05EDC3D4521474281B,2,ɦʷ,1725,consonant
LATIN SMALL LETTER B WITH HOOK - MODIFIER LETTER SMALL W,ɓ,0.000628338,7EEB6A1866901C5DE28E06E88551C07D,2,ɓʷ,1752,consonant
LATIN SMALL LETTER D WITH HOOK - MODIFIER LETTER SMALL W,ɗ,0.000628338,A0DE9887D6D8043B049911686E1359E4,2,ɗʷ,1753,consonant
LATIN SMALL LETTER D - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER EZH - COMBINING DIAERESIS BELOW,dʒ,0.000628338,6E87E6E2FA96A2A70E4D92C079F11A17,2,d̤ʒ̤,1760,consonant
LATIN SMALL LETTER H WITH HOOK - COMBINING DIAERESIS BELOW,ɦ,0.000628338,59B3711219ECAEB715E2BD1DDC980356,2,ɦ̤,1761,consonant
LATIN SMALL LETTER M - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER B - COMBINING DIAERESIS BELOW,mb,0.000628338,27C44EAA69484FBFDEFB5B48FA176EA7,2,m̤b̤,1762,consonant
LATIN SMALL LETTER M - LATIN SMALL LETTER B - LATIN SMALL LETTER V,mbv,0.000628338,06077C55C37AD5956AAE8DD54C91EBC5,2,mbv,1763,consonant
LATIN SMALL LETTER N - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER D - COMBINING DIAERESIS BELOW,nd,0.000628338,79BD2CCB7398FD1322B9B71895E91633,2,n̤d̤,1765,consonant
LATIN SMALL LETTER N - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER D - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER LEZH - COMBINING DIAERESIS BELOW,ndɮ,0.000628338,9FE3CB20DEE73F67382D753B13EBE3F5,2,n̤d̤ɮ̤,1767,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER APOSTROPHE,nts,0.000628338,615FF86251B65BFCF82C58389090D37F,2,ntsʼ,1789,consonant
LATIN SMALL LETTER N - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER APOSTROPHE,ntʃ,0.000628338,8022E12076067D2664AFD7EDCF1AB2CC,2,n̠t̠ʃʼ,1790,consonant
LATIN SMALL LETTER Z - COMBINING DIAERESIS BELOW,z,0.000628338,C221C85655FB3DCC346A7D65B67BFB54,2,z̤,1803,consonant
LATIN SMALL LETTER K - MODIFIER LETTER SMALL TURNED H,k,0.000628338,C8E2CFFBEAAE3F9FEDC3FA884ED72AD1,2,kᶣ,1817,consonant
LATIN SMALL LETTER N - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,n,0.000628338,70240134578C1FA4E27BDEF67F0A0119,2,nˤ,1828,consonant
LATIN SMALL LETTER M - LATIN SMALL LETTER B WITH HOOK,mɓ,0.000628338,5A57B19070C30C0F578829D1BE67A8E4,2,mɓ,1834,consonant
LATIN SMALL LETTER D - LATIN SMALL LETTER X,dx,0.000628338,D511C18B8C33176956AB6E5FA1977CD1,2,dx,1839,consonant
