description,equivalence_class,frequency,id,in_inventories,name,pk,segment_class
LATIN SMALL LETTER B WITH HOOK,ɓ,0.094250707,CFA86CE56605194A2F338BA3E3974EA3,300,ɓ,261,consonant
LATIN SMALL LETTER M - LATIN SMALL LETTER B,mb,0.091737355,8DEC1745406483DE6A8030A28A69B646,292,mb,240,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER D,nd,0.084825636,6910328C2AAA6011720FA21FFE1665D8,270,nd,242,consonant
LATIN SMALL LETTER ENG - LATIN SMALL LETTER SCRIPT G,ŋɡ,0.084197298,95A609A900A52E93F9252FD72E8D136F,268,ŋɡ,246,consonant
LATIN SMALL LETTER D WITH TAIL,ɖ,0.080741439,BE81A18FCCFFEDC9ACF3B18F14E766BD,257,ɖ,157,consonant
LATIN SMALL LETTER Q,q,0.08042727,4AC7382217172B3821AE54CD38BD8698,256,q,55,consonant
LATIN SMALL LETTER D WITH HOOK,ɗ,0.077913918,192EEEA914E770D60BEC3F86DAED50AA,248,ɗ,262,consonant
LATIN SMALL LETTER K - MODIFIER LETTER APOSTROPHE,k,0.076028904,B9C749831BC59B5585B5AE2159F32788,242,kʼ,69,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL H,tʃ,0.071944706,9C6117430968F42700ACD02E4E7442F7,229,t̠ʃʰ,31,consonant
LATIN SMALL LETTER L - COMBINING BRIDGE BELOW,l,0.068488847,92E1B0E16834519598F3C03EE7E974D9,218,l̪,326,consonant
GREEK SMALL LETTER CHI,χ,0.066918002,24934115EB451EB20C91AC9D2AD62537,213,χ,104,consonant
LATIN SMALL LETTER L WITH CURL,ȴ,0.063462143,4544768DB5ADC593DE5ED33B8192C8F7,202,ȴ,3170,consonant
LATIN SMALL LETTER S WITH HOOK,ʂ,0.062205467,9B4FF3CA9C2C2CC0884F937ECD88C04D,198,ʂ,159,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL H,ts,0.061262959,C6880E4D32532681166EBA4D7D3AA2E0,195,tsʰ,87,consonant
LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL W,ɡ,0.059692114,B95529318452F7E00AE69C18EBE1E0F2,190,ɡʷ,117,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER APOSTROPHE,tʃ,0.0578071,73C29ACCE17EFB4239E53D799AD7C696,184,t̠ʃʼ,96,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL H,t,0.056236255,9EEEF6860B6442352B674A227C68B124,179,t̪ʰ,196,consonant
