Source,Target,Id,Length
0,0,0,99999.99999999999
0,0,1,99999.99999999999
0,0,2,1.2820348457071062
0,0,3,99999.99999999999
0,0,4,1.3513330900933773
0,0,5,1.5151285586582022
0,0,6,1.4925150370889986
0,0,7,99999.99999999999
0,0,8,1.3888695990333468
0,0,9,1.4285510206997045
0,0,10,99999.99999999999
0,0,11,99999.99999999999
0,0,12,99999.99999999999
0,0,13,99999.99999999999
0,0,14,99999.99999999999
0,0,15,99999.99999999999
0,0,16,1.2820348457071062
0,0,17,1.3333155557925895
0,0,18,99999.99999999999
0,0,19,99999.99999999999
0,0,20,1.2820348457071062
0,0,21,99999.99999999999
0,0,22,1.1494120757232675
0,0,23,99999.99999999999
0,0,24,99999.99999999999
0,0,25,99999.99999999999
0,0,26,1.1494120757232675
0,0,27,1.1494120757232675
0,0,28,1.4705666093145688
0,0,29,1.1494120757232675
0,0,30,99999.99999999999
0,0,31,1.4084308671708852
0,0,32,99999.99999999999
0,0,33,1.5872763924382154
0,0,34,1.1494120757232675
0,0,35,99999.99999999999
0,0,36,1.4084308671708852
0,0,37,1.2194973232033757
0,0,38,1.4285510206997045
0,0,39,1.4925150370889986
0,0,40,1.1494120757232675
0,0,41,1.3333155557925895
0,0,42,1.4925150370889986
0,0,43,1.4084308671708852
0,0,44,99999.99999999999
0,0,45,99999.99999999999
0,0,46,1.1494120757232675
0,0,47,1.4084308671708852
0,0,48,99999.99999999999
0,0,49,99999.99999999999
0,0,50,1.4492543586324838
0,0,51,99999.99999999999
0,0,52,1.2658067619397222
0,0,53,1.1494120757232675
0,0,54,99999.99999999999
0,0,55,1.1235828810912238
0,0,56,1.3888695990333468
0,0,57,99999.99999999999
0,0,58,99999.99999999999
0,0,59,1.3157721608926198
0,0,60,99999.99999999999
0,0,61,1.2048047613884172
0,0,62,99999.99999999999
0,0,63,99999.99999999999
0,0,64,1.1494120757232675
0,0,65,1.3888695990333468
0,0,66,1.3513330900933773
0,0,67,1.2986844326697056
0,0,68,99999.99999999999
0,0,69,1.3513330900933773
0,0,70,1.4492543586324838
0,0,71,99999.99999999999
0,0,72,1.2820348457071062
0,0,73,1.3888695990333468
0,0,74,1.3333155557925895
0,0,75,1.6948865273469944
0,0,76,1.2658067619397222
0,0,77,1.1494120757232675
0,0,78,99999.99999999999
0,0,79,99999.99999999999
0,0,80,1.2194973232033757
0,0,81,1.2048047613884172
0,0,82,99999.99999999999
0,0,83,99999.99999999999
0,0,84,99999.99999999999
0,0,85,99999.99999999999
0,0,86,99999.99999999999
0,0,87,1.2194973232033757
0,0,88,1.3513330900933773
0,0,89,99999.99999999999
0,0,90,99999.99999999999
0,0,91,99999.99999999999
0,0,92,99999.99999999999
0,0,93,99999.99999999999
0,0,94,99999.99999999999
0,0,95,1.1494120757232675
0,0,96,99999.99999999999
0,0,97,1.4285510206997045
